miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81093	17463.668772	N
hsa-let-7a-2	81113	17467.975844	Y
hsa-let-7a-3	81394	17528.490203	N
hsa-let-7b	77112	16606.346126	N
hsa-let-7c	22787	4907.262283	Y
hsa-let-7d	5512	1187.028995	N
hsa-let-7e	3715	800.038591	N
hsa-let-7f-1	42765	9209.596328	N
hsa-let-7f-2	43181	9299.183422	N
hsa-let-7g	8886	1913.632012	N
hsa-let-7i	3978	856.676586	N
hsa-mir-1-1	45	9.690912	N
hsa-mir-1-2	41	8.829497	N
hsa-mir-100	208572	44916.729227	N
hsa-mir-101-1	87853	18919.459049	N
hsa-mir-101-2	88915	19148.164563	N
hsa-mir-103a-1	71286	15351.696103	Y
hsa-mir-103a-2	71675	15435.468650	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.215354	N
hsa-mir-106a	1495	321.953619	Y
hsa-mir-106b	7900	1701.293371	N
hsa-mir-107	684	147.301856	Y
hsa-mir-10a	32493	6997.484239	N
hsa-mir-10b	129766	27945.574118	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.861414	N
hsa-mir-1180	77	16.582227	N
hsa-mir-1181	4	0.861414	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.215354	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	3	0.646061	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.215354	N
hsa-mir-1226	4	0.861414	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.430707	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
