miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	245650	22624.542743	N
hsa-let-7a-2	244640	22531.521012	Y
hsa-let-7a-3	245871	22644.897003	N
hsa-let-7b	198506	18282.546231	N
hsa-let-7c	66033	6081.687079	Y
hsa-let-7d	5287	486.936525	N
hsa-let-7e	17947	1652.931686	N
hsa-let-7f-1	167625	15438.383787	N
hsa-let-7f-2	170431	15696.818417	N
hsa-let-7g	12692	1168.942383	N
hsa-let-7i	7080	652.073123	N
hsa-mir-1-1	213	19.617454	N
hsa-mir-1-2	220	20.262159	N
hsa-mir-100	154556	14234.719431	Y
hsa-mir-101-1	116754	10753.127879	N
hsa-mir-101-2	120060	11057.612871	N
hsa-mir-103a-1	191228	17612.237165	Y
hsa-mir-103a-2	191224	17611.868762	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	0.736806	N
hsa-mir-105-2	5	0.460504	N
hsa-mir-106a	459	42.274232	Y
hsa-mir-106b	7212	664.230418	N
hsa-mir-107	1817	167.347015	Y
hsa-mir-10a	92083	8480.910928	N
hsa-mir-10b	309152	28473.122891	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.368403	N
hsa-mir-1180	201	18.512245	N
hsa-mir-1181	3	0.276302	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	18	1.657813	N
hsa-mir-1185-2	2	0.184201	N
hsa-mir-1193	2	0.184201	N
hsa-mir-1197	2	0.184201	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.184201	N
hsa-mir-1224	8	0.736806	N
hsa-mir-1225	1	0.092101	N
hsa-mir-1226	11	1.013108	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	0.828907	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	0.736806	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	431	39.695412	N
hsa-mir-1248	10	0.921007	N
hsa-mir-1249	17	1.565712	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.460504	N
hsa-mir-1254-2	3	0.276302	N
hsa-mir-1255a	3	0.276302	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.184201	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	15	1.381511	N
hsa-mir-125a	7541	694.531556	N
hsa-mir-125b-1	8750	805.881331	N
hsa-mir-125b-2	9319	858.286643	N
hsa-mir-126	38736	3567.613628	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	3	0.276302	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	1.381511	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	2.670921	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3590	330.641598	N
hsa-mir-1269b	1917	176.557087	N
hsa-mir-127	28525	2627.173140	N
hsa-mir-1270	23	2.118317	N
hsa-mir-1271	13	1.197309	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	3	0.276302	N
hsa-mir-1275	3	0.276302	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	1.105209	N
hsa-mir-1278	2	0.184201	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	3568	328.615382	N
hsa-mir-128-2	2405	221.502240	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.184201	N
hsa-mir-1285-1	1	0.092101	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	195	17.959641	N
hsa-mir-1288	2	0.184201	N
hsa-mir-1289-1	1	0.092101	N
hsa-mir-1289-2	0	0.000000	N
