miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	91871	18124.845624	N
hsa-let-7a-2	91880	18126.621196	Y
hsa-let-7a-3	92740	18296.287002	N
hsa-let-7b	69547	13720.636965	N
hsa-let-7c	38642	7623.518679	Y
hsa-let-7d	7247	1429.730342	N
hsa-let-7e	3858	761.128696	N
hsa-let-7f-1	61048	12043.904776	N
hsa-let-7f-2	62063	12244.149884	N
hsa-let-7g	10290	2030.071094	N
hsa-let-7i	4753	937.699505	N
hsa-mir-1-1	9	1.775572	N
hsa-mir-1-2	7	1.381001	N
hsa-mir-100	241245	47594.217789	N
hsa-mir-101-1	67555	13327.643610	N
hsa-mir-101-2	68265	13467.716543	N
hsa-mir-103a-1	98651	19462.443487	Y
hsa-mir-103a-2	98980	19527.350522	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.394572	N
hsa-mir-105-2	1	0.197286	N
hsa-mir-106a	2038	402.068502	Y
hsa-mir-106b	12943	2553.470376	N
hsa-mir-107	1635	322.562317	Y
hsa-mir-10a	4196	827.811303	N
hsa-mir-10b	61531	12139.193827	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.394572	N
hsa-mir-1180	187	36.892448	N
hsa-mir-1181	4	0.789143	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	11	2.170144	N
hsa-mir-1224	2	0.394572	N
hsa-mir-1225	1	0.197286	N
hsa-mir-1226	16	3.156573	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	1.972858	N
hsa-mir-1229	10	1.972858	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.394572	N
hsa-mir-1238	1	0.197286	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	0.394572	N
hsa-mir-1248	5	0.986429	N
hsa-mir-1249	9	1.775572	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.591857	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	9	1.775572	N
hsa-mir-1254-2	8	1.578287	N
hsa-mir-1255a	8	1.578287	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2848	561.870017	N
hsa-mir-125b-1	6990	1379.027886	N
hsa-mir-125b-2	7134	1407.437044	N
hsa-mir-126	12800	2525.258504	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.986429	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	2	0.394572	N
hsa-mir-1266	8	1.578287	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2201	434.226091	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	120	23.674298	N
hsa-mir-1270	35	6.905004	N
hsa-mir-1271	134	26.436300	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	12	2.367430	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.591857	N
hsa-mir-1277	36	7.102290	N
hsa-mir-1278	1	0.197286	N
