miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	141526	29941.256104	N
hsa-let-7a-2	141102	29851.554618	Y
hsa-let-7a-3	142517	30150.912173	N
hsa-let-7b	183299	38778.756572	N
hsa-let-7c	6172	1305.748998	Y
hsa-let-7d	3286	695.186521	N
hsa-let-7e	11582	2450.289192	N
hsa-let-7f-1	47475	10043.816214	N
hsa-let-7f-2	48761	10315.882516	N
hsa-let-7g	6138	1298.555954	N
hsa-let-7i	3322	702.802685	N
hsa-mir-1-1	24	5.077443	N
hsa-mir-1-2	34	7.193044	N
hsa-mir-100	26111	5524.046028	N
hsa-mir-101-1	35691	7550.791880	N
hsa-mir-101-2	36037	7623.991678	N
hsa-mir-103a-1	99654	21082.811185	Y
hsa-mir-103a-2	99517	21053.827450	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.211560	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	610	129.051667	Y
hsa-mir-106b	4916	1040.029500	N
hsa-mir-107	523	110.645937	Y
hsa-mir-10a	29415	6223.040631	N
hsa-mir-10b	41884	8860.983640	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.211560	N
hsa-mir-1180	108	22.848492	N
hsa-mir-1181	2	0.423120	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.423120	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.211560	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.211560	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.692481	N
hsa-mir-1227	1	0.211560	N
hsa-mir-1228	7	1.480921	N
hsa-mir-1229	3	0.634680	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.211560	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	2	0.423120	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	1.057801	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.211560	N
hsa-mir-1247	109	23.060052	N
hsa-mir-1248	16	3.384962	N
hsa-mir-1249	9	1.904041	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.211560	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.634680	N
hsa-mir-1254-2	4	0.846240	N
hsa-mir-1255a	2	0.423120	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.211560	N
hsa-mir-125a	6703	1418.087416	N
hsa-mir-125b-1	1675	354.363184	N
hsa-mir-125b-2	1656	350.343542	N
hsa-mir-126	10804	2285.695427	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.423120	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	9	1.904041	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2588	547.517564	N
hsa-mir-1269b	516	109.165017	N
hsa-mir-127	1915	405.137610	N
hsa-mir-1270	21	4.442762	N
hsa-mir-1271	9	1.904041	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
