miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	142233	23349.724145	N
hsa-let-7a-2	141775	23274.536434	Y
hsa-let-7a-3	141828	23283.237195	N
hsa-let-7b	237602	39006.005331	N
hsa-let-7c	49234	8082.514737	Y
hsa-let-7d	6921	1136.188091	N
hsa-let-7e	5104	837.899728	N
hsa-let-7f-1	52805	8668.749049	N
hsa-let-7f-2	53322	8753.622513	N
hsa-let-7g	6591	1082.013540	N
hsa-let-7i	3833	629.245623	N
hsa-mir-1-1	15	2.462480	N
hsa-mir-1-2	27	4.432463	N
hsa-mir-100	539277	88530.574393	Y
hsa-mir-101-1	136155	22351.927407	N
hsa-mir-101-2	137046	22498.198696	N
hsa-mir-103a-1	91390	15003.067429	Y
hsa-mir-103a-2	92582	15198.752475	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	371	60.905329	Y
hsa-mir-106b	4634	760.742034	N
hsa-mir-107	1401	229.995595	Y
hsa-mir-10a	33284	5464.078086	N
hsa-mir-10b	194084	31861.859491	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.492496	N
hsa-mir-1180	137	22.490647	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.313322	N
hsa-mir-1185-2	1	0.164165	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.820827	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	0.328331	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.328331	N
hsa-mir-1229	2	0.328331	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.164165	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.328331	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	129	21.177325	N
hsa-mir-1248	11	1.805818	N
hsa-mir-1249	17	2.790810	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.164165	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.492496	N
hsa-mir-1254-2	4	0.656661	N
hsa-mir-1255a	2	0.328331	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	33	5.417455	N
hsa-mir-125a	8643	1418.880750	N
hsa-mir-125b-1	13575	2228.544046	N
hsa-mir-125b-2	14175	2327.043230	N
hsa-mir-126	19998	3282.977814	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	27	4.432463	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	37	6.074116	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	13	2.134149	N
hsa-mir-1269b	20	3.283306	N
hsa-mir-127	31364	5148.880696	N
hsa-mir-1270	12	1.969984	N
hsa-mir-1271	43	7.059108	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.656661	N
hsa-mir-1275	1	0.164165	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	23	3.775802	N
hsa-mir-1278	1	0.164165	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2931	481.168516	N
hsa-mir-128-2	1878	308.302447	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.164165	N
hsa-mir-1283-2	1	0.164165	N
hsa-mir-1284	2	0.328331	N
hsa-mir-1285-1	3	0.492496	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	699	114.751550	N
hsa-mir-1288	3	0.492496	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.656661	N
hsa-mir-129-2	3	0.492496	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.820827	N
hsa-mir-1292	6	0.984992	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.164165	N
hsa-mir-1295a	1	0.164165	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	28	4.596629	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	56	9.193257	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.164165	N
hsa-mir-1305	11	1.805818	N
hsa-mir-1306	84	13.789886	N
hsa-mir-1307	10958	1798.923437	N
hsa-mir-130a	691	113.438227	N
hsa-mir-130b	280	45.966286	N
hsa-mir-132	1835	301.243339	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.328331	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	7	1.149157	N
hsa-mir-133a-2	4	0.656661	Y
hsa-mir-133b	1	0.164165	Y
hsa-mir-134	7048	1157.037085	N
hsa-mir-1343	2	0.328331	N
hsa-mir-135a-1	15	2.462480	N
hsa-mir-135a-2	2	0.328331	N
hsa-mir-135b	6	0.984992	N
hsa-mir-136	2832	464.916150	N
hsa-mir-137	2	0.328331	N
hsa-mir-138-1	5	0.820827	N
hsa-mir-138-2	26	4.268298	N
hsa-mir-139	1500	246.247961	N
hsa-mir-140	8147	1337.454758	N
hsa-mir-141	15078	2475.284503	N
hsa-mir-142	52400	8602.262099	N
hsa-mir-143	137050	22498.855357	N
hsa-mir-144	520	85.365960	N
hsa-mir-145	6852	1124.860685	N
hsa-mir-1468	203	33.325557	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	933	153.166232	N
hsa-mir-146b	10600	1740.152257	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	591315	97073.408651	N
hsa-mir-148b	866	142.167156	N
hsa-mir-149	3873	635.812235	N
hsa-mir-150	18901	3102.888472	N
hsa-mir-151a	12511	2053.872159	N
hsa-mir-151b	43	7.059108	N
hsa-mir-152	3125	513.016585	N
hsa-mir-153-1	4	0.656661	N
hsa-mir-153-2	65	10.670745	N
hsa-mir-1537	1	0.164165	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	201	32.997227	N
hsa-mir-155	2502	410.741599	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2463	404.339152	N
hsa-mir-15b	3989	654.855411	N
hsa-mir-16-1	2230	366.088635	N
hsa-mir-16-2	2245	368.551115	N
hsa-mir-17	5498	902.580859	Y
hsa-mir-181a-1	44580	7318.489397	N
hsa-mir-181a-2	62228	10215.678739	N
hsa-mir-181b-1	10547	1731.451495	N
hsa-mir-181b-2	10324	1694.842632	N
hsa-mir-181c	1099	180.417673	N
hsa-mir-181d	424	69.606090	N
hsa-mir-182	124979	20517.215934	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	26294	4316.562589	N
hsa-mir-184	7132	1170.826971	N
hsa-mir-185	1210	198.640022	N
hsa-mir-186	2797	459.170364	N
hsa-mir-187	10	1.641653	N
hsa-mir-188	18	2.954976	N
hsa-mir-18a	68	11.163241	N
hsa-mir-18b	9	1.477488	N
hsa-mir-1908	3	0.492496	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	164	26.923110	N
hsa-mir-190b	3	0.492496	N
hsa-mir-191	4475	734.639750	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
