miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	116976	22814.449073	N
hsa-let-7a-2	116275	22677.729329	Y
hsa-let-7a-3	116331	22688.651306	N
hsa-let-7b	183770	35841.636799	N
hsa-let-7c	29059	5667.530738	Y
hsa-let-7d	7647	1491.434927	N
hsa-let-7e	5207	1015.548799	N
hsa-let-7f-1	50375	9824.903160	N
hsa-let-7f-2	51814	10105.558955	N
hsa-let-7g	11417	2226.718003	N
hsa-let-7i	4487	875.123384	N
hsa-mir-1-1	15	2.925529	N
hsa-mir-1-2	18	3.510635	N
hsa-mir-100	37959	7403.344894	N
hsa-mir-101-1	93471	18230.144383	N
hsa-mir-101-2	94500	18430.835705	N
hsa-mir-103a-1	79522	15509.597004	Y
hsa-mir-103a-2	79580	15520.909052	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2624	511.772623	Y
hsa-mir-106b	11617	2265.725062	N
hsa-mir-107	688	134.184285	Y
hsa-mir-10a	27618	5386.484873	N
hsa-mir-10b	165388	32256.497942	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.780141	N
hsa-mir-1180	154	30.035436	N
hsa-mir-1181	3	0.585106	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.585106	N
hsa-mir-1185-2	2	0.390071	N
hsa-mir-1193	1	0.195035	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.195035	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	2.340424	N
hsa-mir-1227	2	0.390071	N
hsa-mir-1228	5	0.975176	N
hsa-mir-1229	1	0.195035	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.195035	N
hsa-mir-1236	1	0.195035	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.195035	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.195035	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.585106	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	56	10.921977	N
hsa-mir-1248	3	0.585106	N
hsa-mir-1249	29	5.656024	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	11	2.145388	N
hsa-mir-1254-2	2	0.390071	N
hsa-mir-1255a	2	0.390071	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.975176	N
hsa-mir-125a	6647	1296.399629	N
hsa-mir-125b-1	13238	2581.877281	N
hsa-mir-125b-2	13306	2595.139681	N
hsa-mir-126	42198	8230.099525	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.195035	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	10	1.950353	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	18	3.510635	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1953	380.903938	N
hsa-mir-1269b	765	149.202003	N
hsa-mir-127	7645	1491.044857	N
hsa-mir-1270	31	6.046094	N
hsa-mir-1271	94	18.333318	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.195035	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	13	2.535459	N
hsa-mir-1275	2	0.390071	N
hsa-mir-1276	3	0.585106	N
hsa-mir-1277	54	10.531906	N
hsa-mir-1278	4	0.780141	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	25168	4908.648392	N
hsa-mir-128-2	15356	2994.962043	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	106	20.673742	N
hsa-mir-1283-2	128	24.964518	Y
hsa-mir-1284	7	1.365247	N
hsa-mir-1285-1	6	1.170212	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.195035	N
hsa-mir-1287	163	31.790754	N
hsa-mir-1288	12	2.340424	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	1.170212	N
hsa-mir-129-2	7	1.365247	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	1.170212	N
hsa-mir-1292	5	0.975176	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.390071	N
hsa-mir-1295a	10	1.950353	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	30	5.851059	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	95	18.528353	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	1.950353	N
hsa-mir-1305	4	0.780141	N
