miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	514035	54736.819015	N
hsa-let-7a-2	512456	54568.679808	Y
hsa-let-7a-3	513064	54633.422454	N
hsa-let-7b	894980	95301.600634	N
hsa-let-7c	131715	14025.621050	Y
hsa-let-7d	8279	881.586127	N
hsa-let-7e	24418	2600.141326	N
hsa-let-7f-1	123166	13115.284078	N
hsa-let-7f-2	124199	13225.282685	N
hsa-let-7g	17494	1862.841853	N
hsa-let-7i	7171	763.601173	N
hsa-mir-1-1	31	3.301023	N
hsa-mir-1-2	33	3.513992	N
hsa-mir-100	259749	27659.272233	Y
hsa-mir-101-1	438561	46699.999191	N
hsa-mir-101-2	445596	47449.118456	N
hsa-mir-103a-1	127985	13628.433437	Y
hsa-mir-103a-2	127894	13618.743337	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	301	32.051869	Y
hsa-mir-106b	3896	414.864060	N
hsa-mir-107	1624	172.931015	Y
hsa-mir-10a	31717	3377.372530	N
hsa-mir-10b	293530	31256.429009	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.106485	N
hsa-mir-1180	339	36.098284	N
hsa-mir-1181	4	0.425938	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	12	1.277815	N
hsa-mir-1185-2	5	0.532423	N
hsa-mir-1193	3	0.319454	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.745392	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.638908	N
hsa-mir-1229	3	0.319454	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.212969	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.106485	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.212969	N
hsa-mir-1245b	1	0.106485	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	27	2.875085	N
hsa-mir-1248	8	0.851877	N
hsa-mir-1249	23	2.449146	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	37	3.939931	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.319454	N
hsa-mir-1254-2	10	1.064846	N
hsa-mir-1255a	3	0.319454	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.425938	N
hsa-mir-125a	35329	3761.994959	N
hsa-mir-125b-1	66808	7114.024152	N
hsa-mir-125b-2	67406	7177.701951	N
hsa-mir-126	68140	7255.861659	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	14	1.490785	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	70	7.453923	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14820	1578.101993	N
hsa-mir-1269b	3	0.319454	N
hsa-mir-127	36538	3890.734859	N
hsa-mir-1270	36	3.833446	N
hsa-mir-1271	52	5.537200	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.212969	N
hsa-mir-1275	12	1.277815	N
hsa-mir-1276	1	0.106485	N
hsa-mir-1277	39	4.152900	N
hsa-mir-1278	1	0.106485	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2146	228.515984	N
hsa-mir-128-2	1500	159.726922	N
hsa-mir-1281	1	0.106485	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	425	45.255961	N
hsa-mir-1283-2	495	52.709884	Y
hsa-mir-1284	4	0.425938	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	286	30.454600	N
hsa-mir-1288	3	0.319454	N
hsa-mir-1289-1	2	0.212969	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.212969	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	20	2.129692	N
hsa-mir-1292	13	1.384300	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.106485	N
hsa-mir-1295a	140	14.907846	N
hsa-mir-1295b	1	0.106485	N
hsa-mir-1296	71	7.560408	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	71	7.560408	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
