miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	297840	38940.882265	N
hsa-let-7a-2	298266	38996.579337	Y
hsa-let-7a-3	298990	39091.238210	N
hsa-let-7b	318981	41704.947508	N
hsa-let-7c	119206	15585.505007	Y
hsa-let-7d	16498	2157.019459	N
hsa-let-7e	29906	3910.039031	N
hsa-let-7f-1	143472	18758.146187	N
hsa-let-7f-2	144824	18934.912480	N
hsa-let-7g	18317	2394.843340	N
hsa-let-7i	8678	1134.599034	N
hsa-mir-1-1	11	1.438187	N
hsa-mir-1-2	7	0.915210	N
hsa-mir-100	127424	16659.961663	N
hsa-mir-101-1	306413	40061.753148	N
hsa-mir-101-2	311028	40665.138091	N
hsa-mir-103a-1	247683	32383.140418	Y
hsa-mir-103a-2	248283	32461.586998	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.130744	N
hsa-mir-105-2	2	0.261489	N
hsa-mir-106a	256	33.470541	Y
hsa-mir-106b	6680	873.371923	N
hsa-mir-107	1619	211.675021	Y
hsa-mir-10a	10263	1341.828749	N
hsa-mir-10b	153030	20007.800205	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.392233	N
hsa-mir-1180	837	109.432979	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.045954	N
hsa-mir-1185-2	5	0.653721	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.130744	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.130744	N
hsa-mir-1224	4	0.522977	N
hsa-mir-1225	4	0.522977	N
hsa-mir-1226	7	0.915210	N
hsa-mir-1227	3	0.392233	N
hsa-mir-1228	12	1.568932	N
hsa-mir-1229	2	0.261489	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.130744	N
hsa-mir-1238	2	0.261489	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	98	12.812941	N
hsa-mir-1248	8	1.045954	N
hsa-mir-1249	26	3.399352	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	5	0.653721	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.522977	N
hsa-mir-1254-2	7	0.915210	N
hsa-mir-1255a	2	0.261489	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	0.915210	N
hsa-mir-125a	31734	4149.039611	N
hsa-mir-125b-1	44386	5803.216493	N
hsa-mir-125b-2	45587	5960.240397	N
hsa-mir-126	26517	3466.946599	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	23	3.007119	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	115	15.035594	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	25094	3280.897460	N
hsa-mir-1269b	4	0.522977	N
hsa-mir-127	17981	2350.913255	N
hsa-mir-1270	24	3.137863	N
hsa-mir-1271	43	5.622005	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	7	0.915210	N
hsa-mir-1276	1	0.130744	N
hsa-mir-1277	61	7.975402	N
hsa-mir-1278	2	0.261489	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2878	376.282095	N
