miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	353182	46088.598493	N
hsa-let-7a-2	353332	46108.172791	Y
hsa-let-7a-3	352816	46040.837206	N
hsa-let-7b	483228	63058.993020	N
hsa-let-7c	102512	13377.336356	Y
hsa-let-7d	8886	1159.581423	N
hsa-let-7e	12055	1573.121096	N
hsa-let-7f-1	110229	14384.368748	N
hsa-let-7f-2	111557	14557.666535	N
hsa-let-7g	15867	2070.569260	N
hsa-let-7i	5338	696.584024	N
hsa-mir-1-1	38	4.958822	N
hsa-mir-1-2	34	4.436841	N
hsa-mir-100	94857	12378.394673	N
hsa-mir-101-1	350315	45714.468408	N
hsa-mir-101-2	354795	46299.087446	N
hsa-mir-103a-1	105776	13803.273084	Y
hsa-mir-103a-2	106785	13934.942863	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1635	213.359850	Y
hsa-mir-106b	8927	1164.931731	N
hsa-mir-107	1104	144.066834	Y
hsa-mir-10a	19917	2599.075310	N
hsa-mir-10b	221442	28897.144893	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.521981	N
hsa-mir-1180	225	29.361447	N
hsa-mir-1181	4	0.521981	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.130495	N
hsa-mir-1185-2	1	0.130495	N
hsa-mir-1193	1	0.130495	N
hsa-mir-1197	2	0.260991	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	1	0.130495	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.260991	N
hsa-mir-1225	1	0.130495	N
hsa-mir-1226	1	0.130495	N
hsa-mir-1227	3	0.391486	N
hsa-mir-1228	1	0.130495	N
hsa-mir-1229	1	0.130495	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.130495	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.130495	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	0.391486	N
hsa-mir-1248	7	0.913467	N
hsa-mir-1249	12	1.565944	N
hsa-mir-1250	1	0.130495	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.260991	N
hsa-mir-1254-2	3	0.391486	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.130495	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.260991	N
hsa-mir-125a	17534	2288.104960	N
hsa-mir-125b-1	30656	4000.464563	N
hsa-mir-125b-2	31534	4115.039455	N
hsa-mir-126	36183	4721.712203	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	27	3.523374	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	41	5.350308	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2958	386.005160	N
hsa-mir-1269b	1231	160.639740	N
hsa-mir-127	7847	1023.996785	N
hsa-mir-1270	24	3.131888	N
hsa-mir-1271	76	9.917644	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.130495	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	9	1.174458	N
hsa-mir-1275	5	0.652477	N
hsa-mir-1276	3	0.391486	N
hsa-mir-1277	47	6.133280	N
hsa-mir-1278	1	0.130495	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	16958	2212.939655	N
hsa-mir-128-2	10792	1408.305505	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	502	65.508651	N
hsa-mir-1283-2	661	86.257407	Y
hsa-mir-1284	2	0.260991	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.130495	N
hsa-mir-1287	195	25.446588	N
