miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	81398	11945.224955	N
hsa-let-7a-2	82318	12080.235729	Y
hsa-let-7a-3	81852	12011.849837	N
hsa-let-7b	71568	10502.664188	N
hsa-let-7c	59173	8683.687514	Y
hsa-let-7d	9651	1416.292366	N
hsa-let-7e	10645	1562.162702	N
hsa-let-7f-1	43508	6384.835590	N
hsa-let-7f-2	44801	6574.584427	N
hsa-let-7g	7290	1069.813631	N
hsa-let-7i	6386	937.150871	N
hsa-mir-1-1	50	7.337542	N
hsa-mir-1-2	51	7.484293	N
hsa-mir-100	689635	101204.516228	Y
hsa-mir-101-1	76968	11295.118730	N
hsa-mir-101-2	78395	11504.532180	N
hsa-mir-103a-1	131447	19289.957796	Y
hsa-mir-103a-2	132757	19482.201398	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	851	124.884966	Y
hsa-mir-106b	6164	904.572184	N
hsa-mir-107	4150	609.015990	Y
hsa-mir-10a	48733	7151.608734	N
hsa-mir-10b	291724	42810.742338	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.146751	N
hsa-mir-1180	505	74.109175	N
hsa-mir-1181	2	0.293502	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.880505	N
hsa-mir-1185-2	1	0.146751	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.146751	N
hsa-mir-1225	2	0.293502	N
hsa-mir-1226	17	2.494764	N
hsa-mir-1227	3	0.440253	N
hsa-mir-1228	3	0.440253	N
hsa-mir-1229	16	2.348013	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.146751	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.146751	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.320758	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	197	28.909916	N
hsa-mir-1248	11	1.614259	N
hsa-mir-1249	13	1.907761	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	6	0.880505	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.293502	N
hsa-mir-1254-2	4	0.587003	N
hsa-mir-1255a	5	0.733754	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.146751	N
hsa-mir-125a	12202	1790.653762	N
hsa-mir-125b-1	14183	2081.367178	N
hsa-mir-125b-2	14592	2141.388272	N
hsa-mir-126	52678	7730.540802	N
hsa-mir-1260a	1	0.146751	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.174007	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	39	5.723283	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8847	1298.304690	N
hsa-mir-1269b	2097	307.736514	N
hsa-mir-127	10839	1590.632366	N
hsa-mir-1270	36	5.283030	N
hsa-mir-1271	62	9.098552	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.293502	N
hsa-mir-1275	5	0.733754	N
hsa-mir-1276	3	0.440253	N
hsa-mir-1277	30	4.402525	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5311	779.393717	N
hsa-mir-128-2	3764	552.370165	N
hsa-mir-1281	1	0.146751	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.733754	N
hsa-mir-1285-1	1	0.146751	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	410	60.167845	N
hsa-mir-1288	11	1.614259	N
hsa-mir-1289-1	1	0.146751	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	107	15.702340	N
hsa-mir-129-2	90	13.207576	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.733754	N
hsa-mir-1292	6	0.880505	N
hsa-mir-1293	6	0.880505	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	21	3.081768	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	45	6.603788	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	194	28.469663	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	6	0.880505	N
hsa-mir-1305	6	0.880505	N
hsa-mir-1306	160	23.480135	N
hsa-mir-1307	14480	2124.952178	N
hsa-mir-130a	1316	193.124107	N
hsa-mir-130b	1010	148.218349	N
hsa-mir-132	5454	800.379087	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2	0.293502	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	42	6.163535	Y
hsa-mir-133a-2	41	6.016784	Y
hsa-mir-133b	21	3.081768	Y
hsa-mir-134	2137	313.606547	N
hsa-mir-1343	7	1.027256	N
hsa-mir-135a-1	14	2.054512	N
hsa-mir-135a-2	15	2.201263	N
hsa-mir-135b	5	0.733754	N
hsa-mir-136	967	141.908063	N
hsa-mir-137	1	0.146751	N
hsa-mir-138-1	1	0.146751	N
hsa-mir-138-2	7	1.027256	N
hsa-mir-139	2145	314.780554	N
hsa-mir-140	19974	2931.201298	N
hsa-mir-141	5921	868.911730	N
hsa-mir-142	86834	12742.962527	N
hsa-mir-143	228051	33466.676039	N
hsa-mir-144	2495	366.143348	N
hsa-mir-145	12109	1777.005934	N
hsa-mir-1468	67	9.832306	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1204	176.688013	N
hsa-mir-146b	4637	680.483650	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.146751	N
