miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	186534	36471.015618	N
hsa-let-7a-2	185565	36281.557320	Y
hsa-let-7a-3	185612	36290.746732	N
hsa-let-7b	263266	51473.610160	N
hsa-let-7c	45103	8818.511464	Y
hsa-let-7d	6311	1233.922929	N
hsa-let-7e	6972	1363.161251	N
hsa-let-7f-1	71164	13913.942527	N
hsa-let-7f-2	72842	14242.024079	N
hsa-let-7g	10019	1958.908861	N
hsa-let-7i	4162	813.751740	N
hsa-mir-1-1	11	2.150713	N
hsa-mir-1-2	14	2.737272	N
hsa-mir-100	33923	6632.604580	N
hsa-mir-101-1	114484	22383.842903	N
hsa-mir-101-2	116533	22784.462152	N
hsa-mir-103a-1	85365	16690.513516	Y
hsa-mir-103a-2	86050	16824.444305	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.195519	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1895	370.509262	Y
hsa-mir-106b	7505	1467.373091	N
hsa-mir-107	678	132.562153	Y
hsa-mir-10a	10334	2020.497472	N
hsa-mir-10b	127135	24857.358822	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.195519	N
hsa-mir-1180	148	28.936871	N
hsa-mir-1181	5	0.977597	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.782078	N
hsa-mir-1185-2	1	0.195519	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.195519	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.195519	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.977597	N
hsa-mir-1227	1	0.195519	N
hsa-mir-1228	4	0.782078	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.195519	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.195519	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.195519	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.195519	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.782078	N
hsa-mir-1248	3	0.586558	N
hsa-mir-1249	11	2.150713	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.173116	N
hsa-mir-1254-2	7	1.368636	N
hsa-mir-1255a	8	1.564155	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.195519	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	12788	2500.302077	N
hsa-mir-125b-1	19972	3904.913442	N
hsa-mir-125b-2	20111	3932.090638	N
hsa-mir-126	22703	4438.876921	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	2.150713	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	3.323830	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5164	1009.662178	N
hsa-mir-1269b	1	0.195519	N
hsa-mir-127	8931	1746.183755	N
hsa-mir-1270	50	9.775970	N
hsa-mir-1271	88	17.205707	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
