miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	164175	29483.646925	N
hsa-let-7a-2	163011	29274.608003	N
hsa-let-7a-3	163075	29286.101552	N
hsa-let-7b	329610	59193.573095	N
hsa-let-7c	44157	7930.010034	N
hsa-let-7d	7066	1268.959642	N
hsa-let-7e	6554	1177.011250	N
hsa-let-7f-1	51307	9214.054958	N
hsa-let-7f-2	52976	9513.785165	N
hsa-let-7g	9005	1617.178258	N
hsa-let-7i	3906	701.465661	N
hsa-mir-1-1	5	0.897934	N
hsa-mir-1-2	8	1.436694	N
hsa-mir-100	46218	8300.138228	N
hsa-mir-101-1	146657	26337.647066	N
hsa-mir-101-2	147458	26481.496015	N
hsa-mir-103a-1	74184	13322.459957	Y
hsa-mir-103a-2	74262	13336.467720	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.179587	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2003	359.712166	Y
hsa-mir-106b	9555	1715.950945	N
hsa-mir-107	778	139.718455	Y
hsa-mir-10a	17929	3219.809994	N
hsa-mir-10b	124192	22303.231788	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.359173	N
hsa-mir-1180	211	37.892794	N
hsa-mir-1181	5	0.897934	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	11	1.975454	N
hsa-mir-1185-2	7	1.257107	N
hsa-mir-1193	1	0.179587	N
hsa-mir-1197	1	0.179587	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.179587	N
hsa-mir-1225	1	0.179587	N
hsa-mir-1226	6	1.077520	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.359173	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.179587	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.179587	N
hsa-mir-1245b	1	0.179587	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	1.616280	N
hsa-mir-1248	3	0.538760	N
hsa-mir-1249	25	4.489668	N
hsa-mir-1250	1	0.179587	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.257107	N
hsa-mir-1254-2	7	1.257107	N
hsa-mir-1255a	8	1.436694	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.897934	N
hsa-mir-125a	13254	2380.242158	N
hsa-mir-125b-1	33335	5986.522736	N
hsa-mir-125b-2	33686	6049.557669	N
hsa-mir-126	24997	4489.128809	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	2.155040	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	34	6.105948	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8249	1481.410711	N
hsa-mir-1269b	3	0.538760	N
hsa-mir-127	20933	3759.288449	N
hsa-mir-1270	52	9.338509	N
hsa-mir-1271	81	14.546523	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	11	1.975454	N
hsa-mir-1275	8	1.436694	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	32	5.746774	N
hsa-mir-1278	3	0.538760	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	21628	3884.101207	N
hsa-mir-128-2	13208	2371.981170	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	227	40.766182	N
hsa-mir-1283-2	268	48.129236	Y
hsa-mir-1284	4	0.718347	N
hsa-mir-1285-1	3	0.538760	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	209	37.533621	N
hsa-mir-1288	11	1.975454	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	17	3.052974	N
hsa-mir-129-2	35	6.285535	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.897934	N
hsa-mir-1292	2	0.359173	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	48	8.620162	N
hsa-mir-1295b	1	0.179587	N
hsa-mir-1296	60	10.775202	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	57	10.236442	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.897934	N
hsa-mir-1305	21	3.771321	N
hsa-mir-1306	125	22.448338	N
hsa-mir-1307	17745	3186.766040	N
hsa-mir-130a	2560	459.741959	N
hsa-mir-130b	1491	267.763774	N
hsa-mir-132	4332	777.969596	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1008	181.023396	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.718347	Y
hsa-mir-133a-2	7	1.257107	N
hsa-mir-133b	2	0.359173	Y
hsa-mir-134	5421	973.539516	N
hsa-mir-1343	3	0.538760	N
hsa-mir-135a-1	5	0.897934	N
hsa-mir-135a-2	5	0.897934	N
hsa-mir-135b	15	2.693801	N
hsa-mir-136	3457	620.831231	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.179587	N
hsa-mir-138-2	5	0.897934	N
hsa-mir-139	1005	180.484636	N
hsa-mir-140	13774	2473.627244	N
hsa-mir-141	5901	1059.741133	N
hsa-mir-142	298299	53570.533845	N
hsa-mir-143	66304	11907.316739	N
hsa-mir-144	401	72.014268	N
hsa-mir-145	3732	670.217575	N
hsa-mir-1468	63	11.313962	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1022	183.537610	N
hsa-mir-146b	7145	1283.146991	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.179587	N
hsa-mir-148a	510656	91707.027282	N
hsa-mir-148b	1074	192.876119	N
hsa-mir-149	4709	845.673783	N
hsa-mir-150	9048	1624.900487	N
hsa-mir-151a	7896	1418.016605	N
hsa-mir-151b	34	6.105948	N
hsa-mir-152	1619	290.750872	N
hsa-mir-153-1	7	1.257107	N
hsa-mir-153-2	152	27.297179	N
hsa-mir-1537	4	0.718347	N
hsa-mir-1538	7	1.257107	N
hsa-mir-1539	1	0.179587	N
hsa-mir-154	266	47.770063	N
hsa-mir-155	3281	589.223972	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	8095	1453.754359	N
hsa-mir-15b	10405	1868.599642	N
hsa-mir-16-1	8891	1596.705374	N
hsa-mir-16-2	8667	1556.477953	N
hsa-mir-17	20617	3702.539051	Y
hsa-mir-181a-1	141015	25324.418889	N
hsa-mir-181a-2	117641	21126.759299	N
hsa-mir-181b-1	14813	2660.217828	N
hsa-mir-181b-2	13461	2417.416606	N
hsa-mir-181c	1842	330.798706	N
hsa-mir-181d	482	86.560791	N
hsa-mir-182	58641	10531.143836	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	11846	2127.384081	N
hsa-mir-184	7	1.257107	N
hsa-mir-185	990	177.790836	N
hsa-mir-186	3098	556.359605	N
hsa-mir-187	1	0.179587	N
hsa-mir-188	24	4.310081	N
