miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	190058	34499.333277	N
hsa-let-7a-2	189443	34387.698460	Y
hsa-let-7a-3	189537	34404.761343	N
hsa-let-7b	444999	80776.230461	N
hsa-let-7c	92789	16843.061778	Y
hsa-let-7d	6570	1192.586577	N
hsa-let-7e	7432	1349.056840	N
hsa-let-7f-1	43163	7834.948922	N
hsa-let-7f-2	43975	7982.343184	N
hsa-let-7g	7918	1437.275573	N
hsa-let-7i	4656	845.157245	N
hsa-mir-1-1	6	1.089120	N
hsa-mir-1-2	3	0.544560	N
hsa-mir-100	23489	4263.723912	N
hsa-mir-101-1	147589	26790.359254	N
hsa-mir-101-2	148876	27023.975528	N
hsa-mir-103a-1	70600	12815.313901	Y
hsa-mir-103a-2	71088	12903.895674	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.363040	N
hsa-mir-105-2	1	0.181520	N
hsa-mir-106a	604	109.638096	Y
hsa-mir-106b	4185	759.661313	N
hsa-mir-107	775	140.678021	Y
hsa-mir-10a	15231	2764.731530	N
hsa-mir-10b	105612	19170.693083	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.363040	N
hsa-mir-1180	316	57.360329	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.270640	N
hsa-mir-1185-2	1	0.181520	N
hsa-mir-1193	1	0.181520	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.181520	N
hsa-mir-1226	3	0.544560	N
hsa-mir-1227	2	0.363040	N
hsa-mir-1228	2	0.363040	N
hsa-mir-1229	2	0.363040	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.181520	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	32	5.808641	N
hsa-mir-1248	1	0.181520	N
hsa-mir-1249	13	2.359760	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.363040	N
hsa-mir-1252	1	0.181520	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.181520	N
hsa-mir-1254-2	2	0.363040	N
hsa-mir-1255a	3	0.544560	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	1.452160	N
hsa-mir-125a	27028	4906.123288	N
hsa-mir-125b-1	44785	8129.374406	N
hsa-mir-125b-2	45928	8336.851797	N
hsa-mir-126	16552	3004.519486	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	16	2.904320	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	34	6.171681	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8269	1500.989103	N
hsa-mir-1269b	3371	611.904011	N
hsa-mir-127	30228	5486.987374	N
hsa-mir-1270	28	5.082561	N
hsa-mir-1271	72	13.069442	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.726080	N
hsa-mir-1275	4	0.726080	N
hsa-mir-1276	1	0.181520	N
hsa-mir-1277	16	2.904320	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6949	1261.382667	N
hsa-mir-128-2	4190	760.568913	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	145	26.320404	N
hsa-mir-1283-2	191	34.670325	Y
hsa-mir-1284	3	0.544560	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	197	35.759445	N
hsa-mir-1288	2	0.363040	N
hsa-mir-1289-1	1	0.181520	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	1	0.181520	N
hsa-mir-129-2	2	0.363040	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	12	2.178240	N
hsa-mir-1292	3	0.544560	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	60	10.891202	N
hsa-mir-1295b	0	0.000000	N
