miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	429935	63530.457264	N
hsa-let-7a-2	429928	63529.422891	Y
hsa-let-7a-3	431132	63707.335065	N
hsa-let-7b	843377	124623.783725	N
hsa-let-7c	154487	22828.171122	Y
hsa-let-7d	5548	819.814569	N
hsa-let-7e	23204	3428.799075	N
hsa-let-7f-1	97710	14438.370868	N
hsa-let-7f-2	99941	14768.040354	N
hsa-let-7g	11556	1707.602229	N
hsa-let-7i	6281	928.128210	N
hsa-mir-1-1	15	2.216514	N
hsa-mir-1-2	10	1.477676	N
hsa-mir-100	56266	8314.291017	Y
hsa-mir-101-1	219925	32497.786442	N
hsa-mir-101-2	222847	32929.563329	N
hsa-mir-103a-1	97647	14429.061510	Y
hsa-mir-103a-2	98281	14522.746160	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.147768	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	224	33.099939	Y
hsa-mir-106b	2652	391.879639	N
hsa-mir-107	1029	152.052846	Y
hsa-mir-10a	19222	2840.388546	N
hsa-mir-10b	117818	17409.681496	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.147768	N
hsa-mir-1180	240	35.464221	N
hsa-mir-1181	2	0.295535	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	8	1.182141	N
hsa-mir-1185-2	3	0.443303	N
hsa-mir-1193	1	0.147768	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.147768	N
hsa-mir-1224	1	0.147768	N
hsa-mir-1225	1	0.147768	N
hsa-mir-1226	4	0.591070	N
hsa-mir-1227	1	0.147768	N
hsa-mir-1228	5	0.738838	N
hsa-mir-1229	1	0.147768	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.443303	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	19	2.807584	N
hsa-mir-1248	1	0.147768	N
hsa-mir-1249	28	4.137492	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	6	0.886606	N
hsa-mir-1252	2	0.295535	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.147768	N
hsa-mir-1254-2	2	0.295535	N
hsa-mir-1255a	4	0.591070	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
