miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	375276	46606.592106	N
hsa-let-7a-2	373072	46332.871088	Y
hsa-let-7a-3	374451	46504.133014	N
hsa-let-7b	588322	73065.379830	N
hsa-let-7c	114656	14239.454227	Y
hsa-let-7d	9170	1138.848340	N
hsa-let-7e	16711	2075.386544	N
hsa-let-7f-1	105562	13110.044543	N
hsa-let-7f-2	107864	13395.936460	N
hsa-let-7g	15558	1932.192200	N
hsa-let-7i	10021	1244.536447	N
hsa-mir-1-1	9	1.117736	N
hsa-mir-1-2	13	1.614507	N
hsa-mir-100	40496	5029.313236	N
hsa-mir-101-1	183606	22802.550524	N
hsa-mir-101-2	187588	23297.086411	N
hsa-mir-103a-1	141380	17558.383675	Y
hsa-mir-103a-2	141188	17534.538650	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.124193	N
hsa-mir-106a	3288	408.346057	Y
hsa-mir-106b	7560	938.897868	N
hsa-mir-107	911	113.139677	Y
hsa-mir-10a	22847	2837.433808	N
hsa-mir-10b	170972	21233.498187	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.124193	N
hsa-mir-1180	195	24.217604	N
hsa-mir-1181	3	0.372579	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.248386	N
hsa-mir-1185-2	3	0.372579	N
hsa-mir-1193	2	0.248386	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.124193	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.496771	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.372579	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.124193	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.124193	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.248386	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.124193	N
hsa-mir-1247	10	1.241928	N
hsa-mir-1248	3	0.372579	N
hsa-mir-1249	22	2.732242	N
hsa-mir-1250	1	0.124193	N
hsa-mir-1251	1	0.124193	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.496771	N
hsa-mir-1254-2	3	0.372579	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.124193	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	10	1.241928	N
hsa-mir-125a	21736	2699.455563	N
hsa-mir-125b-1	54029	6710.014935	N
hsa-mir-125b-2	54915	6820.049791	N
hsa-mir-126	32483	4034.156012	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.124193	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	33	4.098364	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	46	5.712871	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	8607	1068.927771	N
hsa-mir-1269b	7	0.869350	N
hsa-mir-127	22813	2833.211252	N
hsa-mir-1270	87	10.804777	N
hsa-mir-1271	66	8.196727	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	11	1.366121	N
hsa-mir-1275	3	0.372579	N
hsa-mir-1276	1	0.124193	N
hsa-mir-1277	23	2.856435	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	22481	2791.979229	N
hsa-mir-128-2	13014	1616.245616	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	270	33.532067	N
hsa-mir-1283-2	285	35.394959	Y
hsa-mir-1284	10	1.241928	N
hsa-mir-1285-1	1	0.124193	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	292	36.264309	N
hsa-mir-1288	6	0.745157	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.869350	N
hsa-mir-129-2	4	0.496771	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	21	2.608050	N
hsa-mir-1292	6	0.745157	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.372579	N
hsa-mir-1295a	119	14.778948	N
hsa-mir-1295b	1	0.124193	N
hsa-mir-1296	63	7.824149	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.248386	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	120	14.903141	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.372579	N
hsa-mir-1305	4	0.496771	N
hsa-mir-1306	124	15.399912	N
hsa-mir-1307	9019	1120.095221	N
hsa-mir-130a	3784	469.945705	N
hsa-mir-130b	810	100.596200	N
hsa-mir-132	8002	993.791103	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1891	234.848660	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.124193	N
hsa-mir-133a-2	6	0.745157	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	4379	543.840445	N
hsa-mir-1343	9	1.117736	N
hsa-mir-135a-1	8	0.993543	N
hsa-mir-135a-2	3	0.372579	N
hsa-mir-135b	231	28.688546	N
hsa-mir-136	2199	273.100054	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.124193	N
hsa-mir-138-2	13	1.614507	N
hsa-mir-139	1218	151.266879	N
hsa-mir-140	30866	3833.336190	N
hsa-mir-141	5166	641.580210	N
hsa-mir-142	190798	23695.745427	N
hsa-mir-143	74956	9308.998492	N
hsa-mir-144	464	57.625478	N
hsa-mir-145	4217	523.721205	N
hsa-mir-1468	75	9.314463	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2923	363.015670	N
hsa-mir-146b	30010	3727.027119	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.124193	N
hsa-mir-148a	423277	52567.972604	N
hsa-mir-148b	1425	176.974797	N
hsa-mir-149	2616	324.888469	N
hsa-mir-150	33278	4132.889319	N
hsa-mir-151a	12050	1496.523718	N
hsa-mir-151b	48	5.961256	N
hsa-mir-152	3280	407.352514	N
hsa-mir-153-1	6	0.745157	N
hsa-mir-153-2	95	11.798320	N
hsa-mir-1537	4	0.496771	N
hsa-mir-1538	8	0.993543	N
hsa-mir-1539	1	0.124193	N
hsa-mir-154	313	38.872359	N
hsa-mir-155	4576	568.306434	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	14900	1850.473311	N
hsa-mir-15b	11791	1464.357773	N
hsa-mir-16-1	10549	1310.110266	N
hsa-mir-16-2	10612	1317.934415	N
hsa-mir-17	32403	4024.220584	Y
hsa-mir-181a-1	158219	19649.666902	N
hsa-mir-181a-2	140768	17482.377657	N
hsa-mir-181b-1	16868	2094.884820	N
hsa-mir-181b-2	16766	2082.217150	N
hsa-mir-181c	4681	581.346683	N
hsa-mir-181d	1214	150.770107	N
hsa-mir-182	235237	29214.751029	N
hsa-mir-1825	1	0.124193	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	49328	6126.184396	N
hsa-mir-184	66	8.196727	N
hsa-mir-185	1244	154.495893	N
hsa-mir-186	4865	604.198165	N
hsa-mir-187	8	0.993543	N
hsa-mir-188	17	2.111278	N
hsa-mir-18a	320	39.741709	N
hsa-mir-18b	56	6.954799	N
hsa-mir-1908	1	0.124193	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	122	15.151526	N
hsa-mir-190b	5	0.620964	N
hsa-mir-191	9027	1121.088764	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	2	0.248386	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	7099	881.644969	Y
hsa-mir-193a	1896	235.469624	N
hsa-mir-193b	1267	157.352328	N
hsa-mir-194-1	1952	242.424423	N
hsa-mir-194-2	2106	261.550120	N
hsa-mir-195	1228	152.508807	N
hsa-mir-196a-1	9	1.117736	N
hsa-mir-196a-2	6	0.745157	N
hsa-mir-196b	10863	1349.106818	N
hsa-mir-197	4190	520.367998	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	62	7.699956	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2147	266.642027	Y
hsa-mir-199a-2	3441	427.347561	Y
hsa-mir-199b	3958	491.555259	Y
hsa-mir-19a	958	118.976740	N
hsa-mir-19b-1	2604	323.398155	N
hsa-mir-19b-2	2299	285.519338	N
hsa-mir-200a	6754	838.798439	N
hsa-mir-200b	12283	1525.460650	N
hsa-mir-200c	37458	4652.015389	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	12842	1594.884447	N
hsa-mir-203b	361	44.833615	N
hsa-mir-204	2834	351.962508	N
hsa-mir-205	73566	9136.370444	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	1	0.124193	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	27769	3448.710965	N
hsa-mir-20b	9717	1206.781823	N
hsa-mir-21	687711	85408.781974	N
hsa-mir-210	1578	195.976301	N
hsa-mir-211	1	0.124193	N
hsa-mir-2110	57	7.078992	N
hsa-mir-2113	2	0.248386	N
hsa-mir-2114	1	0.124193	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	13	1.614507	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	133	16.517648	N
hsa-mir-214	34	4.222557	N
hsa-mir-215	22	2.732242	Y
hsa-mir-216a	1	0.124193	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	95	11.798320	N
hsa-mir-218-1	1276	158.470063	N
hsa-mir-218-2	1223	151.887843	N
hsa-mir-219a-1	97	12.046705	N
hsa-mir-219a-2	1	0.124193	N
hsa-mir-219b	6	0.745157	N
hsa-mir-22	540639	67143.492655	N
hsa-mir-221	5196	645.305995	N
hsa-mir-222	1613	200.323050	N
hsa-mir-223	1476	183.308631	N
hsa-mir-224	71	8.817692	N
hsa-mir-2276	1	0.124193	N
hsa-mir-2277	8	0.993543	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	346	42.970723	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	42791	5314.335803	Y
hsa-mir-23b	6252	776.453634	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	4057	503.850351	N
hsa-mir-24-2	4117	511.301921	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	114902	14270.005666	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	27307	3391.333873	N
hsa-mir-26a-2	27130	3369.351741	N
hsa-mir-26b	10946	1359.414823	N
hsa-mir-27a	7453	925.609234	Y
hsa-mir-27b	5216	647.789852	Y
hsa-mir-28	35972	4467.464829	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	66	8.196727	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	228	28.315967	N
hsa-mir-29a	57246	7109.543301	N
hsa-mir-29b-1	5438	675.360662	Y
hsa-mir-29b-2	6292	781.421347	Y
hsa-mir-29c	51987	6456.413157	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	132	16.393455	N
hsa-mir-301b	15	1.862893	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	3	0.372579	N
hsa-mir-3065	379	47.069086	N
hsa-mir-3074	110	13.661212	N
hsa-mir-30a	142965	17755.229326	Y
hsa-mir-30b	6116	759.563408	Y
hsa-mir-30c-1	5798	720.070085	Y
hsa-mir-30c-2	6125	760.681143	N
hsa-mir-30d	141769	17606.694690	N
hsa-mir-30e	172109	21374.705446	Y
hsa-mir-31	560	69.547990	N
hsa-mir-3115	1	0.124193	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	4	0.496771	N
hsa-mir-3125	1	0.124193	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	20	2.483857	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	1	0.124193	N
hsa-mir-3130-1	13	1.614507	N
hsa-mir-3130-2	26	3.229014	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	6	0.745157	N
hsa-mir-3137	1	0.124193	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	2	0.248386	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.124193	N
hsa-mir-3144	1	0.124193	N
hsa-mir-3145	1	0.124193	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	1	0.124193	N
hsa-mir-3150b	0	0.000000	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	1	0.124193	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.124193	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	18	2.235471	N
hsa-mir-3158-1	1	0.124193	N
hsa-mir-3158-2	2	0.248386	N
