miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	328321	54129.460882	N
hsa-let-7a-2	326582	53842.756308	Y
hsa-let-7a-3	327565	54004.821055	N
hsa-let-7b	559518	92246.331162	N
hsa-let-7c	74598	12298.785405	Y
hsa-let-7d	3519	580.168716	N
hsa-let-7e	17169	2830.610025	N
hsa-let-7f-1	66698	10996.332193	N
hsa-let-7f-2	67973	11206.538249	N
hsa-let-7g	6021	992.667188	N
hsa-let-7i	2633	434.096115	N
hsa-mir-1-1	7	1.154072	N
hsa-mir-1-2	8	1.318940	N
hsa-mir-100	29740	4903.159306	N
hsa-mir-101-1	140221	23117.885040	N
hsa-mir-101-2	143729	23696.240213	N
hsa-mir-103a-1	60618	9993.937822	Y
hsa-mir-103a-2	61137	10079.504052	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.164867	N
hsa-mir-105-2	3	0.494602	N
hsa-mir-106a	58	9.562315	Y
hsa-mir-106b	870	143.434721	N
hsa-mir-107	451	74.355240	Y
hsa-mir-10a	15629	2576.714082	N
hsa-mir-10b	170347	28084.683200	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	175	28.851812	N
hsa-mir-1181	1	0.164867	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.494602	N
hsa-mir-1185-2	1	0.164867	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.494602	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	5	0.824337	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.659470	N
hsa-mir-1227	1	0.164867	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.164867	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.164867	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.329735	N
hsa-mir-124-2	1	0.164867	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.164867	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	26	4.286555	N
hsa-mir-1248	1	0.164867	N
hsa-mir-1249	22	3.627085	N
hsa-mir-1250	1	0.164867	N
hsa-mir-1251	1	0.164867	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.164867	N
hsa-mir-1254-2	2	0.329735	N
hsa-mir-1255a	3	0.494602	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.164867	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	16	2.637880	N
hsa-mir-125a	33090	5455.465415	N
hsa-mir-125b-1	48549	8004.152023	N
hsa-mir-125b-2	49055	8087.574976	N
hsa-mir-126	28953	4773.408588	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	26	4.286555	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
