miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	418535	53578.329896	N
hsa-let-7a-2	418407	53561.944107	Y
hsa-let-7a-3	418610	53587.930945	N
hsa-let-7b	715152	91549.451735	N
hsa-let-7c	104098	13325.998986	Y
hsa-let-7d	8321	1065.204303	N
hsa-let-7e	21856	2797.873483	N
hsa-let-7f-1	100541	12870.653269	N
hsa-let-7f-2	101904	13045.136320	N
hsa-let-7g	12634	1617.328586	N
hsa-let-7i	6134	785.237735	N
hsa-mir-1-1	15	1.920210	N
hsa-mir-1-2	23	2.944321	N
hsa-mir-100	114220	14621.756462	Y
hsa-mir-101-1	181092	23182.307137	N
hsa-mir-101-2	183623	23506.310513	N
hsa-mir-103a-1	108188	13849.576152	Y
hsa-mir-103a-2	108727	13918.575686	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	659	84.361211	Y
hsa-mir-106b	4721	604.353986	N
hsa-mir-107	1257	160.913569	Y
hsa-mir-10a	29201	3738.136145	N
hsa-mir-10b	148962	19069.218054	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.256028	N
hsa-mir-1180	436	55.814094	N
hsa-mir-1181	1	0.128014	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	15	1.920210	N
hsa-mir-1185-2	6	0.768084	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	2	0.256028	N
hsa-mir-1224	1	0.128014	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	0.896098	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.256028	N
hsa-mir-1229	1	0.128014	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.256028	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.128014	N
hsa-mir-1238	1	0.128014	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.512056	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	48	6.144671	N
hsa-mir-1248	2	0.256028	N
hsa-mir-1249	36	4.608503	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	58	7.424811	N
hsa-mir-1252	1	0.128014	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.512056	N
hsa-mir-1254-2	7	0.896098	N
hsa-mir-1255a	5	0.640070	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.128014	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	4	0.512056	N
hsa-mir-125a	35468	4540.399739	N
hsa-mir-125b-1	55770	7139.339502	N
hsa-mir-125b-2	56874	7280.666932	N
hsa-mir-126	43614	5583.201596	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	2.560280	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	60	7.680839	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16938	2168.300744	N
hsa-mir-1269b	6	0.768084	N
hsa-mir-127	30178	3863.205800	N
hsa-mir-1270	39	4.992545	N
hsa-mir-1271	73	9.345020	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.256028	N
hsa-mir-1275	7	0.896098	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	35	4.480489	N
hsa-mir-1278	2	0.256028	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	6016	770.132086	N
hsa-mir-128-2	3721	476.340009	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	449	57.478276	N
hsa-mir-1283-2	514	65.799184	Y
hsa-mir-1284	2	0.256028	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	2	0.256028	N
hsa-mir-1287	193	24.706698	N
hsa-mir-1288	5	0.640070	N
hsa-mir-1289-1	1	0.128014	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.384042	N
hsa-mir-129-2	3	0.384042	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	21	2.688294	N
hsa-mir-1292	8	1.024112	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.256028	N
hsa-mir-1295a	68	8.704950	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	64	8.192895	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	67	8.576936	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.512056	N
hsa-mir-1305	21	2.688294	N
hsa-mir-1306	83	10.625160	N
hsa-mir-1307	9421	1206.019678	N
hsa-mir-130a	3021	386.730225	N
hsa-mir-130b	484	61.958765	N
hsa-mir-132	12171	1558.058115	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2338	299.296678	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.384042	N
hsa-mir-133a-2	7	0.896098	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	6550	838.491550	N
hsa-mir-1343	17	2.176238	N
hsa-mir-135a-1	324	41.476529	N
hsa-mir-135a-2	379	48.517297	N
hsa-mir-135b	88	11.265230	N
hsa-mir-136	4034	516.408384	N
hsa-mir-137	2	0.256028	N
hsa-mir-138-1	3	0.384042	N
hsa-mir-138-2	6	0.768084	N
hsa-mir-139	2087	267.165170	N
hsa-mir-140	19145	2450.827591	N
hsa-mir-141	8515	1090.039015	N
hsa-mir-142	92031	11781.254324	N
hsa-mir-143	169848	21742.917979	N
hsa-mir-144	388	49.669423	N
hsa-mir-145	9602	1229.190208	N
hsa-mir-1468	80	10.241118	N
hsa-mir-1469	0	0.000000	N
