miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	152712	29962.817241	N
hsa-let-7a-2	152303	29882.569505	Y
hsa-let-7a-3	152600	29940.842311	N
hsa-let-7b	209289	41063.492440	N
hsa-let-7c	46092	9043.468570	Y
hsa-let-7d	6748	1323.989541	N
hsa-let-7e	8806	1727.778882	N
hsa-let-7f-1	83508	16384.664873	N
hsa-let-7f-2	85003	16677.990950	N
hsa-let-7g	7259	1424.250159	N
hsa-let-7i	4889	959.244941	N
hsa-mir-1-1	15	2.943071	N
hsa-mir-1-2	11	2.158252	N
hsa-mir-100	300703	58999.351936	Y
hsa-mir-101-1	46744	9171.394056	N
hsa-mir-101-2	47915	9401.149799	N
hsa-mir-103a-1	88276	17320.169042	Y
hsa-mir-103a-2	88485	17361.175831	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.196205	N
hsa-mir-106a	1233	241.920436	Y
hsa-mir-106b	4859	953.358799	N
hsa-mir-107	1447	283.908249	Y
hsa-mir-10a	9238	1812.539327	N
hsa-mir-10b	63861	12529.830477	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.392409	N
hsa-mir-1180	129	25.310411	N
hsa-mir-1181	8	1.569638	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.392409	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.196205	N
hsa-mir-1226	10	1.962047	N
hsa-mir-1227	1	0.196205	N
hsa-mir-1228	4	0.784819	N
hsa-mir-1229	7	1.373433	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.196205	N
hsa-mir-1236	1	0.196205	N
hsa-mir-1237	1	0.196205	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	0	0.000000	N
hsa-mir-1248	8	1.569638	N
hsa-mir-1249	9	1.765843	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.392409	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.373433	N
hsa-mir-1254-2	4	0.784819	N
hsa-mir-1255a	1	0.196205	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	1.177228	N
hsa-mir-125a	8898	1745.829717	N
hsa-mir-125b-1	11360	2228.885771	N
hsa-mir-125b-2	11675	2290.690262	N
hsa-mir-126	7109	1394.819449	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.392409	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	1.373433	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	157	30.804143	N
hsa-mir-1269b	10	1.962047	N
hsa-mir-127	328	64.355153	N
hsa-mir-1270	24	4.708914	N
hsa-mir-1271	38	7.455780	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	14	2.746866	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	2	0.392409	N
hsa-mir-1277	25	4.905118	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	13410	2631.105474	N
hsa-mir-128-2	7849	1540.010952	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.196205	N
hsa-mir-1283-2	1	0.196205	N
hsa-mir-1284	3	0.588614	N
hsa-mir-1285-1	1	0.196205	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	271	53.171483	N
hsa-mir-1288	5	0.981024	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	5	0.981024	N
hsa-mir-129-2	4	0.784819	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.784819	N
hsa-mir-1292	9	1.765843	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	3	0.588614	N
hsa-mir-1295a	4	0.784819	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	4	0.784819	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	46	9.025418	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.981024	N
hsa-mir-1305	3	0.588614	N
hsa-mir-1306	82	16.088788	N
hsa-mir-1307	14461	2837.316649	N
hsa-mir-130a	541	106.146761	N
hsa-mir-130b	728	142.837046	N
hsa-mir-132	2283	447.935406	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.588614	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.588614	N
hsa-mir-133a-2	3	0.588614	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	107	20.993906	N
hsa-mir-1343	2	0.392409	N
hsa-mir-135a-1	1	0.196205	N
hsa-mir-135a-2	2	0.392409	N
hsa-mir-135b	26	5.101323	N
hsa-mir-136	37	7.259575	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	5	0.981024	N
hsa-mir-138-2	13	2.550662	N
hsa-mir-139	601	117.919045	N
hsa-mir-140	8264	1621.435916	N
hsa-mir-141	14943	2931.887331	N
hsa-mir-142	152711	29962.621036	N
hsa-mir-143	62091	12182.548099	N
hsa-mir-144	1295	254.085130	N
hsa-mir-145	1557	305.490770	N
hsa-mir-1468	46	9.025418	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2222	435.966918	N
hsa-mir-146b	3518	690.248252	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.196205	N
hsa-mir-148a	615696	120802.469511	N
hsa-mir-148b	2007	393.782900	N
hsa-mir-149	1846	362.193938	N
hsa-mir-150	8566	1680.689746	N
hsa-mir-151a	5621	1102.866806	N
hsa-mir-151b	36	7.063370	N
hsa-mir-152	2034	399.080428	N
hsa-mir-153-1	6	1.177228	N
hsa-mir-153-2	120	23.544568	N
hsa-mir-1537	5	0.981024	N
hsa-mir-1538	5	0.981024	N
hsa-mir-1539	2	0.392409	N
hsa-mir-154	5	0.981024	N
hsa-mir-155	4687	919.611585	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	5377	1054.992851	N
hsa-mir-15b	5210	1022.226661	N
hsa-mir-16-1	4272	838.186621	N
hsa-mir-16-2	4251	834.066322	N
hsa-mir-17	14372	2819.854428	Y
hsa-mir-181a-1	76196	14950.015863	N
hsa-mir-181a-2	66083	12965.797395	N
hsa-mir-181b-1	10143	1990.104610	N
hsa-mir-181b-2	10162	1993.832500	N
hsa-mir-181c	683	134.007833	N
hsa-mir-181d	171	33.551009	N
hsa-mir-182	139604	27390.965596	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	45543	8935.752171	N
hsa-mir-184	532	104.380918	N
hsa-mir-185	1219	239.173570	N
hsa-mir-186	2745	538.581993	N
hsa-mir-187	1	0.196205	N
hsa-mir-188	23	4.512709	N
hsa-mir-18a	172	33.747214	N
hsa-mir-18b	25	4.905118	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	56	10.987465	N
hsa-mir-190b	8	1.569638	N
hsa-mir-191	4982	977.491982	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.196205	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	11743	2304.032184	Y
