miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	50515	8291.529623	N
hsa-let-7a-2	49938	8196.820872	Y
hsa-let-7a-3	50968	8365.885021	N
hsa-let-7b	105568	17327.926344	N
hsa-let-7c	17772	2917.095209	Y
hsa-let-7d	3690	605.676419	N
hsa-let-7e	2314	379.819847	N
hsa-let-7f-1	22048	3618.957639	N
hsa-let-7f-2	22123	3631.268135	N
hsa-let-7g	12674	2080.309739	N
hsa-let-7i	8655	1420.631276	N
hsa-mir-1-1	21	3.446939	N
hsa-mir-1-2	13	2.133819	N
hsa-mir-100	29334	4814.881322	Y
hsa-mir-101-1	127915	20995.961829	N
hsa-mir-101-2	128834	21146.806444	N
hsa-mir-103a-1	62052	10185.212238	Y
hsa-mir-103a-2	62915	10326.865016	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	3	0.492420	N
hsa-mir-106a	227	37.259769	Y
hsa-mir-106b	6206	1018.652536	N
hsa-mir-107	895	146.905256	Y
hsa-mir-10a	78446	12876.122594	N
hsa-mir-10b	205233	33686.934558	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.492420	N
hsa-mir-1180	121	19.860934	N
hsa-mir-1181	3	0.492420	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.656560	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.164140	N
hsa-mir-1197	4	0.656560	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.164140	N
hsa-mir-1224	6	0.984840	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.164140	N
hsa-mir-1227	2	0.328280	N
hsa-mir-1228	28	4.595919	N
hsa-mir-1229	1	0.164140	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	9	1.477260	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	234	38.408749	N
hsa-mir-1248	16	2.626239	N
hsa-mir-1249	12	1.969679	N
hsa-mir-1250	1	0.164140	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
