miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	125521	23073.649613	N
hsa-let-7a-2	125718	23109.862749	Y
hsa-let-7a-3	125497	23069.237861	N
hsa-let-7b	135033	24822.174204	N
hsa-let-7c	35237	6477.371845	Y
hsa-let-7d	7760	1426.466655	N
hsa-let-7e	6485	1192.092301	N
hsa-let-7f-1	86161	15838.375446	N
hsa-let-7f-2	87174	16024.588167	N
hsa-let-7g	11066	2034.185568	N
hsa-let-7i	3097	569.299901	N
hsa-mir-1-1	11	2.022053	N
hsa-mir-1-2	8	1.470584	N
hsa-mir-100	273168	50214.567423	N
hsa-mir-101-1	79838	14676.062474	N
hsa-mir-101-2	80861	14864.113426	N
hsa-mir-103a-1	79861	14680.290404	Y
hsa-mir-103a-2	80112	14726.429982	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	5	0.919115	N
hsa-mir-105-2	3	0.551469	N
hsa-mir-106a	2197	403.859181	Y
hsa-mir-106b	9893	1818.561162	N
hsa-mir-107	1010	185.661253	Y
hsa-mir-10a	3817	701.652477	N
hsa-mir-10b	66132	12156.584127	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.183823	N
hsa-mir-1180	88	16.176426	N
hsa-mir-1181	5	0.919115	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.367646	N
hsa-mir-1185-2	3	0.551469	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.183823	N
hsa-mir-1225	1	0.183823	N
hsa-mir-1226	4	0.735292	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.183823	N
hsa-mir-1229	2	0.367646	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.183823	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	0.551469	N
hsa-mir-1248	9	1.654407	N
hsa-mir-1249	42	7.720567	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.286761	N
hsa-mir-1254-2	10	1.838230	N
hsa-mir-1255a	1	0.183823	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	18	3.308814	N
hsa-mir-125a	4921	904.593094	N
hsa-mir-125b-1	8342	1533.451654	N
hsa-mir-125b-2	8415	1546.870735	N
hsa-mir-126	12471	2292.456914	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.183823	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.286761	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	15	2.757345	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	48	8.823505	N
hsa-mir-1269b	1585	291.359491	N
hsa-mir-127	26936	4951.456935	N
hsa-mir-1270	94	17.279364	N
hsa-mir-1271	70	12.867612	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	13	2.389699	N
hsa-mir-1275	2	0.367646	N
hsa-mir-1276	3	0.551469	N
hsa-mir-1277	69	12.683789	N
hsa-mir-1278	1	0.183823	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	22073	4057.525577	N
hsa-mir-128-2	13757	2528.853321	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.183823	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.735292	N
hsa-mir-1285-1	1	0.183823	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.183823	N
hsa-mir-1287	305	56.066022	N
hsa-mir-1288	4	0.735292	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	12	2.205876	N
hsa-mir-129-2	8	1.470584	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.183823	N
hsa-mir-1292	7	1.286761	N
hsa-mir-1293	1	0.183823	N
hsa-mir-1294	1	0.183823	N
hsa-mir-1295a	1	0.183823	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	17	3.124991	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	142	26.102869	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	2	0.367646	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.551469	N
hsa-mir-1305	13	2.389699	N
hsa-mir-1306	158	29.044038	N
hsa-mir-1307	13838	2543.742986	N
hsa-mir-130a	881	161.948083	N
hsa-mir-130b	1178	216.543521	N
hsa-mir-132	2847	523.344145	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.551469	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	3	0.551469	N
hsa-mir-133a-2	1	0.183823	Y
hsa-mir-133b	1	0.183823	Y
hsa-mir-134	5435	999.078128	N
hsa-mir-1343	2	0.367646	N
hsa-mir-135a-1	6	1.102938	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	5	0.919115	N
hsa-mir-136	2551	468.932531	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	7	1.286761	N
hsa-mir-138-2	17	3.124991	N
hsa-mir-139	569	104.595300	N
hsa-mir-140	13056	2399.993382	N
hsa-mir-141	8426	1548.892788	N
hsa-mir-142	315727	58037.891440	N
hsa-mir-143	31440	5779.395829	N
hsa-mir-144	555	102.021778	N
hsa-mir-145	1126	206.984723	N
hsa-mir-1468	80	14.705842	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1450	266.543383	N
hsa-mir-146b	10948	2012.494451	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.183823	N
hsa-mir-148a	611162	112345.646106	N
hsa-mir-148b	1599	293.933013	N
hsa-mir-149	4110	755.512623	N
hsa-mir-150	21177	3892.820148	N
hsa-mir-151a	8770	1612.127908	N
hsa-mir-151b	32	5.882337	N
hsa-mir-152	1346	247.425788	N
hsa-mir-153-1	8	1.470584	N
hsa-mir-153-2	99	18.198479	N
hsa-mir-1537	4	0.735292	N
hsa-mir-1538	15	2.757345	N
hsa-mir-1539	4	0.735292	N
hsa-mir-154	162	29.779330	N
hsa-mir-155	4848	891.174013	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	7337	1348.709516	N
hsa-mir-15b	8594	1579.775056	N
hsa-mir-16-1	7325	1346.503640	N
hsa-mir-16-2	7000	1286.761158	N
hsa-mir-17	21986	4041.532974	Y
hsa-mir-181a-1	165363	30397.526477	N
hsa-mir-181a-2	141326	25978.972484	N
hsa-mir-181b-1	16382	3011.388755	N
hsa-mir-181b-2	15815	2907.161102	N
hsa-mir-181c	1479	271.874250	N
hsa-mir-181d	289	53.124854	N
hsa-mir-182	377628	69416.720358	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	120023	22062.990635	N
hsa-mir-184	2862	526.101491	N
hsa-mir-185	1949	358.271071	N
hsa-mir-186	3998	734.924444	N
hsa-mir-187	13	2.389699	N
hsa-mir-188	38	6.985275	N
hsa-mir-18a	267	49.080747	Y
hsa-mir-18b	64	11.764673	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	53	9.742620	N
hsa-mir-190b	6	1.102938	N
hsa-mir-191	7203	1324.077231	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	1	0.183823	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	10041	1845.766969	Y
hsa-mir-193a	522	95.955618	N
hsa-mir-193b	1557	286.212446	N
hsa-mir-194-1	2015	370.403390	N
hsa-mir-194-2	2274	418.013553	N
hsa-mir-195	232	42.646941	N
hsa-mir-196a-1	2	0.367646	N
hsa-mir-196a-2	0	0.000000	N
hsa-mir-196b	8862	1629.039626	N
hsa-mir-197	2573	472.976637	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	43	7.904390	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	399	73.345386	Y
hsa-mir-199a-2	654	120.220257	Y
hsa-mir-199b	771	141.727550	Y
hsa-mir-19a	1629	299.447704	N
hsa-mir-19b-1	2090	384.190117	N
hsa-mir-19b-2	1822	334.925547	N
hsa-mir-200a	8401	1544.297212	N
hsa-mir-200b	8076	1484.554730	N
hsa-mir-200c	54350	9990.781275	N
hsa-mir-202	11	2.022053	N
hsa-mir-203a	17046	3133.447242	N
hsa-mir-203b	366	67.279226	N
hsa-mir-204	117	21.507294	N
hsa-mir-205	107875	19829.908557	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	9	1.654407	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	15166	2787.859960	N
hsa-mir-20b	10195	1874.075715	N
hsa-mir-21	289848	53280.735439	N
hsa-mir-210	6958	1279.040591	N
hsa-mir-211	1	0.183823	N
hsa-mir-2110	26	4.779399	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	14	2.573522	N
hsa-mir-2115	1	0.183823	N
hsa-mir-2116	2	0.367646	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	59	10.845558	N
hsa-mir-214	13	2.389699	N
hsa-mir-215	54	9.926443	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	14	2.573522	N
hsa-mir-218-1	1296	238.234637	N
hsa-mir-218-2	1278	234.925823	N
hsa-mir-219a-1	57	10.477912	N
hsa-mir-219a-2	2	0.367646	N
hsa-mir-219b	3	0.551469	N
hsa-mir-22	315064	57916.016776	N
hsa-mir-221	5208	957.350301	N
hsa-mir-222	1970	362.131354	N
hsa-mir-223	756	138.970205	N
hsa-mir-224	746	137.131975	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	7	1.286761	N
hsa-mir-2278	2	0.367646	N
hsa-mir-2355	308	56.617491	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	6775	1245.400978	Y
hsa-mir-23b	1907	350.550504	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	1508	277.205118	N
hsa-mir-24-2	1476	271.322781	N
hsa-mir-2467	1	0.183823	N
hsa-mir-25	100718	18514.287185	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	10438	1918.744709	N
hsa-mir-26a-2	10625	1953.119615	N
hsa-mir-26b	6005	1103.857250	N
hsa-mir-27a	1896	348.528451	Y
hsa-mir-27b	2806	515.807401	Y
hsa-mir-28	22930	4215.061907	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	89	16.360249	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	61	11.213204	N
hsa-mir-29a	46969	8633.983546	N
hsa-mir-29b-1	5896	1083.820541	Y
hsa-mir-29b-2	6864	1261.761227	Y
hsa-mir-29c	25170	4626.825478	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	152	27.941099	N
hsa-mir-301b	31	5.698514	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
