miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	103141	17591.895185	N
hsa-let-7a-2	102957	17560.511849	Y
hsa-let-7a-3	103183	17599.058773	N
hsa-let-7b	84441	14402.393048	N
hsa-let-7c	26693	4552.801099	Y
hsa-let-7d	6469	1103.363066	N
hsa-let-7e	4218	719.428878	N
hsa-let-7f-1	59528	10153.191617	N
hsa-let-7f-2	61100	10421.314471	N
hsa-let-7g	10719	1828.249915	N
hsa-let-7i	4269	728.127520	N
hsa-mir-1-1	22	3.752355	N
hsa-mir-1-2	21	3.581794	N
hsa-mir-100	297058	50666.691228	Y
hsa-mir-101-1	73354	12511.376459	N
hsa-mir-101-2	74263	12666.416964	N
hsa-mir-103a-1	84817	14466.524214	Y
hsa-mir-103a-2	85211	14533.725489	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1815	309.569325	Y
hsa-mir-106b	8794	1499.918813	N
hsa-mir-107	1129	192.564060	Y
hsa-mir-10a	29041	4953.279763	N
hsa-mir-10b	105684	18025.633363	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.511685	N
hsa-mir-1180	117	19.955709	N
hsa-mir-1181	2	0.341123	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.170562	N
hsa-mir-1185-2	1	0.170562	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.170562	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	12	2.046739	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	1.023370	N
hsa-mir-1229	6	1.023370	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.170562	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.511685	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	32	5.457972	N
hsa-mir-1248	7	1.193931	N
hsa-mir-1249	35	5.969656	N
hsa-mir-1250	1	0.170562	N
hsa-mir-1251	1	0.170562	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	10	1.705616	N
hsa-mir-1254-2	11	1.876178	N
hsa-mir-1255a	5	0.852808	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.511685	N
hsa-mir-125a	3973	677.641283	N
hsa-mir-125b-1	6213	1059.699293	N
hsa-mir-125b-2	6390	1089.888698	N
hsa-mir-126	21858	3728.135707	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	3	0.511685	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	5	0.852808	N
hsa-mir-1267	0	0.000000	N
