miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	366332	45645.480109	N
hsa-let-7a-2	365658	45561.498765	Y
hsa-let-7a-3	367009	45729.835257	N
hsa-let-7b	752457	93757.195731	N
hsa-let-7c	104066	12966.769305	Y
hsa-let-7d	7141	889.778598	N
hsa-let-7e	16541	2061.031759	N
hsa-let-7f-1	76772	9565.898690	N
hsa-let-7f-2	78597	9793.296245	N
hsa-let-7g	11968	1491.229557	N
hsa-let-7i	5136	639.952791	N
hsa-mir-1-1	8	0.996811	N
hsa-mir-1-2	13	1.619818	N
hsa-mir-100	163313	20349.028458	Y
hsa-mir-101-1	232292	28943.908437	N
hsa-mir-101-2	233533	29098.538774	N
hsa-mir-103a-1	82574	10288.836014	Y
hsa-mir-103a-2	82030	10221.052852	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1135	141.422589	Y
hsa-mir-106b	7496	934.012095	N
hsa-mir-107	1030	128.339442	Y
hsa-mir-10a	32917	4101.504288	N
hsa-mir-10b	211967	26411.384979	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.249203	N
hsa-mir-1180	264	32.894770	N
hsa-mir-1181	2	0.249203	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	21	2.616629	N
hsa-mir-1185-2	4	0.498406	N
hsa-mir-1193	1	0.124601	N
hsa-mir-1197	4	0.498406	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.124601	N
hsa-mir-1225	1	0.124601	N
hsa-mir-1226	1	0.124601	N
hsa-mir-1227	1	0.124601	N
hsa-mir-1228	3	0.373804	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.124601	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.249203	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	15	1.869021	N
hsa-mir-1248	17	2.118224	N
hsa-mir-1249	40	4.984056	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.498406	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.373804	N
hsa-mir-1254-2	6	0.747608	N
hsa-mir-1255a	1	0.124601	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.124601	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.124601	N
hsa-mir-125a	29192	3637.364072	N
hsa-mir-125b-1	76881	9579.480243	N
hsa-mir-125b-2	77742	9686.762048	N
hsa-mir-126	49036	6109.954256	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	37	4.610252	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	43	5.357860	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	15733	1960.353828	N
hsa-mir-1269b	3	0.373804	N
hsa-mir-127	44927	5597.967103	N
hsa-mir-1270	44	5.482462	N
hsa-mir-1271	52	6.479273	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.249203	N
hsa-mir-1275	7	0.872210	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	30	3.738042	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	8115	1011.140362	N
hsa-mir-128-2	5047	628.863266	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	1	0.124601	N
hsa-mir-1283-1	607	75.633050	N
hsa-mir-1283-2	769	95.818477	Y
hsa-mir-1284	3	0.373804	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	258	32.147161	N
hsa-mir-1288	6	0.747608	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	0.872210	N
hsa-mir-129-2	3	0.373804	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	1.121413	N
hsa-mir-1292	8	0.996811	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.249203	N
hsa-mir-1295a	25	3.115035	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	79	9.843511	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.124601	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	66	8.223692	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.249203	N
hsa-mir-1305	18	2.242825	N
hsa-mir-1306	99	12.335539	N
hsa-mir-1307	14130	1760.617784	N
hsa-mir-130a	6738	839.564234	N
hsa-mir-130b	791	98.559707	N
hsa-mir-132	7998	996.561998	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	2974	370.564564	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.249203	N
hsa-mir-133a-2	2	0.249203	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	10066	1254.237694	N
hsa-mir-1343	6	0.747608	N
hsa-mir-135a-1	10	1.246014	N
hsa-mir-135a-2	35	4.361049	N
hsa-mir-135b	186	23.175860	N
hsa-mir-136	6465	805.548052	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	3	0.373804	N
hsa-mir-139	2373	295.679122	N
hsa-mir-140	12936	1611.843712	N
hsa-mir-141	9849	1227.199190	N
hsa-mir-142	99338	12377.653885	N
