miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	164880	33751.584408	N
hsa-let-7a-2	164109	33593.757676	Y
hsa-let-7a-3	164673	33709.210694	N
hsa-let-7b	334773	68529.349631	N
hsa-let-7c	50789	10396.708033	Y
hsa-let-7d	5954	1218.807215	N
hsa-let-7e	7337	1501.912754	N
hsa-let-7f-1	55154	11290.240699	N
hsa-let-7f-2	55846	11431.895820	N
hsa-let-7g	8395	1718.489514	N
hsa-let-7i	4353	891.076219	N
hsa-mir-1-1	7	1.432928	N
hsa-mir-1-2	12	2.456447	N
hsa-mir-100	57049	11678.154651	N
hsa-mir-101-1	110983	22718.656553	N
hsa-mir-101-2	112621	23053.961594	N
hsa-mir-103a-1	74342	15218.099758	Y
hsa-mir-103a-2	74284	15206.226930	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.204704	N
hsa-mir-106a	1937	396.511517	Y
hsa-mir-106b	8520	1744.077506	N
hsa-mir-107	546	111.768347	Y
hsa-mir-10a	13041	2669.543985	N
hsa-mir-10b	101595	20796.896033	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	165	33.776149	N
hsa-mir-1181	4	0.818816	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.614112	N
hsa-mir-1185-2	1	0.204704	N
hsa-mir-1193	1	0.204704	N
hsa-mir-1197	1	0.204704	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.204704	N
hsa-mir-1226	8	1.637631	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.614112	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	1	0.204704	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.204704	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	2.456447	N
hsa-mir-1248	4	0.818816	N
hsa-mir-1249	23	4.708190	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.409408	N
hsa-mir-1252	1	0.204704	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.614112	N
hsa-mir-1254-2	3	0.614112	N
hsa-mir-1255a	3	0.614112	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.409408	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.614112	N
hsa-mir-125a	12081	2473.028210	N
hsa-mir-125b-1	24378	4990.272469	N
hsa-mir-125b-2	24300	4974.305562	N
hsa-mir-126	19945	4082.819936	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.204704	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	2.251743	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	28	5.731710	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9289	1901.494830	N
hsa-mir-1269b	1	0.204704	N
hsa-mir-127	13450	2753.267894	N
hsa-mir-1270	73	14.943387	N
hsa-mir-1271	93	19.037466	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	7	1.432928	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	3	0.614112	N
hsa-mir-1277	24	4.912894	N
hsa-mir-1278	2	0.409408	N
hsa-mir-1279	0	0.000000	N
