miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88228	14867.675865	N
hsa-let-7a-2	88006	14830.265700	N
hsa-let-7a-3	88603	14930.868711	N
hsa-let-7b	92350	15562.291632	N
hsa-let-7c	18325	3088.023759	N
hsa-let-7d	9541	1607.794526	N
hsa-let-7e	4585	772.637868	N
hsa-let-7f-1	50873	8572.825795	N
hsa-let-7f-2	51990	8761.056220	N
hsa-let-7g	11876	2001.275316	N
hsa-let-7i	5519	930.030184	N
hsa-mir-1-1	26	4.381371	N
hsa-mir-1-2	25	4.212856	N
hsa-mir-100	206726	34836.278288	N
hsa-mir-101-1	85656	14434.257196	N
hsa-mir-101-2	86208	14527.277066	N
hsa-mir-103a-1	105132	17716.240865	Y
hsa-mir-103a-2	106225	17900.426948	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.168514	N
hsa-mir-106a	1739	293.046293	Y
hsa-mir-106b	7630	1285.763781	N
hsa-mir-107	1038	174.917799	Y
hsa-mir-10a	14660	2470.419007	N
hsa-mir-10b	142145	23953.459058	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	156	26.288224	N
hsa-mir-1181	2	0.337029	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	1.179600	N
hsa-mir-1185-2	7	1.179600	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.842571	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	2.190685	N
hsa-mir-1227	1	0.168514	N
hsa-mir-1228	7	1.179600	N
hsa-mir-1229	7	1.179600	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.168514	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.168514	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.505543	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	28	4.718399	N
hsa-mir-1248	4	0.674057	N
hsa-mir-1249	14	2.359200	N
hsa-mir-1250	1	0.168514	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	1.348114	N
hsa-mir-1254-2	14	2.359200	N
hsa-mir-1255a	7	1.179600	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.337029	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.505543	N
hsa-mir-125a	6103	1028.442510	N
hsa-mir-125b-1	6280	1058.269534	N
hsa-mir-125b-2	6282	1058.606562	N
hsa-mir-126	33086	5575.462706	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.853657	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	4	0.674057	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	10984	1850.960599	N
hsa-mir-1269b	7	1.179600	N
hsa-mir-127	17139	2888.165850	N
hsa-mir-1270	40	6.740570	N
hsa-mir-1271	91	15.334797	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	15	2.527714	N
hsa-mir-1275	2	0.337029	N
hsa-mir-1276	1	0.168514	N
hsa-mir-1277	65	10.953427	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	19381	3265.974815	N
hsa-mir-128-2	11954	2014.419428	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.168514	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.337029	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	296	49.880220	N
hsa-mir-1288	13	2.190685	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	7	1.179600	N
hsa-mir-129-2	5	0.842571	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.674057	N
hsa-mir-1292	16	2.696228	N
hsa-mir-1293	1	0.168514	N
hsa-mir-1294	1	0.168514	N
hsa-mir-1295a	3	0.505543	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	12	2.022171	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.168514	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	128	21.569825	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.505543	N
hsa-mir-1305	7	1.179600	N
hsa-mir-1306	103	17.356968	N
hsa-mir-1307	13873	2337.798287	N
hsa-mir-130a	832	140.203862	N
hsa-mir-130b	851	143.405633	N
hsa-mir-132	1749	294.731435	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	11	1.853657	N
hsa-mir-133a-2	10	1.685143	Y
hsa-mir-133b	1	0.168514	Y
hsa-mir-134	4795	808.025862	N
hsa-mir-1343	5	0.842571	N
hsa-mir-135a-1	4	0.674057	N
hsa-mir-135a-2	2	0.337029	N
hsa-mir-135b	5	0.842571	N
hsa-mir-136	1580	266.252526	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	13	2.190685	N
hsa-mir-138-2	6	1.011086	N
hsa-mir-139	834	140.540890	N
hsa-mir-140	17884	3013.708972	N
hsa-mir-141	7321	1233.692875	N
hsa-mir-142	409468	69001.195777	N
hsa-mir-143	89291	15046.806520	N
hsa-mir-144	740	124.700550	N
hsa-mir-145	4864	819.653346	N
hsa-mir-1468	113	19.042111	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1481	249.569615	N
hsa-mir-146b	17839	3006.125830	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.168514	N
hsa-mir-148a	452754	76295.503905	N
hsa-mir-148b	1572	264.904412	N
hsa-mir-149	1430	240.975387	N
hsa-mir-150	63090	10631.564473	N
hsa-mir-151a	8230	1386.872335	N
hsa-mir-151b	20	3.370285	N
hsa-mir-152	1535	258.669384	N
hsa-mir-153-1	5	0.842571	N
hsa-mir-153-2	150	25.277139	N
hsa-mir-1537	7	1.179600	N
hsa-mir-1538	12	2.022171	N
hsa-mir-1539	5	0.842571	N
hsa-mir-154	114	19.210625	N
hsa-mir-155	6758	1138.819349	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	5954	1003.333886	N
hsa-mir-15b	7007	1180.779399	N
hsa-mir-16-1	6956	1172.185172	N
hsa-mir-16-2	6777	1142.021120	N
hsa-mir-17	18670	3146.161178	Y
hsa-mir-181a-1	171488	28898.172901	N
hsa-mir-181a-2	150931	25434.025320	N
hsa-mir-181b-1	15879	2675.837887	N
hsa-mir-181b-2	15580	2625.452124	N
hsa-mir-181c	1860	313.436518	N
hsa-mir-181d	503	84.762671	N
hsa-mir-182	517655	87232.247697	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	245036	41292.059473	N
hsa-mir-184	777	130.935578	N
hsa-mir-185	1317	221.933276	N
hsa-mir-186	4348	732.699989	N
hsa-mir-187	14	2.359200	N
hsa-mir-188	24	4.044342	N
hsa-mir-18a	256	43.139650	Y
hsa-mir-18b	46	7.751656	Y
hsa-mir-1908	1	0.168514	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	31	5.223942	N
hsa-mir-190b	2	0.337029	N
hsa-mir-191	8375	1411.306902	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	10284	1733.000619	Y
hsa-mir-193a	1324	223.112876	N
hsa-mir-193b	1029	173.401170	N
hsa-mir-194-1	1838	309.729204	N
hsa-mir-194-2	2129	358.766853	N
hsa-mir-195	212	35.725022	N
hsa-mir-196a-1	6	1.011086	N
hsa-mir-196a-2	2	0.337029	N
hsa-mir-196b	13400	2258.091044	N
hsa-mir-197	3260	549.356478	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	82	13.818169	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3437	579.183501	Y
hsa-mir-199a-2	4904	826.393916	Y
hsa-mir-199b	5180	872.903851	Y
hsa-mir-19a	1577	265.746983	N
hsa-mir-19b-1	1937	326.412116	N
hsa-mir-19b-2	1679	282.935437	N
hsa-mir-200a	11078	1866.800939	N
hsa-mir-200b	9210	1552.016307	N
hsa-mir-200c	58235	9813.427755	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	10364	1746.481759	N
hsa-mir-203b	63	10.616398	N
hsa-mir-204	309	52.070905	N
hsa-mir-205	41183	6939.922645	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	91	15.334797	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	12630	2128.335066	N
hsa-mir-20b	8792	1481.577347	N
hsa-mir-21	466855	78671.723442	N
hsa-mir-210	11601	1954.933895	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	20	3.370285	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	22	3.707314	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	2	0.337029	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	39	6.572056	N
hsa-mir-214	65	10.953427	N
hsa-mir-215	18	3.033257	Y
hsa-mir-216a	4	0.674057	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	152	25.614167	N
hsa-mir-218-1	595	100.265983	N
hsa-mir-218-2	563	94.873527	N
hsa-mir-219a-1	65	10.953427	N
hsa-mir-219a-2	4	0.674057	N
hsa-mir-219b	7	1.179600	N
hsa-mir-22	360845	60807.527060	N
hsa-mir-221	1529	257.658299	N
hsa-mir-222	724	122.004322	N
hsa-mir-223	1145	192.948824	N
hsa-mir-224	126	21.232796	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	20	3.370285	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	410	69.090845	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	12960	2183.944770	Y
hsa-mir-23b	3766	634.624692	Y
hsa-mir-23c	2	0.337029	N
hsa-mir-24-1	2239	377.303421	N
hsa-mir-24-2	2161	364.159309	N
hsa-mir-2467	1	0.168514	N
hsa-mir-25	121969	20553.515410	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	11111	1872.361909	N
hsa-mir-26a-2	10957	1846.410714	N
hsa-mir-26b	5066	853.693226	N
hsa-mir-27a	3179	535.706823	Y
hsa-mir-27b	3344	563.511675	Y
hsa-mir-28	37422	6306.140525	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	75	12.638569	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	50	8.425713	N
hsa-mir-29a	35637	6005.342576	N
hsa-mir-29b-1	4848	816.957118	Y
hsa-mir-29b-2	5468	921.435957	N
hsa-mir-29c	16369	2758.409873	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	172	28.984452	N
hsa-mir-301b	31	5.223942	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
