miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	212899	29481.042590	N
hsa-let-7a-2	211191	29244.528465	Y
hsa-let-7a-3	212441	29417.621355	N
hsa-let-7b	359158	49734.157015	N
hsa-let-7c	45670	6324.121837	Y
hsa-let-7d	4255	589.208198	N
hsa-let-7e	11813	1635.797050	N
hsa-let-7f-1	39332	5446.471647	N
hsa-let-7f-2	40359	5588.684765	N
hsa-let-7g	5674	785.703247	N
hsa-let-7i	3231	447.410503	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	4	0.553897	N
hsa-mir-100	21270	2945.348620	N
hsa-mir-101-1	128655	17815.412634	N
hsa-mir-101-2	130641	18090.422618	N
hsa-mir-103a-1	64552	8938.793800	Y
hsa-mir-103a-2	64841	8978.812876	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.138474	N
hsa-mir-105-2	1	0.138474	N
hsa-mir-106a	92	12.739637	Y
hsa-mir-106b	1692	234.298536	N
hsa-mir-107	414	57.328365	Y
hsa-mir-10a	37877	5244.991523	N
hsa-mir-10b	441887	61189.998388	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.415423	N
hsa-mir-1180	163	22.571313	N
hsa-mir-1181	4	0.553897	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	7	0.969320	N
hsa-mir-1185-2	7	0.969320	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	4	0.553897	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.138474	N
hsa-mir-1224	1	0.138474	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.415423	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.276949	N
hsa-mir-1229	1	0.138474	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	7	0.969320	N
hsa-mir-1248	1	0.138474	N
hsa-mir-1249	20	2.769486	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	2	0.276949	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.553897	N
hsa-mir-1254-2	10	1.384743	N
hsa-mir-1255a	1	0.138474	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	1.107794	N
hsa-mir-125a	23157	3206.649647	N
hsa-mir-125b-1	39438	5461.149924	N
hsa-mir-125b-2	40040	5544.511460	N
hsa-mir-126	53460	7402.836729	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	25	3.461858	N
