miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	122578	20767.825711	N
hsa-let-7a-2	123023	20843.220011	Y
hsa-let-7a-3	122763	20799.169409	N
hsa-let-7b	80056	13563.519189	N
hsa-let-7c	29796	5048.198983	Y
hsa-let-7d	10115	1713.737841	N
hsa-let-7e	7751	1313.216214	N
hsa-let-7f-1	70422	11931.274962	N
hsa-let-7f-2	71844	12172.197869	N
hsa-let-7g	11879	2012.604233	N
hsa-let-7i	3574	605.526351	N
hsa-mir-1-1	11	1.863679	N
hsa-mir-1-2	16	2.710806	N
hsa-mir-100	647830	109758.851757	Y
hsa-mir-101-1	107393	18195.101133	N
hsa-mir-101-2	107404	18196.964812	N
hsa-mir-103a-1	67015	11354.042651	Y
hsa-mir-103a-2	67767	11481.450546	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1462	247.699923	Y
hsa-mir-106b	8169	1384.036028	N
hsa-mir-107	1175	199.074836	Y
hsa-mir-10a	8298	1405.891904	N
hsa-mir-10b	108584	18396.886775	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	7	1.185978	N
hsa-mir-1180	53	8.979546	N
hsa-mir-1181	1	0.169425	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.338851	N
hsa-mir-1226	7	1.185978	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.185978	N
hsa-mir-1229	5	0.847127	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1	0.169425	N
hsa-mir-1248	4	0.677702	N
hsa-mir-1249	12	2.033105	N
hsa-mir-1250	2	0.338851	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.677702	N
hsa-mir-1254-2	4	0.677702	N
hsa-mir-1255a	3	0.508276	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	5	0.847127	N
hsa-mir-125a	9139	1548.378658	N
hsa-mir-125b-1	15179	2571.708027	N
hsa-mir-125b-2	15410	2610.845292	N
hsa-mir-126	16738	2835.842213	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.169425	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	9	1.524829	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	8	1.355403	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	15	2.541381	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	101	17.111965	N
hsa-mir-1270	22	3.727359	N
hsa-mir-1271	81	13.723457	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	7	1.185978	N
hsa-mir-1275	2	0.338851	N
hsa-mir-1276	1	0.169425	N
hsa-mir-1277	37	6.268740	N
hsa-mir-1278	1	0.169425	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	11769	1993.967439	N
hsa-mir-128-2	7386	1251.375946	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.847127	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	274	46.422557	N
hsa-mir-1288	5	0.847127	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	0.677702	N
hsa-mir-129-2	4	0.677702	N
hsa-mir-1290	2	0.338851	N
hsa-mir-1291	3	0.508276	N
hsa-mir-1292	8	1.355403	N
hsa-mir-1293	3	0.508276	N
hsa-mir-1294	3	0.508276	N
hsa-mir-1295a	2	0.338851	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	14	2.371955	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	72	12.198628	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.185978	N
hsa-mir-1305	16	2.710806	N
hsa-mir-1306	102	17.281390	N
hsa-mir-1307	9784	1657.658036	N
hsa-mir-130a	1416	239.906355	N
hsa-mir-130b	1146	194.161499	N
hsa-mir-132	902	152.821704	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	3	0.508276	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	8	1.355403	N
hsa-mir-133a-2	9	1.524829	Y
hsa-mir-133b	1	0.169425	Y
hsa-mir-134	86	14.570584	N
hsa-mir-1343	2	0.338851	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	3	0.508276	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	12	2.033105	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	5	0.847127	N
hsa-mir-138-2	18	3.049657	N
hsa-mir-139	683	115.717543	N
hsa-mir-140	9296	1574.978445	N
hsa-mir-141	16728	2834.147959	N
hsa-mir-142	218479	37015.890238	N
hsa-mir-143	64410	10912.689504	N
hsa-mir-144	318	53.877275	N
hsa-mir-145	2986	505.904221	N
hsa-mir-1468	58	9.826673	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1695	287.176040	N
hsa-mir-146b	10940	1853.513789	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	6	1.016552	N
hsa-mir-148a	391885	66395.269779	N
hsa-mir-148b	1148	194.500350	N
hsa-mir-149	3331	564.355981	N
hsa-mir-150	27833	4715.616938	N
hsa-mir-151a	9166	1552.953144	N
hsa-mir-151b	24	4.066209	N
hsa-mir-152	475	80.477061	N
