miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	183562	27184.133027	N
hsa-let-7a-2	184027	27252.995983	Y
hsa-let-7a-3	183021	27104.015051	N
hsa-let-7b	201675	29866.530264	N
hsa-let-7c	40381	5980.118302	Y
hsa-let-7d	10028	1485.070363	N
hsa-let-7e	8836	1308.544249	N
hsa-let-7f-1	83907	12425.987132	N
hsa-let-7f-2	85890	12719.654317	N
hsa-let-7g	9188	1360.672766	N
hsa-let-7i	3711	549.570813	N
hsa-mir-1-1	14	2.073293	N
hsa-mir-1-2	10	1.480924	N
hsa-mir-100	338905	50189.247249	Y
hsa-mir-101-1	132749	19659.115041	N
hsa-mir-101-2	134204	19874.589451	N
hsa-mir-103a-1	90646	13423.981665	Y
hsa-mir-103a-2	90778	13443.529859	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	422	62.494983	Y
hsa-mir-106b	4513	668.340900	N
hsa-mir-107	1060	156.977920	Y
hsa-mir-10a	51512	7628.534558	N
hsa-mir-10b	117080	17338.655576	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.148092	N
hsa-mir-1180	168	24.879519	N
hsa-mir-1181	6	0.888554	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	76	11.255021	N
hsa-mir-1185-2	27	3.998494	N
hsa-mir-1193	1	0.148092	N
hsa-mir-1197	1	0.148092	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.296185	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.592370	N
hsa-mir-1227	4	0.592370	N
hsa-mir-1228	3	0.444277	N
hsa-mir-1229	2	0.296185	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.148092	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.148092	N
hsa-mir-124-1	1	0.148092	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.444277	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	45	6.664157	N
hsa-mir-1248	5	0.740462	N
hsa-mir-1249	42	6.219880	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.148092	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	1.036647	N
hsa-mir-1254-2	4	0.592370	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	6887	1019.912205	N
hsa-mir-125b-1	9828	1455.451888	N
hsa-mir-125b-2	10207	1511.578899	N
hsa-mir-126	43646	6463.639915	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.296185	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	1.629016	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	120	17.771085	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	110896	16422.852313	N
hsa-mir-1270	20	2.961848	N
hsa-mir-1271	74	10.958836	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	3	0.444277	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	47	6.960342	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	2327	344.610963	N
hsa-mir-128-2	1499	221.990474	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.148092	N
hsa-mir-1283-2	4	0.592370	N
hsa-mir-1284	3	0.444277	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	215	31.839861	N
hsa-mir-1288	3	0.444277	N
hsa-mir-1289-1	3	0.444277	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.184739	N
hsa-mir-129-2	7	1.036647	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.296185	N
hsa-mir-1292	6	0.888554	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.296185	N
hsa-mir-1295a	3	0.444277	N
hsa-mir-1295b	2	0.296185	N
hsa-mir-1296	21	3.109940	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	74	10.958836	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.296185	N
hsa-mir-1305	14	2.073293	N
hsa-mir-1306	85	12.587852	N
hsa-mir-1307	8310	1230.647658	N
hsa-mir-130a	294	43.539159	N
hsa-mir-130b	438	64.864461	N
hsa-mir-132	4466	661.380559	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	10	1.480924	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	0.888554	Y
hsa-mir-133a-2	10	1.480924	N
hsa-mir-133b	1	0.148092	Y
hsa-mir-134	26214	3882.093588	N
hsa-mir-1343	5	0.740462	N
hsa-mir-135a-1	1	0.148092	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	4	0.592370	N
hsa-mir-136	12375	1832.643173	N
hsa-mir-137	3	0.444277	N
hsa-mir-138-1	5	0.740462	N
hsa-mir-138-2	29	4.294679	N
hsa-mir-139	1392	206.144590	N
hsa-mir-140	7888	1168.152675	N
hsa-mir-141	17652	2614.126650	N
hsa-mir-142	110515	16366.429117	N
hsa-mir-143	136857	20267.478529	N
hsa-mir-144	751	111.217376	N
hsa-mir-145	6816	1009.397646	N
hsa-mir-1468	91	13.476406	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2126	314.844395	N
hsa-mir-146b	5136	760.602452	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	693165	102652.452958	N
hsa-mir-148b	1013	150.017579	N
hsa-mir-149	2267	335.725420	N
hsa-mir-150	22757	3370.138238	N
hsa-mir-151a	13661	2023.089971	N
hsa-mir-151b	32	4.738956	N
hsa-mir-152	4099	607.030656	N
hsa-mir-153-1	7	1.036647	N
hsa-mir-153-2	87	12.884037	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	6	0.888554	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	1078	159.643583	N
hsa-mir-155	4368	646.867506	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	3412	505.291193	N
hsa-mir-15b	5540	820.431772	N
hsa-mir-16-1	4332	641.536180	N
hsa-mir-16-2	4215	624.209372	N
hsa-mir-17	4620	684.186785	Y
hsa-mir-181a-1	21844	3234.929898	N
hsa-mir-181a-2	19363	2867.512709	N
hsa-mir-181b-1	2415	357.643092	N
hsa-mir-181b-2	2268	335.873513	N
hsa-mir-181c	675	99.962355	N
hsa-mir-181d	174	25.768074	N
hsa-mir-182	294473	43609.206725	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	87301	12928.612662	N
hsa-mir-184	5	0.740462	N
hsa-mir-185	1177	174.304729	N
hsa-mir-186	2278	337.354436	N
hsa-mir-187	8	1.184739	N
hsa-mir-188	50	7.404619	N
hsa-mir-18a	71	10.514559	Y
hsa-mir-18b	24	3.554217	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	86	12.735944	N
hsa-mir-190b	9	1.332831	N
hsa-mir-191	7276	1077.520140	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	16836	2493.283270	Y
hsa-mir-193a	3838	568.378545	N
hsa-mir-193b	1773	262.567786	N
hsa-mir-194-1	2403	355.865984	N
hsa-mir-194-2	2833	419.545706	N
hsa-mir-195	1165	172.527620	N
hsa-mir-196a-1	20	2.961848	N
hsa-mir-196a-2	25	3.702309	N
hsa-mir-196b	1104	163.493985	N
hsa-mir-197	2062	305.366483	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	70	10.366466	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	5337	790.369020	Y
hsa-mir-199a-2	8709	1289.736517	Y
hsa-mir-199b	10791	1598.064847	Y
hsa-mir-19a	297	43.983436	N
hsa-mir-19b-1	639	94.631029	N
hsa-mir-19b-2	543	80.414161	N
hsa-mir-200a	7069	1046.865018	N
hsa-mir-200b	7182	1063.599456	N
hsa-mir-200c	84084	12452.199483	N
hsa-mir-202	21	3.109940	N
hsa-mir-203a	2360	349.498011	N
hsa-mir-203b	0	0.000000	N
hsa-mir-204	80	11.847390	N
hsa-mir-205	390549	57837.330001	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	2	0.296185	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2484	367.861466	N
hsa-mir-20b	2934	434.503036	N
hsa-mir-21	630708	93403.047326	N
hsa-mir-210	2997	443.832856	N
hsa-mir-211	1	0.148092	N
hsa-mir-2110	15	2.221386	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	8	1.184739	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	5	0.740462	N
hsa-mir-2117	1	0.148092	N
hsa-mir-212	104	15.401607	N
hsa-mir-214	80	11.847390	N
hsa-mir-215	129	19.103917	Y
hsa-mir-216a	2	0.296185	N
hsa-mir-216b	1	0.148092	N
hsa-mir-217	99	14.661145	N
hsa-mir-218-1	1274	188.669689	N
hsa-mir-218-2	1209	179.043685	N
hsa-mir-219a-1	86	12.735944	N
hsa-mir-219a-2	3	0.444277	N
hsa-mir-219b	1	0.148092	N
hsa-mir-22	550244	81486.942251	N
hsa-mir-221	1992	295.000016	N
hsa-mir-222	809	119.806734	N
hsa-mir-223	808	119.658641	N
hsa-mir-224	68	10.070282	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	8	1.184739	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	179	26.508536	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	21268	3149.628688	Y
hsa-mir-23b	3203	474.339886	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	2821	417.768597	N
hsa-mir-24-2	2735	405.032653	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	55082	8157.224346	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	8459	1252.713423	N
hsa-mir-26a-2	8627	1277.592942	N
hsa-mir-26b	7479	1107.582892	N
hsa-mir-27a	5109	756.603957	Y
hsa-mir-27b	3751	555.494509	Y
hsa-mir-28	12839	1901.358037	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	88	13.032129	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	525	77.748498	N
hsa-mir-29a	79594	11787.264707	N
hsa-mir-29b-1	10554	1562.966954	Y
hsa-mir-29b-2	10760	1593.473984	Y
hsa-mir-29c	24200	3583.835539	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	123	18.215362	N
