miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	263232	41342.292673	N
hsa-let-7a-2	263175	41333.340453	Y
hsa-let-7a-3	263494	41383.441472	N
hsa-let-7b	474145	74467.547104	N
hsa-let-7c	65608	10304.161871	Y
hsa-let-7d	7516	1180.436542	N
hsa-let-7e	10234	1607.316068	N
hsa-let-7f-1	87503	13742.913611	N
hsa-let-7f-2	89442	14047.446136	N
hsa-let-7g	10425	1637.313857	N
hsa-let-7i	4130	648.643283	N
hsa-mir-1-1	14	2.198791	N
hsa-mir-1-2	15	2.355847	N
hsa-mir-100	39865	6261.056777	Y
hsa-mir-101-1	156461	24573.214708	N
hsa-mir-101-2	158048	24822.463349	N
hsa-mir-103a-1	84469	13266.404236	Y
hsa-mir-103a-2	85170	13376.500832	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.157056	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2292	359.973464	Y
hsa-mir-106b	9684	1520.935001	N
hsa-mir-107	945	148.418378	Y
hsa-mir-10a	17736	2785.553819	N
hsa-mir-10b	94905	14905.445714	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.157056	N
hsa-mir-1180	170	26.699602	N
hsa-mir-1181	7	1.099395	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.314113	N
hsa-mir-1185-2	2	0.314113	N
hsa-mir-1193	2	0.314113	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	4	0.628226	N
hsa-mir-1226	9	1.413508	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.785282	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.314113	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	1.413508	N
hsa-mir-1248	1	0.157056	N
hsa-mir-1249	13	2.041734	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	20	3.141130	N
hsa-mir-1252	1	0.157056	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.157056	N
hsa-mir-1254-2	3	0.471169	N
hsa-mir-1255a	5	0.785282	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.314113	N
hsa-mir-125a	17757	2788.852005	N
hsa-mir-125b-1	26659	4186.968835	N
hsa-mir-125b-2	26958	4233.928724	N
hsa-mir-126	34681	5446.875958	N
hsa-mir-1260a	1	0.157056	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	20	3.141130	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	20	3.141130	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	9253	1453.243656	N
hsa-mir-1269b	1	0.157056	N
hsa-mir-127	20442	3210.548667	N
hsa-mir-1270	54	8.481050	N
hsa-mir-1271	108	16.962100	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	9	1.413508	N
hsa-mir-1275	5	0.785282	N
hsa-mir-1276	4	0.628226	N
hsa-mir-1277	46	7.224598	N
hsa-mir-1278	3	0.471169	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	33818	5311.336211	N
hsa-mir-128-2	20431	3208.821046	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	165	25.914320	N
hsa-mir-1283-2	256	40.206460	Y
hsa-mir-1284	10	1.570565	N
hsa-mir-1285-1	1	0.157056	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.157056	N
hsa-mir-1287	178	27.956054	N
hsa-mir-1288	6	0.942339	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	3	0.471169	N
hsa-mir-129-2	1	0.157056	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.628226	N
hsa-mir-1292	6	0.942339	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	88	13.820971	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	34	5.339920	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	44	6.910485	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	7	1.099395	N
hsa-mir-1305	22	3.455243	N
hsa-mir-1306	116	18.218552	N
hsa-mir-1307	12841	2016.762325	N
hsa-mir-130a	3608	566.659798	N
hsa-mir-130b	1559	244.851060	N
hsa-mir-132	5565	874.019339	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1040	163.338744	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.628226	N
hsa-mir-133a-2	4	0.628226	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	4601	722.616888	N
hsa-mir-1343	7	1.099395	N
hsa-mir-135a-1	53	8.323994	N
hsa-mir-135a-2	61	9.580446	N
hsa-mir-135b	41	6.439316	N
hsa-mir-136	4278	671.887643	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.157056	N
hsa-mir-138-2	5	0.785282	N
hsa-mir-139	1276	200.404075	N
hsa-mir-140	18807	2953.761314	N
hsa-mir-141	3415	536.347896	N
hsa-mir-142	305665	48006.670503	N
hsa-mir-143	90274	14178.117131	N
hsa-mir-144	576	90.464535	N
hsa-mir-145	4154	652.412639	N
hsa-mir-1468	52	8.166937	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1185	186.111935	N
hsa-mir-146b	7633	1198.812150	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.628226	N
hsa-mir-148a	452932	71135.907887	N
hsa-mir-148b	1256	197.262945	N
hsa-mir-149	1179	185.169596	N
hsa-mir-150	7874	1236.662763	N
hsa-mir-151a	9448	1483.869671	N
hsa-mir-151b	38	5.968146	N
hsa-mir-152	1712	268.880702	N
hsa-mir-153-1	8	1.256452	N
hsa-mir-153-2	127	19.946174	N
hsa-mir-1537	6	0.942339	N
hsa-mir-1538	8	1.256452	N
hsa-mir-1539	2	0.314113	N
hsa-mir-154	270	42.405251	N
hsa-mir-155	3604	566.031572	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	10880	1708.774557	N
hsa-mir-15b	17784	2793.092530	N
hsa-mir-16-1	10071	1581.715861	N
hsa-mir-16-2	10032	1575.590658	N
hsa-mir-17	32014	5028.006312	Y
hsa-mir-181a-1	201459	31640.442422	N
hsa-mir-181a-2	166608	26166.866861	N
hsa-mir-181b-1	15838	2487.460610	N
hsa-mir-181b-2	14652	2301.191619	N
hsa-mir-181c	3973	623.985415	N
hsa-mir-181d	725	113.865952	N
hsa-mir-182	27936	4387.529966	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	6880	1080.548617	N
hsa-mir-184	5	0.785282	N
hsa-mir-185	1327	208.413956	N
hsa-mir-186	4282	672.515869	N
hsa-mir-187	4	0.628226	N
hsa-mir-188	23	3.612299	N
hsa-mir-18a	256	40.206460	Y
hsa-mir-18b	52	8.166937	Y
hsa-mir-1908	2	0.314113	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	162	25.443151	N
hsa-mir-190b	7	1.099395	N
hsa-mir-191	8018	1259.278897	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	1	0.157056	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	7025	1103.321807	Y
hsa-mir-193a	1244	195.378267	N
hsa-mir-193b	961	150.931282	N
hsa-mir-194-1	1317	206.843391	N
hsa-mir-194-2	1397	219.407910	N
hsa-mir-195	1290	202.602866	N
hsa-mir-196a-1	17	2.669960	N
hsa-mir-196a-2	16	2.512904	N
hsa-mir-196b	27599	4334.601931	N
hsa-mir-197	3124	490.644459	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	3.926412	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	1579	247.992190	Y
hsa-mir-199a-2	2565	402.849884	Y
hsa-mir-199b	3509	551.111206	Y
hsa-mir-19a	1880	295.266192	N
hsa-mir-19b-1	2635	413.843838	N
hsa-mir-19b-2	2254	354.005317	N
hsa-mir-200a	3857	605.766863	N
hsa-mir-200b	5320	835.540500	N
hsa-mir-200c	12332	1936.820574	N
hsa-mir-202	0	0.000000	N
hsa-mir-203a	3534	555.037618	N
hsa-mir-203b	172	27.013715	N
hsa-mir-204	1900	298.407322	N
hsa-mir-205	40294	6328.434009	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	21034	3303.526107	N
hsa-mir-20b	12231	1920.957869	N
hsa-mir-21	234090	36765.352586	N
hsa-mir-210	2030	318.824665	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	28	4.397582	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	2	0.314113	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	16	2.512904	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	101	15.862705	N
hsa-mir-214	24	3.769356	N
hsa-mir-215	16	2.512904	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	9	1.413508	N
hsa-mir-218-1	676	106.170184	N
hsa-mir-218-2	712	111.824217	N
hsa-mir-219a-1	125	19.632061	N
hsa-mir-219a-2	1	0.157056	N
hsa-mir-219b	11	1.727621	N
hsa-mir-22	542828	85254.657667	N
hsa-mir-221	3808	598.071095	N
hsa-mir-222	1182	185.640765	N
hsa-mir-223	646	101.458489	N
hsa-mir-224	30	4.711695	N
hsa-mir-2276	2	0.314113	N
hsa-mir-2277	11	1.727621	N
hsa-mir-2278	1	0.157056	N
hsa-mir-2355	341	53.556261	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	35523	5579.117518	Y
hsa-mir-23b	5724	898.991320	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	3467	544.514834	N
hsa-mir-24-2	3475	545.771286	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	149763	23521.250371	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	18058	2836.126007	N
hsa-mir-26a-2	18162	2852.459881	N
hsa-mir-26b	7840	1231.322843	N
hsa-mir-27a	5978	938.883668	Y
hsa-mir-27b	5271	827.844733	Y
hsa-mir-28	30877	4849.433089	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	142	22.302021	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	234	36.751218	N
hsa-mir-29a	40000	6282.259402	N
hsa-mir-29b-1	2720	427.193639	Y
hsa-mir-29b-2	3276	514.517045	N
hsa-mir-29c	34984	5494.464073	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	139	21.830851	N
hsa-mir-301b	26	4.083469	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.157056	N
hsa-mir-3065	254	39.892347	N
hsa-mir-3074	102	16.019761	N
hsa-mir-30a	89682	14085.139692	Y
hsa-mir-30b	2819	442.742231	Y
hsa-mir-30c-1	3250	510.433576	Y
hsa-mir-30c-2	3425	537.918461	Y
hsa-mir-30d	79524	12489.759917	N
hsa-mir-30e	181467	28500.569173	Y
hsa-mir-31	299	46.959889	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	2	0.314113	N
hsa-mir-3122	0	0.000000	N
