miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	258869	34254.663440	N
hsa-let-7a-2	257096	34020.052427	Y
hsa-let-7a-3	258573	34215.495442	N
hsa-let-7b	364821	48274.689402	N
hsa-let-7c	74615	9873.378862	Y
hsa-let-7d	7290	964.644266	N
hsa-let-7e	8972	1187.213766	N
hsa-let-7f-1	100701	13325.190977	N
hsa-let-7f-2	102226	13526.985559	N
hsa-let-7g	17780	2352.726344	N
hsa-let-7i	6269	829.541139	N
hsa-mir-1-1	5	0.661622	N
hsa-mir-1-2	8	1.058595	N
hsa-mir-100	108740	14388.946156	Y
hsa-mir-101-1	182151	24103.006541	N
hsa-mir-101-2	184332	24391.605875	N
hsa-mir-103a-1	132803	17573.066179	Y
hsa-mir-103a-2	133574	17675.088227	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.264649	N
hsa-mir-105-2	2	0.264649	N
hsa-mir-106a	4816	637.273907	Y
hsa-mir-106b	19785	2618.036598	N
hsa-mir-107	1371	181.416638	Y
hsa-mir-10a	24493	3241.019479	N
hsa-mir-10b	191175	25297.101171	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.793946	N
hsa-mir-1180	153	20.245620	N
hsa-mir-1181	7	0.926270	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.661622	N
hsa-mir-1185-2	1	0.132324	N
hsa-mir-1193	1	0.132324	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	1.058595	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.132324	N
hsa-mir-1229	1	0.132324	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.132324	N
hsa-mir-1237	1	0.132324	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	12	1.587892	N
hsa-mir-1248	11	1.455567	N
hsa-mir-1249	10	1.323243	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	4	0.529297	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.926270	N
hsa-mir-1254-2	5	0.661622	N
hsa-mir-1255a	8	1.058595	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	8754	1158.367065	N
