miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	138576	35774.796602	N
hsa-let-7a-2	138469	35747.173469	Y
hsa-let-7a-3	139611	36041.992325	N
hsa-let-7b	310169	80073.265842	N
hsa-let-7c	36971	9544.437747	Y
hsa-let-7d	5502	1420.396973	N
hsa-let-7e	4514	1165.334776	N
hsa-let-7f-1	40571	10473.814174	N
hsa-let-7f-2	41902	10817.425292	N
hsa-let-7g	9804	2531.001803	N
hsa-let-7i	3270	844.183588	N
hsa-mir-1-1	8	2.065281	N
hsa-mir-1-2	6	1.548961	N
hsa-mir-100	17165	4431.318437	N
hsa-mir-101-1	78594	20289.836365	N
hsa-mir-101-2	79859	20616.408915	N
hsa-mir-103a-1	62915	16242.143865	Y
hsa-mir-103a-2	62506	16136.556376	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1623	418.993873	Y
hsa-mir-106b	4888	1261.886660	N
hsa-mir-107	451	116.430214	Y
hsa-mir-10a	10013	2584.957268	N
hsa-mir-10b	166949	43099.573649	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.258160	N
hsa-mir-1180	110	28.397613	N
hsa-mir-1181	1	0.258160	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.774480	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.258160	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.258160	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	4	1.032640	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.258160	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	1	0.258160	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	42	10.842725	N
hsa-mir-1248	5	1.290801	N
hsa-mir-1249	10	2.581601	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.774480	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	1.548961	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.516320	N
hsa-mir-125a	9781	2525.064121	N
hsa-mir-125b-1	18293	4722.523050	N
hsa-mir-125b-2	18736	4836.887983	N
hsa-mir-126	31808	8211.557054	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	15	3.872402	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	21	5.421362	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	4499	1161.462374	N
hsa-mir-1269b	4	1.032640	N
hsa-mir-127	6861	1771.236574	N
hsa-mir-1270	37	9.551924	N
hsa-mir-1271	42	10.842725	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	17	4.388722	N
hsa-mir-1275	1	0.258160	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	42	10.842725	N
hsa-mir-1278	2	0.516320	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	12841	3315.034084	N
hsa-mir-128-2	7480	1931.037688	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	127	32.786335	N
hsa-mir-1283-2	165	42.596420	Y
hsa-mir-1284	1	0.258160	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	135	34.851616	N
hsa-mir-1288	4	1.032640	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	4	1.032640	N
hsa-mir-129-2	2	0.516320	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	11	2.839761	N
hsa-mir-1292	2	0.516320	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.258160	N
hsa-mir-1295a	4	1.032640	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	28	7.228483	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	46	11.875365	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	1.290801	N
hsa-mir-1305	4	1.032640	N
hsa-mir-1306	84	21.685450	N
hsa-mir-1307	10540	2721.007651	N
hsa-mir-130a	2169	559.949297	N
hsa-mir-130b	839	216.596340	N
hsa-mir-132	4678	1207.673035	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	576	148.700228	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	2	0.516320	N
hsa-mir-133a-2	4	1.032640	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	2064	532.842485	N
hsa-mir-1343	6	1.548961	N
hsa-mir-135a-1	12	3.097921	N
hsa-mir-135a-2	12	3.097921	N
hsa-mir-135b	287	74.091954	N
hsa-mir-136	1236	319.085907	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	1	0.258160	N
hsa-mir-139	1015	262.032520	N
hsa-mir-140	9311	2403.728865	N
hsa-mir-141	4714	1216.966799	N
hsa-mir-142	200498	51760.587469	N
hsa-mir-143	56012	14460.064566	N
hsa-mir-144	805	207.818896	N
hsa-mir-145	5211	1345.272378	N
hsa-mir-1468	37	9.551924	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	747	192.845609	N
hsa-mir-146b	10654	2750.437904	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	326547	84301.412265	N
hsa-mir-148b	674	173.999920	N
hsa-mir-149	2675	690.578317	N
hsa-mir-150	6221	1606.014098	N
hsa-mir-151a	4837	1248.720494	N
hsa-mir-151b	15	3.872402	N
hsa-mir-152	484	124.949497	N
hsa-mir-153-1	5	1.290801	N
hsa-mir-153-2	132	34.077136	N
hsa-mir-1537	10	2.581601	N
hsa-mir-1538	8	2.065281	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	91	23.492571	N
hsa-mir-155	2284	589.637711	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	6190	1598.011134	N
hsa-mir-15b	11258	2906.366616	N
hsa-mir-16-1	6054	1562.901358	N
