miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	174725	27491.949095	N
hsa-let-7a-2	174840	27510.043668	Y
hsa-let-7a-3	175141	27557.404244	N
hsa-let-7b	132379	20829.055540	N
hsa-let-7c	70305	11062.077443	Y
hsa-let-7d	7429	1168.909371	N
hsa-let-7e	4690	737.943862	N
hsa-let-7f-1	154671	24336.570374	N
hsa-let-7f-2	155777	24510.592956	N
hsa-let-7g	10210	1606.483332	N
hsa-let-7i	5131	807.332613	N
hsa-mir-1-1	13	2.045473	N
hsa-mir-1-2	12	1.888129	N
hsa-mir-100	395682	62258.230946	Y
hsa-mir-101-1	149865	23580.374595	N
hsa-mir-101-2	152619	24013.700266	N
hsa-mir-103a-1	107586	16928.023096	Y
hsa-mir-103a-2	108252	17032.814271	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.314688	N
hsa-mir-106a	2408	378.884610	Y
hsa-mir-106b	9792	1540.713496	N
hsa-mir-107	1673	263.236691	Y
hsa-mir-10a	18074	2843.837390	N
hsa-mir-10b	96775	15226.975955	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.472032	N
hsa-mir-1180	118	18.566605	N
hsa-mir-1181	8	1.258753	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.157344	N
hsa-mir-1226	9	1.416097	N
hsa-mir-1227	2	0.314688	N
hsa-mir-1228	1	0.157344	N
hsa-mir-1229	4	0.629376	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.157344	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.157344	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	20	3.146882	N
hsa-mir-1248	13	2.045473	N
hsa-mir-1249	23	3.618914	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
