miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	110012	21427.967615	N
hsa-let-7a-2	111206	21660.533093	Y
hsa-let-7a-3	111049	21629.952875	N
hsa-let-7b	127709	24874.961970	N
hsa-let-7c	58489	11392.397174	Y
hsa-let-7d	6299	1226.909501	N
hsa-let-7e	7125	1387.796506	N
hsa-let-7f-1	54017	10521.347914	N
hsa-let-7f-2	55057	10723.917509	N
hsa-let-7g	7567	1473.888584	N
hsa-let-7i	4863	947.207637	N
hsa-mir-1-1	22	4.285126	N
hsa-mir-1-2	23	4.479905	N
hsa-mir-100	547699	106679.966140	Y
hsa-mir-101-1	74623	14534.952799	N
hsa-mir-101-2	75535	14712.590752	N
hsa-mir-103a-1	74737	14557.157543	Y
hsa-mir-103a-2	75399	14686.100882	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	977	190.298553	Y
hsa-mir-106b	4478	872.217931	N
hsa-mir-107	977	190.298553	Y
hsa-mir-10a	62043	12084.639810	N
hsa-mir-10b	152141	29633.789232	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.389557	N
hsa-mir-1180	97	18.893510	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.168671	N
hsa-mir-1185-2	2	0.389557	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.194778	N
hsa-mir-1224	2	0.389557	N
hsa-mir-1225	3	0.584335	N
hsa-mir-1226	2	0.389557	N
hsa-mir-1227	1	0.194778	N
hsa-mir-1228	4	0.779114	N
hsa-mir-1229	5	0.973892	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.194778	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	64	12.465821	N
hsa-mir-1248	11	2.142563	N
hsa-mir-1249	17	3.311234	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	1.558228	N
hsa-mir-1254-2	12	2.337341	N
hsa-mir-1255a	10	1.947785	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.389557	N
hsa-mir-125a	6894	1342.802683	N
hsa-mir-125b-1	15310	2982.058177	N
hsa-mir-125b-2	15508	3020.624312	N
hsa-mir-126	27581	5372.184623	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.389557	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	27	5.259018	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	27	5.259018	N
hsa-mir-1269b	1	0.194778	N
hsa-mir-127	24930	4855.826934	N
hsa-mir-1270	25	4.869461	N
hsa-mir-1271	26	5.064240	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	2	0.389557	N
hsa-mir-1275	3	0.584335	N
hsa-mir-1276	2	0.389557	N
hsa-mir-1277	22	4.285126	N
hsa-mir-1278	1	0.194778	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	4154	809.109711	N
hsa-mir-128-2	2490	484.998358	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.194778	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	4	0.779114	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	327	63.692555	N
hsa-mir-1288	4	0.779114	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.194778	N
hsa-mir-129-1	1	0.194778	N
hsa-mir-129-2	3	0.584335	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.584335	N
hsa-mir-1292	5	0.973892	N
hsa-mir-1293	1	0.194778	N
hsa-mir-1294	3	0.584335	N
hsa-mir-1295a	2	0.389557	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	18	3.506012	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	77	14.997941	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.194778	N
hsa-mir-1305	2	0.389557	N
hsa-mir-1306	59	11.491929	N
hsa-mir-1307	7823	1523.751869	N
hsa-mir-130a	716	139.461375	N
hsa-mir-130b	250	48.694614	N
hsa-mir-132	1864	363.067044	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	1	0.194778	N
hsa-mir-1323	1	0.194778	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.753006	N
hsa-mir-133a-2	22	4.285126	Y
hsa-mir-133b	3	0.584335	Y
hsa-mir-134	3296	641.989794	N
hsa-mir-1343	4	0.779114	N
hsa-mir-135a-1	1	0.194778	N
hsa-mir-135a-2	1	0.194778	N
hsa-mir-135b	19	3.700791	N
hsa-mir-136	2068	402.801849	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	10	1.947785	N
hsa-mir-138-2	10	1.947785	N
hsa-mir-139	919	179.001402	N
hsa-mir-140	10866	2116.462714	N
hsa-mir-141	13202	2571.465190	N
hsa-mir-142	59422	11574.125474	N
hsa-mir-143	166442	32419.315946	N
hsa-mir-144	8981	1749.305323	N
hsa-mir-145	9071	1766.835384	N
hsa-mir-1468	32	6.232911	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	841	163.808682	N
hsa-mir-146b	9750	1899.089956	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	587129	114360.080701	N
hsa-mir-148b	621	120.957422	N
hsa-mir-149	1752	341.251857	N
hsa-mir-150	31433	6122.471240	N
hsa-mir-151a	5205	1013.821869	N
hsa-mir-151b	22	4.285126	N
hsa-mir-152	1740	338.914515	N
hsa-mir-153-1	4	0.779114	N
hsa-mir-153-2	84	16.361390	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	1	0.194778	N
hsa-mir-1539	2	0.389557	N
