miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	189781	42967.110342	N
hsa-let-7a-2	188682	42718.292735	Y
hsa-let-7a-3	189027	42796.401993	N
hsa-let-7b	258457	58515.607135	N
hsa-let-7c	47557	10767.078193	Y
hsa-let-7d	5210	1179.562996	N
hsa-let-7e	7835	1773.872566	N
hsa-let-7f-1	67702	15327.979642	N
hsa-let-7f-2	69306	15691.131090	N
hsa-let-7g	8987	2034.689567	N
hsa-let-7i	3408	771.583626	N
hsa-mir-1-1	13	2.943247	N
hsa-mir-1-2	14	3.169651	N
hsa-mir-100	81909	18544.496241	Y
hsa-mir-101-1	122887	27822.064847	N
hsa-mir-101-2	124928	28284.154688	N
hsa-mir-103a-1	62633	14180.339560	Y
hsa-mir-103a-2	63239	14317.540170	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1469	332.586956	Y
hsa-mir-106b	8078	1828.888652	N
hsa-mir-107	667	151.011232	Y
hsa-mir-10a	11331	2565.379713	N
hsa-mir-10b	45416	10282.347987	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.452807	N
hsa-mir-1180	112	25.357208	N
hsa-mir-1181	4	0.905615	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.905615	N
hsa-mir-1185-2	2	0.452807	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	3	0.679211	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	1.132018	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.226404	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.226404	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	1	0.226404	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.226404	N
