miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	183413	32931.864779	N
hsa-let-7a-2	181667	32618.369902	Y
hsa-let-7a-3	182870	32834.368950	N
hsa-let-7b	414372	74400.629575	N
hsa-let-7c	82952	14894.059021	Y
hsa-let-7d	6284	1128.294277	N
hsa-let-7e	6693	1201.730362	N
hsa-let-7f-1	35425	6360.570460	N
hsa-let-7f-2	36167	6493.796805	N
hsa-let-7g	6998	1256.493213	N
hsa-let-7i	5617	1008.534207	N
hsa-mir-1-1	11	1.975054	N
hsa-mir-1-2	8	1.436403	N
hsa-mir-100	81356	14607.496693	Y
hsa-mir-101-1	136386	24488.151384	N
hsa-mir-101-2	138346	24840.070032	N
hsa-mir-103a-1	65987	11847.987663	Y
hsa-mir-103a-2	65910	11834.162287	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	893	160.338445	Y
hsa-mir-106b	5775	1036.903159	N
hsa-mir-107	454	81.515850	Y
hsa-mir-10a	19631	3524.752539	N
hsa-mir-10b	121212	21763.654668	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.179550	N
hsa-mir-1180	154	27.650751	N
hsa-mir-1181	8	1.436403	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.615953	N
hsa-mir-1185-2	7	1.256852	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.179550	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.179550	N
hsa-mir-1224	1	0.179550	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.256852	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.179550	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
