miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	188736	21358.296008	N
hsa-let-7a-2	188610	21344.037227	Y
hsa-let-7a-3	189822	21481.193120	N
hsa-let-7b	344873	39027.528501	N
hsa-let-7c	129801	14688.920927	Y
hsa-let-7d	12170	1377.217184	N
hsa-let-7e	22542	2550.963826	N
hsa-let-7f-1	63432	7178.277766	N
hsa-let-7f-2	65334	7393.517460	N
hsa-let-7g	11768	1331.724882	N
hsa-let-7i	5113	578.612281	N
hsa-mir-1-1	4	0.452660	N
hsa-mir-1-2	3	0.339495	N
hsa-mir-100	38623	4370.769046	Y
hsa-mir-101-1	191846	21710.238936	N
hsa-mir-101-2	192381	21770.782173	N
hsa-mir-103a-1	140703	15922.644981	Y
hsa-mir-103a-2	141014	15957.839274	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.113165	N
hsa-mir-105-2	3	0.339495	N
hsa-mir-106a	95	10.750668	Y
hsa-mir-106b	5708	645.945414	N
hsa-mir-107	816	92.342582	Y
hsa-mir-10a	92725	10493.218026	N
hsa-mir-10b	325050	36784.260116	N
hsa-mir-1178	1	0.113165	N
hsa-mir-1179	1	0.113165	N
hsa-mir-1180	575	65.069834	N
hsa-mir-1181	1	0.113165	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.339495	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.113165	N
hsa-mir-1197	1	0.113165	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.113165	N
hsa-mir-1224	1	0.113165	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.339495	N
hsa-mir-1227	1	0.113165	N
hsa-mir-1228	6	0.678990	N
hsa-mir-1229	5	0.565825	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.113165	N
hsa-mir-1238	2	0.226330	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.339495	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	333	37.683921	N
hsa-mir-1248	3	0.339495	N
