miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	189892	24974.619904	N
hsa-let-7a-2	190174	25011.708579	Y
hsa-let-7a-3	190853	25101.010745	N
hsa-let-7b	160136	21061.107013	N
hsa-let-7c	52307	6879.423268	Y
hsa-let-7d	9926	1305.468778	N
hsa-let-7e	8900	1170.529128	N
hsa-let-7f-1	108911	14323.988521	N
hsa-let-7f-2	111490	14663.178928	N
hsa-let-7g	13780	1812.347346	N
hsa-let-7i	5444	715.995570	N
hsa-mir-1-1	16	2.104322	N
hsa-mir-1-2	13	1.709762	N
hsa-mir-100	486877	64034.124738	N
hsa-mir-101-1	122649	16130.812022	N
hsa-mir-101-2	123882	16292.976339	N
hsa-mir-103a-1	96989	12756.005571	Y
hsa-mir-103a-2	97760	12857.407588	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1856	244.101355	Y
hsa-mir-106b	8733	1148.565267	N
hsa-mir-107	1229	161.638236	Y
hsa-mir-10a	27289	3589.052738	N
hsa-mir-10b	194308	25555.412783	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.394560	N
hsa-mir-1180	116	15.256335	N
hsa-mir-1181	3	0.394560	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.657601	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	1	0.131520	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	11	1.446721	N
hsa-mir-1227	2	0.263040	N
hsa-mir-1228	6	0.789121	N
hsa-mir-1229	3	0.394560	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.131520	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.131520	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.131520	N
hsa-mir-1247	14	1.841282	N
hsa-mir-1248	8	1.052161	N
hsa-mir-1249	34	4.471684	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	8	1.052161	N
hsa-mir-1254-2	4	0.526081	N
hsa-mir-1255a	4	0.526081	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	1.052161	N
hsa-mir-125a	4687	616.434834	N
hsa-mir-125b-1	13903	1828.524322	N
hsa-mir-125b-2	14194	1866.796679	N
hsa-mir-126	24711	3249.993851	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.657601	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.315201	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	141	18.544338	N
hsa-mir-1269b	3	0.394560	N
hsa-mir-127	30102	3959.018855	N
hsa-mir-1270	58	7.628167	N
hsa-mir-1271	65	8.548808	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	14	1.841282	N
hsa-mir-1275	6	0.789121	N
hsa-mir-1276	2	0.263040	N
hsa-mir-1277	34	4.471684	N
hsa-mir-1278	5	0.657601	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	14534	1911.513522	N
hsa-mir-128-2	8960	1178.420335	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.131520	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	0.657601	N
hsa-mir-1285-1	1	0.131520	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.131520	N
hsa-mir-1287	476	62.603580	N
hsa-mir-1288	12	1.578242	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.789121	N
hsa-mir-129-2	12	1.578242	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.657601	N
hsa-mir-1292	5	0.657601	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.526081	N
hsa-mir-1295a	1	0.131520	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	43	5.655365	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	106	13.941133	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	8	1.052161	N
hsa-mir-1305	5	0.657601	N
hsa-mir-1306	130	17.097616	N
hsa-mir-1307	20526	2699.582121	N
hsa-mir-130a	793	104.295460	N
hsa-mir-130b	715	94.036891	N
hsa-mir-132	3950	519.504501	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	4	0.526081	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.183681	Y
hsa-mir-133a-2	6	0.789121	Y
hsa-mir-133b	9	1.183681	Y
hsa-mir-134	4894	643.659500	N
hsa-mir-1343	11	1.446721	N
hsa-mir-135a-1	2	0.263040	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	1717	225.820058	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	9	1.183681	N
hsa-mir-138-2	8	1.052161	N
hsa-mir-139	549	72.204550	N
hsa-mir-140	16906	2223.479262	N
hsa-mir-141	9280	1220.506776	N
hsa-mir-142	309234	40670.494867	N
hsa-mir-143	133587	17569.379168	N
hsa-mir-144	246	32.353951	N
hsa-mir-145	5724	752.821205	N
hsa-mir-1468	120	15.782415	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2385	313.675502	N
hsa-mir-146b	20169	2652.629436	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.131520	N
hsa-mir-148a	355163	46711.082767	N
hsa-mir-148b	1139	149.801424	N
hsa-mir-149	4174	548.965009	N
hsa-mir-150	82622	10866.455910	N
hsa-mir-151a	12941	1702.001960	N
hsa-mir-151b	27	3.551043	N
hsa-mir-152	1156	152.037266	N
hsa-mir-153-1	10	1.315201	N
hsa-mir-153-2	184	24.199703	N
hsa-mir-1537	7	0.920641	N
hsa-mir-1538	10	1.315201	N
hsa-mir-1539	1	0.131520	N
hsa-mir-154	182	23.936663	N
hsa-mir-155	5297	696.662111	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	7666	1008.233291	N
hsa-mir-15b	10518	1383.328693	N
hsa-mir-16-1	6773	890.785818	N
hsa-mir-16-2	6548	861.193790	N
hsa-mir-17	22103	2906.989361	Y
hsa-mir-181a-1	110575	14542.838012	N
hsa-mir-181a-2	90220	11865.745833	N
hsa-mir-181b-1	11729	1542.599566	N
hsa-mir-181b-2	10515	1382.934132	N
hsa-mir-181c	1145	150.590545	N
hsa-mir-181d	221	29.065948	N
hsa-mir-182	960520	126327.712119	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	412755	54285.589905	N
hsa-mir-184	3874	509.508971	N
hsa-mir-185	1208	158.876313	N
hsa-mir-186	3117	409.948235	N
hsa-mir-187	43	5.655365	N
hsa-mir-188	35	4.603204	N
hsa-mir-18a	273	35.904995	N
hsa-mir-18b	30	3.945604	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	3	0.394560	N
