miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	286308	49515.092515	N
hsa-let-7a-2	285069	49300.815584	Y
hsa-let-7a-3	285861	49437.786794	N
hsa-let-7b	535597	92627.991554	N
hsa-let-7c	86880	15025.326703	Y
hsa-let-7d	6062	1048.383178	N
hsa-let-7e	17131	2962.694196	N
hsa-let-7f-1	68771	11893.493816	N
hsa-let-7f-2	70126	12127.832187	N
hsa-let-7g	10204	1764.714936	N
hsa-let-7i	6662	1152.149246	N
hsa-mir-1-1	4	0.691774	N
hsa-mir-1-2	8	1.383548	N
hsa-mir-100	12938	2237.542321	Y
hsa-mir-101-1	131367	22719.061844	N
hsa-mir-101-2	133653	23114.410565	N
hsa-mir-103a-1	88466	15299.615011	Y
hsa-mir-103a-2	88990	15390.237377	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	572	98.923652	Y
hsa-mir-106b	2444	422.673785	N
hsa-mir-107	686	118.639205	Y
hsa-mir-10a	20906	3615.555710	N
hsa-mir-10b	90643	15676.112895	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	162	28.016838	N
hsa-mir-1181	2	0.345887	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.729434	N
hsa-mir-1185-2	2	0.345887	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.172943	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.172943	N
hsa-mir-1226	7	1.210604	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.345887	N
hsa-mir-1229	2	0.345887	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.172943	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	8	1.383548	N
hsa-mir-1248	2	0.345887	N
hsa-mir-1249	40	6.917738	N
hsa-mir-1250	1	0.172943	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	4	0.691774	N
hsa-mir-1255a	1	0.172943	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.172943	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	3	0.518830	N
hsa-mir-125a	21170	3661.212780	N
hsa-mir-125b-1	32718	5658.363709	N
hsa-mir-125b-2	33541	5800.696167	N
hsa-mir-126	14987	2591.903445	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	21	3.631812	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	40	6.917738	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	6698	1158.375210	N
hsa-mir-1269b	3248	561.720317	N
hsa-mir-127	25243	4365.611441	N
hsa-mir-1270	62	10.722494	N
hsa-mir-1271	31	5.361247	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	4	0.691774	N
hsa-mir-1275	1	0.172943	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	12	2.075321	N
hsa-mir-1278	1	0.172943	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	5506	952.226621	N
hsa-mir-128-2	3220	556.877900	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	123	21.272044	N
hsa-mir-1283-2	164	28.362725	Y
hsa-mir-1284	4	0.691774	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	259	44.792353	N
hsa-mir-1288	1	0.172943	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.383548	N
hsa-mir-129-2	16	2.767095	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	0.864717	N
hsa-mir-1292	5	0.864717	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	4	0.691774	N
hsa-mir-1295a	194	33.551029	N
hsa-mir-1295b	2	0.345887	N
hsa-mir-1296	97	16.775514	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	79	13.662532	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.345887	N
hsa-mir-1305	6	1.037661	N
hsa-mir-1306	106	18.332005	N
hsa-mir-1307	5498	950.843073	N
hsa-mir-130a	2590	447.923529	N
hsa-mir-130b	249	43.062918	N
hsa-mir-132	6438	1113.409914	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	2	0.345887	N
hsa-mir-1323	782	135.241776	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.691774	N
hsa-mir-133a-2	1	0.172943	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	6992	1209.220584	N
hsa-mir-1343	4	0.691774	N
hsa-mir-135a-1	18	3.112982	N
hsa-mir-135a-2	9	1.556491	N
hsa-mir-135b	17	2.940039	N
hsa-mir-136	1596	276.017742	N
hsa-mir-137	1	0.172943	N
hsa-mir-138-1	1	0.172943	N
hsa-mir-138-2	1	0.172943	N
hsa-mir-139	869	150.287856	N
hsa-mir-140	22401	3874.106163	N
hsa-mir-141	2140	370.098977	N
hsa-mir-142	52975	9161.679122	N
hsa-mir-143	146246	25292.287397	N
hsa-mir-144	259	44.792353	N
hsa-mir-145	10360	1791.694114	N
hsa-mir-1468	62	10.722494	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1931	333.953797	N
hsa-mir-146b	9689	1675.649061	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	297969	51531.786054	N
hsa-mir-148b	922	159.453858	N
hsa-mir-149	921	159.280915	N
hsa-mir-150	8222	1421.941024	N
hsa-mir-151a	11141	1926.762947	N
hsa-mir-151b	30	5.188303	N
hsa-mir-152	5449	942.368844	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	33	5.707134	N
hsa-mir-1537	1	0.172943	N
hsa-mir-1538	3	0.518830	N
hsa-mir-1539	1	0.172943	N
hsa-mir-154	252	43.581749	N
hsa-mir-155	2122	366.985995	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	6838	1182.587293	N
hsa-mir-15b	3711	641.793133	N
hsa-mir-16-1	5608	969.866853	N
hsa-mir-16-2	5423	937.872315	N
hsa-mir-17	9021	1560.122838	Y
hsa-mir-181a-1	37749	6528.442193	N
hsa-mir-181a-2	40083	6932.092199	N
hsa-mir-181b-1	5231	904.667173	N
hsa-mir-181b-2	5366	928.014538	N
hsa-mir-181c	3529	610.317426	N
hsa-mir-181d	1125	194.561378	N
hsa-mir-182	76520	13233.632589	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	19126	3307.716373	N
hsa-mir-184	5	0.864717	N
hsa-mir-185	568	98.231878	N
hsa-mir-186	3064	529.898723	N
hsa-mir-187	3	0.518830	N
hsa-mir-188	14	2.421208	N
hsa-mir-18a	74	12.797815	Y
hsa-mir-18b	8	1.383548	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	91	15.737854	N
hsa-mir-190b	9	1.556491	N
hsa-mir-191	3984	689.006694	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.172943	N
hsa-mir-1914	1	0.172943	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	2712	469.022629	Y
hsa-mir-193a	2138	369.753090	N
hsa-mir-193b	1774	306.801676	N
hsa-mir-194-1	749	129.534642	N
hsa-mir-194-2	771	133.339398	N
hsa-mir-195	1145	198.020247	N
hsa-mir-196a-1	6	1.037661	N
hsa-mir-196a-2	9	1.556491	N
hsa-mir-196b	2250	389.122756	N
hsa-mir-197	3209	554.975522	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	32	5.534190	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	11938	2064.598874	Y
hsa-mir-199a-2	18355	3174.376976	Y
hsa-mir-199b	20897	3613.999219	Y
hsa-mir-19a	326	56.379564	N
hsa-mir-19b-1	898	155.303216	N
hsa-mir-19b-2	710	122.789848	N
hsa-mir-200a	2134	369.061317	N
hsa-mir-200b	3292	569.329829	N
hsa-mir-200c	14597	2524.455501	N
hsa-mir-202	2	0.345887	N
hsa-mir-203a	1431	247.482073	N
hsa-mir-203b	50	8.647172	N
hsa-mir-204	67	11.587211	N
hsa-mir-205	28995	5014.495255	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.172943	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	7089	1225.996098	N
hsa-mir-20b	1467	253.708037	N
hsa-mir-21	534547	92446.400934	N
hsa-mir-210	5528	956.031377	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	33	5.707134	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.518830	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	11	1.902378	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	121	20.926157	N
hsa-mir-214	215	37.182841	N
hsa-mir-215	25	4.323586	Y
hsa-mir-216a	1	0.172943	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	151	26.114461	N
hsa-mir-218-1	606	104.803729	N
hsa-mir-218-2	553	95.637726	N
hsa-mir-219a-1	42	7.263625	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.345887	N
hsa-mir-22	848234	146696.512094	N
hsa-mir-221	5416	936.661711	N
hsa-mir-222	1546	267.370570	N
hsa-mir-223	1698	293.657974	N
hsa-mir-224	23	3.977699	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	6	1.037661	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	235	40.641710	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	35626	6161.283254	Y
hsa-mir-23b	4250	735.009651	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	3560	615.678672	N
hsa-mir-24-2	3581	619.310485	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	38167	6600.732554	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	18327	3169.534559	N
hsa-mir-26a-2	18665	3227.989444	N
hsa-mir-26b	7318	1265.600147	N
hsa-mir-27a	6929	1198.325146	Y
hsa-mir-27b	4211	728.264857	Y
hsa-mir-28	18762	3244.764959	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	69	11.933098	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	231	39.949936	N
hsa-mir-29a	57493	9943.037617	N
hsa-mir-29b-1	5734	991.657727	Y
hsa-mir-29b-2	6461	1117.387613	N
hsa-mir-29c	52624	9100.975972	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	56	9.684833	N
hsa-mir-301b	10	1.729434	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	2	0.345887	N
hsa-mir-3065	193	33.378085	N
hsa-mir-3074	22	3.804756	N
hsa-mir-30a	74214	12834.824999	Y
hsa-mir-30b	4585	792.945706	Y
hsa-mir-30c-1	3285	568.119224	Y
hsa-mir-30c-2	3675	635.567169	Y
hsa-mir-30d	85300	14752.076056	N
hsa-mir-30e	97121	16796.440547	Y
hsa-mir-31	39	6.744794	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	1	0.172943	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	1	0.172943	N
hsa-mir-3125	2	0.345887	N
hsa-mir-3126	1	0.172943	N
hsa-mir-3127	19	3.285925	N
hsa-mir-3128	1	0.172943	N
hsa-mir-3129	0	0.000000	N
hsa-mir-3130-1	2	0.345887	N
hsa-mir-3130-2	8	1.383548	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	1	0.172943	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	2	0.345887	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.345887	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	1	0.172943	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	1	0.172943	N
hsa-mir-3144	4	0.691774	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	3	0.518830	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	1	0.172943	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	3	0.518830	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	7	1.210604	N
hsa-mir-3158-1	1	0.172943	N
hsa-mir-3158-2	1	0.172943	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	3	0.518830	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	0	0.000000	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	3	0.518830	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	8	1.383548	N
hsa-mir-3174	1	0.172943	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
