miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146829	37130.819827	N
hsa-let-7a-2	147292	37247.905482	Y
hsa-let-7a-3	146904	37149.786186	N
hsa-let-7b	190138	48083.006901	N
hsa-let-7c	30913	7817.427302	Y
hsa-let-7d	3323	840.336134	N
hsa-let-7e	8381	2119.427368	N
hsa-let-7f-1	56173	14205.296925	N
hsa-let-7f-2	57464	14531.771180	N
hsa-let-7g	5860	1481.904829	N
hsa-let-7i	2222	561.909988	N
hsa-mir-1-1	85	21.495207	N
hsa-mir-1-2	77	19.472128	N
hsa-mir-100	116252	29398.361812	N
hsa-mir-101-1	113714	28756.540233	N
hsa-mir-101-2	115391	29180.628014	N
hsa-mir-103a-1	49521	12523.107347	Y
hsa-mir-103a-2	49520	12522.854462	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	3	0.758654	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	872	220.515531	Y
hsa-mir-106b	5641	1426.523062	N
hsa-mir-107	712	180.053966	Y
hsa-mir-10a	13493	3412.174379	N
hsa-mir-10b	146638	37082.518834	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	119	30.093289	N
hsa-mir-1181	1	0.252885	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	1.517309	N
hsa-mir-1185-2	3	0.758654	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.758654	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.505770	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.505770	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	6.322120	N
hsa-mir-1248	1	0.252885	N
hsa-mir-1249	20	5.057696	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	10	2.528848	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.252885	N
hsa-mir-1254-2	3	0.758654	N
hsa-mir-1255a	4	1.011539	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.252885	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.252885	N
hsa-mir-125a	8831	2233.225520	N
hsa-mir-125b-1	16210	4099.262335	N
hsa-mir-125b-2	16701	4223.428764	N
hsa-mir-126	15399	3894.172776	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.505770	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	1.011539	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	2.528848	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3224	815.300541	N
hsa-mir-1269b	1	0.252885	N
hsa-mir-127	10101	2554.389195	N
hsa-mir-1270	32	8.092313	N
hsa-mir-1271	37	9.356737	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.252885	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	9	2.275963	N
hsa-mir-1275	2	0.505770	N
hsa-mir-1276	2	0.505770	N
hsa-mir-1277	11	2.781733	N
hsa-mir-1278	1	0.252885	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	16471	4165.265263	N
hsa-mir-128-2	10378	2624.438280	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	115	29.081750	N
hsa-mir-1283-2	137	34.645215	Y
hsa-mir-1284	3	0.758654	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	112	28.323096	N
hsa-mir-1288	2	0.505770	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.505770	N
hsa-mir-129-2	6	1.517309	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	1.011539	N
hsa-mir-1292	5	1.264424	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.252885	N
hsa-mir-1295a	2	0.505770	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	8	2.023078	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	34	8.598083	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	1.011539	N
hsa-mir-1305	3	0.758654	N
hsa-mir-1306	49	12.391354	N
hsa-mir-1307	6494	1642.233782	N
hsa-mir-130a	2022	511.333032	N
hsa-mir-130b	518	130.994318	N
hsa-mir-132	3658	925.052537	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	620	156.788566	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	18	4.551926	Y
hsa-mir-133a-2	15	3.793272	Y
hsa-mir-133b	3	0.758654	Y
hsa-mir-134	1741	440.272407	N
hsa-mir-1343	4	1.011539	N
hsa-mir-135a-1	88	22.253861	N
hsa-mir-135a-2	130	32.875022	N
hsa-mir-135b	11	2.781733	N
hsa-mir-136	1501	379.580060	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	0	0.000000	N
hsa-mir-138-2	4	1.011539	N
hsa-mir-139	1161	293.599233	N
hsa-mir-140	10619	2685.383512	N
hsa-mir-141	5293	1338.519157	N
hsa-mir-142	123391	31203.706279	N
hsa-mir-143	139717	35332.303249	N
hsa-mir-144	965	244.033816	N
hsa-mir-145	3450	872.452502	N
hsa-mir-1468	25	6.322120	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	997	252.126129	N
hsa-mir-146b	7542	1907.257035	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.252885	N
