miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	99537	18075.554609	N
hsa-let-7a-2	99295	18031.608295	Y
hsa-let-7a-3	99475	18064.295636	N
hsa-let-7b	79911	14511.544896	N
hsa-let-7c	29364	5332.394843	Y
hsa-let-7d	6802	1235.218285	N
hsa-let-7e	5183	941.213815	N
hsa-let-7f-1	53630	9739.011560	N
hsa-let-7f-2	54225	9847.061381	N
hsa-let-7g	10975	1993.019800	N
hsa-let-7i	4919	893.272382	N
hsa-mir-1-1	13	2.360752	N
hsa-mir-1-2	12	2.179156	N
hsa-mir-100	315314	57259.867446	Y
hsa-mir-101-1	86379	15686.110005	N
hsa-mir-101-2	87324	15857.718543	N
hsa-mir-103a-1	71881	13053.326309	Y
hsa-mir-103a-2	72663	13195.334645	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.181596	N
hsa-mir-105-2	4	0.726385	N
hsa-mir-106a	1155	209.743769	Y
hsa-mir-106b	9105	1653.434650	N
hsa-mir-107	1274	231.353734	Y
hsa-mir-10a	32562	5913.139930	N
hsa-mir-10b	86717	15747.489567	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	77	13.982918	N
hsa-mir-1181	3	0.544789	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	14	2.542349	N
hsa-mir-1185-2	3	0.544789	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.363193	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.181596	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	1.634367	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.271174	N
hsa-mir-1229	5	0.907982	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.363193	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.363193	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	47	8.535028	N
hsa-mir-1248	16	2.905541	N
hsa-mir-1249	14	2.542349	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	2	0.363193	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.726385	N
hsa-mir-1254-2	6	1.089578	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.363193	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.363193	N
hsa-mir-125a	4116	747.450524	N
hsa-mir-125b-1	7169	1301.864141	N
hsa-mir-125b-2	7594	1379.042584	N
hsa-mir-126	26634	4836.636843	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.271174	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	1.089578	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	810	147.093033	N
hsa-mir-1269b	2	0.363193	N
hsa-mir-127	20976	3809.164768	N
hsa-mir-1270	19	3.450330	N
hsa-mir-1271	58	10.532588	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	10	1.815963	N
hsa-mir-1275	1	0.181596	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	62	11.258973	N
hsa-mir-1278	5	0.907982	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	12921	2346.406272	N
hsa-mir-128-2	8928	1621.292098	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.181596	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.181596	N
hsa-mir-1285-1	1	0.181596	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	203	36.864056	N
hsa-mir-1288	5	0.907982	N
