miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	131494	18996.617870	N
hsa-let-7a-2	130620	18870.353219	N
hsa-let-7a-3	132223	19101.934724	N
hsa-let-7b	158382	22881.061733	N
hsa-let-7c	20154	2911.599286	N
hsa-let-7d	4868	703.268102	N
hsa-let-7e	5911	853.947771	N
hsa-let-7f-1	47847	6912.339538	N
hsa-let-7f-2	48587	7019.245535	N
hsa-let-7g	7480	1080.617379	N
hsa-let-7i	5792	836.756131	N
hsa-mir-1-1	17	2.455949	N
hsa-mir-1-2	25	3.611689	N
hsa-mir-100	34884	5039.606505	N
hsa-mir-101-1	39585	5718.748524	N
hsa-mir-101-2	40562	5859.893334	N
hsa-mir-103a-1	101512	14665.191364	Y
hsa-mir-103a-2	101920	14724.134130	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.144468	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	290	41.895594	Y
hsa-mir-106b	4573	660.650170	N
hsa-mir-107	529	76.423341	Y
hsa-mir-10a	100835	14567.386823	N
hsa-mir-10b	63846	9223.676096	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.144468	N
hsa-mir-1180	112	16.180367	N
hsa-mir-1181	1	0.144468	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.433403	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.433403	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	13	1.878078	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	22	3.178286	N
hsa-mir-1229	6	0.866805	N
hsa-mir-1231	1	0.144468	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.288935	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.288935	N
hsa-mir-1238	2	0.288935	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	2	0.288935	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	17	2.455949	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.144468	N
hsa-mir-1247	47	6.789976	N
hsa-mir-1248	7	1.011273	N
hsa-mir-1249	8	1.155741	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.433403	N
hsa-mir-1254-2	13	1.878078	N
hsa-mir-1255a	1	0.144468	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2991	432.102484	N
hsa-mir-125b-1	4873	703.990440	N
hsa-mir-125b-2	5085	734.617563	N
hsa-mir-126	24139	3487.302529	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.144468	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	25	3.611689	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	3194	461.429400	N
hsa-mir-1269b	1186	171.338531	N
hsa-mir-127	5796	837.334001	N
hsa-mir-1270	7	1.011273	N
hsa-mir-1271	19	2.744884	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
