miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	122310	19135.454801	N
hsa-let-7a-2	121407	18994.180043	Y
hsa-let-7a-3	122859	19221.346100	N
hsa-let-7b	120649	18875.590600	N
hsa-let-7c	30072	4704.777997	Y
hsa-let-7d	8114	1269.438969	N
hsa-let-7e	7283	1139.428643	N
hsa-let-7f-1	69193	10825.276135	N
hsa-let-7f-2	70762	11070.746894	N
hsa-let-7g	13995	2189.524078	N
hsa-let-7i	6381	998.310335	N
hsa-mir-1-1	30	4.693514	N
hsa-mir-1-2	25	3.911261	N
hsa-mir-100	208507	32621.014425	N
hsa-mir-101-1	106570	16672.924685	N
hsa-mir-101-2	108181	16924.966363	N
hsa-mir-103a-1	116417	18213.492287	Y
hsa-mir-103a-2	116470	18221.784161	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.156450	N
hsa-mir-106a	2307	360.931193	Y
hsa-mir-106b	10472	1638.349135	N
hsa-mir-107	869	135.955443	Y
hsa-mir-10a	27657	4326.950155	N
hsa-mir-10b	109981	17206.577177	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.469351	N
hsa-mir-1180	165	25.814325	N
hsa-mir-1181	5	0.782252	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.312901	N
hsa-mir-1185-2	1	0.156450	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.156450	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	3	0.469351	N
hsa-mir-1226	25	3.911261	N
hsa-mir-1227	1	0.156450	N
hsa-mir-1228	11	1.720955	N
hsa-mir-1229	16	2.503207	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	2	0.312901	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	3	0.469351	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.156450	N
hsa-mir-1247	106	16.583748	N
hsa-mir-1248	10	1.564505	N
hsa-mir-1249	22	3.441910	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	12	1.877405	N
hsa-mir-1254-2	14	2.190306	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	8439	1320.285366	N
hsa-mir-125b-1	9023	1411.652430	N
hsa-mir-125b-2	9289	1453.268250	N
hsa-mir-126	31785	4972.777621	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	11	1.720955	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	6	0.938703	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	16	2.503207	N
hsa-mir-1269b	855	133.765137	N
hsa-mir-127	8294	1297.600050	N
hsa-mir-1270	46	7.196721	N
hsa-mir-1271	98	15.332144	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	13	2.033856	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.156450	N
hsa-mir-1277	55	8.604775	N
hsa-mir-1278	3	0.469351	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	17082	2672.486623	N
hsa-mir-128-2	9916	1551.362683	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.156450	N
hsa-mir-1284	7	1.095153	N
hsa-mir-1285-1	3	0.469351	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	202	31.602991	N
hsa-mir-1288	8	1.251604	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	12	1.877405	N
hsa-mir-129-2	11	1.720955	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.625802	N
hsa-mir-1292	11	1.720955	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.312901	N
hsa-mir-1295a	11	1.720955	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	32	5.006414	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	118	18.461153	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	2	0.312901	N
hsa-mir-1305	3	0.469351	N
hsa-mir-1306	103	16.114397	N
hsa-mir-1307	18910	2958.478050	N
hsa-mir-130a	1956	306.017084	N
hsa-mir-130b	1223	191.338903	N
hsa-mir-132	3634	568.540943	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.156450	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	9	1.408054	N
hsa-mir-133a-2	9	1.408054	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1136	177.727714	N
hsa-mir-1343	6	0.938703	N
hsa-mir-135a-1	16	2.503207	N
hsa-mir-135a-2	5	0.782252	N
hsa-mir-135b	16	2.503207	N
hsa-mir-136	1130	176.789011	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	13	2.033856	N
hsa-mir-138-2	13	2.033856	N
hsa-mir-139	957	149.723083	N
hsa-mir-140	16920	2647.141650	N
hsa-mir-141	6159	963.578335	N
hsa-mir-142	335702	52520.729685	N
hsa-mir-143	121958	19080.384242	N
hsa-mir-144	926	144.873119	N
hsa-mir-145	6051	946.681686	N
hsa-mir-1468	48	7.509622	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	3704	579.492475	N
hsa-mir-146b	18117	2834.412841	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	4	0.625802	N
hsa-mir-148a	521793	81634.750774	N
hsa-mir-148b	1713	267.999625	N
hsa-mir-149	1833	286.773679	N
hsa-mir-150	51155	8003.222879	N
hsa-mir-151a	7693	1203.573328	N
hsa-mir-151b	29	4.537063	N
hsa-mir-152	1284	200.882381	N
hsa-mir-153-1	2	0.312901	N
hsa-mir-153-2	94	14.706343	N
hsa-mir-1537	7	1.095153	N
hsa-mir-1538	7	1.095153	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	79	12.359586	N
hsa-mir-155	8079	1263.963203	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	6394	1000.344191	N
hsa-mir-15b	8675	1357.207672	N
hsa-mir-16-1	6634	1037.892300	N
hsa-mir-16-2	6674	1044.150318	N
hsa-mir-17	24114	3772.646203	Y
hsa-mir-181a-1	160909	25174.285804	N
hsa-mir-181a-2	145714	22797.021183	N
hsa-mir-181b-1	18606	2910.917113	N
hsa-mir-181b-2	18247	2854.751400	N
hsa-mir-181c	2392	374.229482	N
hsa-mir-181d	526	82.292938	N
hsa-mir-182	270390	42302.637755	N
