miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	53757	13153.097781	N
hsa-let-7a-2	53882	13183.682398	Y
hsa-let-7a-3	53733	13147.225535	N
hsa-let-7b	34544	8452.119905	N
hsa-let-7c	15175	3712.972428	Y
hsa-let-7d	5867	1435.519554	N
hsa-let-7e	1962	480.056139	N
hsa-let-7f-1	33037	8083.391770	N
hsa-let-7f-2	34044	8329.781440	N
hsa-let-7g	7048	1724.483010	N
hsa-let-7i	3500	856.369259	N
hsa-mir-1-1	4	0.978708	N
hsa-mir-1-2	4	0.978708	N
hsa-mir-100	254134	62180.727190	Y
hsa-mir-101-1	37130	9084.854449	N
hsa-mir-101-2	37649	9211.841776	N
hsa-mir-103a-1	72680	17783.119347	Y
hsa-mir-103a-2	72741	17798.044640	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.244677	N
hsa-mir-105-2	1	0.244677	N
hsa-mir-106a	2737	669.680760	Y
hsa-mir-106b	8686	2125.263823	N
hsa-mir-107	779	190.603329	Y
hsa-mir-10a	1306	319.548072	N
hsa-mir-10b	54352	13298.680555	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.734031	N
hsa-mir-1180	147	35.967509	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.244677	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.734031	N
hsa-mir-1227	3	0.734031	N
hsa-mir-1228	1	0.244677	N
hsa-mir-1229	3	0.734031	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	1	0.244677	N
hsa-mir-1237	1	0.244677	N
hsa-mir-1238	1	0.244677	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.244677	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.244677	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.978708	N
hsa-mir-1248	4	0.978708	N
hsa-mir-1249	8	1.957415	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.468062	N
hsa-mir-1254-2	5	1.223385	N
hsa-mir-1255a	2	0.489354	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.244677	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.244677	N
hsa-mir-125a	2732	668.457376	N
hsa-mir-125b-1	5502	1346.212475	N
hsa-mir-125b-2	5705	1395.881892	N
hsa-mir-126	13306	3255.671244	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
