miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	153626	29136.525139	N
hsa-let-7a-2	153333	29080.955107	Y
hsa-let-7a-3	153449	29102.955529	N
hsa-let-7b	311328	59046.099610	N
hsa-let-7c	57701	10943.503294	Y
hsa-let-7d	4243	804.722353	N
hsa-let-7e	7441	1411.251244	N
hsa-let-7f-1	32745	6210.377903	N
hsa-let-7f-2	33269	6309.759122	N
hsa-let-7g	7274	1379.578222	N
hsa-let-7i	3282	622.460231	N
hsa-mir-1-1	6	1.137953	N
hsa-mir-1-2	5	0.948294	N
hsa-mir-100	21038	3990.042154	N
hsa-mir-101-1	204602	38804.572902	N
hsa-mir-101-2	207054	39269.616316	N
hsa-mir-103a-1	59366	11259.285221	Y
hsa-mir-103a-2	59856	11352.218041	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	88	16.689976	Y
hsa-mir-106b	2130	403.973276	N
hsa-mir-107	429	81.363632	Y
hsa-mir-10a	12301	2332.993085	N
hsa-mir-10b	131856	25007.652733	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.189659	N
hsa-mir-1180	82	15.552023	N
hsa-mir-1181	1	0.189659	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.758635	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.189659	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.948294	N
hsa-mir-1227	1	0.189659	N
hsa-mir-1228	2	0.379318	N
hsa-mir-1229	2	0.379318	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.189659	N
hsa-mir-124-3	1	0.189659	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	1	0.189659	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	17	3.224200	N
hsa-mir-1248	1	0.189659	N
hsa-mir-1249	6	1.137953	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	6	1.137953	N
hsa-mir-1254-2	3	0.568976	N
hsa-mir-1255a	2	0.379318	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.379318	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.327612	N
hsa-mir-125a	14695	2787.036289	N
hsa-mir-125b-1	30041	5697.540467	N
hsa-mir-125b-2	30219	5731.299736	N
hsa-mir-126	20485	3885.160829	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	2.465565	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	36	6.827717	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	5921	1122.969845	N
hsa-mir-1269b	2	0.379318	N
hsa-mir-127	7339	1391.906045	N
hsa-mir-1270	12	2.275906	N
hsa-mir-1271	26	4.931129	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	5	0.948294	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	19	3.603517	N
hsa-mir-1278	1	0.189659	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	570	108.105525	N
hsa-mir-128-2	391	74.156597	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	249	47.225045	N
hsa-mir-1283-2	293	55.570033	Y
hsa-mir-1284	2	0.379318	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	169	32.052340	N
hsa-mir-1288	3	0.568976	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-129-2	1	0.189659	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	6	1.137953	N
hsa-mir-1292	3	0.568976	N
hsa-mir-1293	1	0.189659	N
hsa-mir-1294	1	0.189659	N
hsa-mir-1295a	8	1.517271	N
hsa-mir-1295b	1	0.189659	N
hsa-mir-1296	30	5.689764	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	49	9.293282	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
