miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	263782	29691.040157	N
hsa-let-7a-2	263765	29689.126654	Y
hsa-let-7a-3	262637	29562.160093	N
hsa-let-7b	157735	17754.495072	N
hsa-let-7c	90022	10132.786987	Y
hsa-let-7d	10647	1198.415754	N
hsa-let-7e	20027	2254.219246	N
hsa-let-7f-1	166329	18721.827184	N
hsa-let-7f-2	169245	19050.049250	N
hsa-let-7g	21633	2434.989013	N
hsa-let-7i	6173	694.826754	N
hsa-mir-1-1	32	3.601888	N
hsa-mir-1-2	35	3.939565	N
hsa-mir-100	861744	96997.049491	Y
hsa-mir-101-1	151086	17006.090230	N
hsa-mir-101-2	153436	17270.603898	N
hsa-mir-103a-1	119143	13410.617849	Y
hsa-mir-103a-2	120342	13545.576099	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1752	197.203381	Y
hsa-mir-106b	9745	1096.887530	N
hsa-mir-107	3515	395.644912	Y
hsa-mir-10a	31141	3505.200057	N
hsa-mir-10b	129909	14622.428125	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.450236	N
hsa-mir-1180	117	13.169404	N
hsa-mir-1181	7	0.787913	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.225118	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	2	0.225118	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	8	0.900472	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	17	1.913503	N
hsa-mir-1227	1	0.112559	N
hsa-mir-1228	6	0.675354	N
hsa-mir-1229	9	1.013031	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	2	0.225118	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	25	2.813975	N
hsa-mir-1248	25	2.813975	N
hsa-mir-1249	48	5.402832	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	1	0.112559	N
hsa-mir-1252	1	0.112559	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	1.800944	N
hsa-mir-1254-2	15	1.688385	N
hsa-mir-1255a	7	0.787913	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.900472	N
hsa-mir-125a	11296	1271.466550	N
hsa-mir-125b-1	23478	2642.660382	N
hsa-mir-125b-2	24132	2716.273973	N
hsa-mir-126	21314	2399.082689	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	6	0.675354	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	1	0.112559	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	10	1.125590	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.225118	N
hsa-mir-1269b	2	0.225118	N
hsa-mir-127	3027	340.716116	N
hsa-mir-1270	27	3.039093	N
hsa-mir-1271	40	4.502360	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	5	0.562795	N
hsa-mir-1275	2	0.225118	N
hsa-mir-1276	2	0.225118	N
hsa-mir-1277	48	5.402832	N
hsa-mir-1278	1	0.112559	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	18868	2123.763356	N
hsa-mir-128-2	11335	1275.856352	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	7	0.787913	N
hsa-mir-1285-1	1	0.112559	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	282	31.741640	N
hsa-mir-1288	6	0.675354	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	6	0.675354	N
hsa-mir-129-2	6	0.675354	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	14	1.575826	N
hsa-mir-1292	14	1.575826	N
hsa-mir-1293	3	0.337677	N
hsa-mir-1294	2	0.225118	N
hsa-mir-1295a	1	0.112559	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	26	2.926534	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	120	13.507081	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	8	0.900472	N
hsa-mir-1305	21	2.363739	N
hsa-mir-1306	102	11.481019	N
hsa-mir-1307	19022	2141.097444	N
hsa-mir-130a	1096	123.364672	N
hsa-mir-130b	799	89.934647	N
hsa-mir-132	3151	354.673433	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.112559	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	6	0.675354	Y
hsa-mir-133a-2	11	1.238149	N
hsa-mir-133b	1	0.112559	Y
hsa-mir-134	487	54.816237	N
hsa-mir-1343	9	1.013031	N
hsa-mir-135a-1	4	0.450236	N
hsa-mir-135a-2	5	0.562795	N
hsa-mir-135b	2	0.225118	N
hsa-mir-136	297	33.430025	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	11	1.238149	N
hsa-mir-138-2	29	3.264211	N
hsa-mir-139	1059	119.199989	N
hsa-mir-140	17767	1999.835889	N
hsa-mir-141	27246	3066.782723	N
hsa-mir-142	289214	32553.640839	N
hsa-mir-143	151676	17072.500045	N
hsa-mir-144	496	55.829268	N
hsa-mir-145	5966	671.527040	N
hsa-mir-1468	63	7.091217	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	2216	249.430761	N
hsa-mir-146b	36901	4153.539941	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.225118	N
hsa-mir-148a	662525	74573.156545	N
hsa-mir-148b	2066	232.546910	N
hsa-mir-149	6330	712.498518	N
hsa-mir-150	83276	9373.463921	N
hsa-mir-151a	13140	1479.025361	N
hsa-mir-151b	39	4.389801	N
hsa-mir-152	5234	589.133846	N
hsa-mir-153-1	6	0.675354	N
hsa-mir-153-2	108	12.156373	N
hsa-mir-1537	10	1.125590	N
hsa-mir-1538	7	0.787913	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	31	3.489329	N
hsa-mir-155	4145	466.557087	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	8123	914.316819	N
hsa-mir-15b	7986	898.896235	N
hsa-mir-16-1	6439	724.767450	N
hsa-mir-16-2	6174	694.939313	N
hsa-mir-17	23407	2634.668692	Y
hsa-mir-181a-1	149661	16845.693644	N
hsa-mir-181a-2	131941	14851.148029	N
hsa-mir-181b-1	14740	1659.119773	N
hsa-mir-181b-2	14668	1651.015524	N
hsa-mir-181c	1322	148.803008	N
hsa-mir-181d	309	34.780733	N
hsa-mir-182	733856	82602.103120	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	271585	30569.338093	N
hsa-mir-184	933	105.017554	N
hsa-mir-185	1798	202.381096	N
hsa-mir-186	4428	498.411286	N
hsa-mir-187	10	1.125590	N
hsa-mir-188	26	2.926534	N
hsa-mir-18a	272	30.616050	Y
hsa-mir-18b	26	2.926534	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	44	4.952596	N
hsa-mir-190b	5	0.562795	N
hsa-mir-191	9425	1060.868647	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	1	0.112559	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	16734	1883.562434	Y
hsa-mir-193a	916	103.104051	N
hsa-mir-193b	1393	156.794698	N
hsa-mir-194-1	5783	650.928741	N
hsa-mir-194-2	6057	681.769909	N
hsa-mir-195	1239	139.460610	N
hsa-mir-196a-1	8	0.900472	N
hsa-mir-196a-2	12	1.350708	N
hsa-mir-196b	6953	782.622780	N
hsa-mir-197	2576	289.952004	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	93	10.467988	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	3991	449.223000	Y
hsa-mir-199a-2	6354	715.199935	Y
hsa-mir-199b	7777	875.371403	Y
hsa-mir-19a	1599	179.981853	N
hsa-mir-19b-1	2381	268.002997	N
hsa-mir-19b-2	2191	246.616786	N
hsa-mir-200a	13950	1570.198157	N
hsa-mir-200b	13272	1493.883150	N
hsa-mir-200c	136168	15326.934954	N
hsa-mir-202	50	5.627950	N
hsa-mir-203a	13037	1467.431783	N
hsa-mir-203b	84	9.454957	N
hsa-mir-204	118	13.281963	N
hsa-mir-205	183679	20674.725967	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	119	13.394522	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	17928	2017.957889	N
hsa-mir-20b	6534	735.460556	N
hsa-mir-21	549986	61905.878383	N
hsa-mir-210	8950	1007.403118	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	32	3.601888	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	7	0.787913	N
hsa-mir-2115	1	0.112559	N
hsa-mir-2116	2	0.225118	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	61	6.866099	N
hsa-mir-214	90	10.130311	N
hsa-mir-215	72	8.104249	Y
