miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	118240	27588.601316	N
hsa-let-7a-2	117637	27447.905049	N
hsa-let-7a-3	118605	27673.765723	N
hsa-let-7b	329419	76862.393918	N
hsa-let-7c	43983	10262.427704	N
hsa-let-7d	6228	1453.161443	N
hsa-let-7e	4613	1076.338108	N
hsa-let-7f-1	30445	7103.644850	N
hsa-let-7f-2	31688	7393.670488	N
hsa-let-7g	6421	1498.193581	N
hsa-let-7i	3092	721.447524	N
hsa-mir-1-1	3	0.699981	N
hsa-mir-1-2	5	1.166636	N
hsa-mir-100	25334	5911.109825	N
hsa-mir-101-1	94222	21984.550010	N
hsa-mir-101-2	95740	22338.740612	N
hsa-mir-103a-1	62895	14675.110620	Y
hsa-mir-103a-2	63362	14784.074396	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1145	267.159578	Y
hsa-mir-106b	5960	1390.629769	N
hsa-mir-107	544	126.929965	Y
hsa-mir-10a	12493	2914.955990	N
hsa-mir-10b	89733	20937.144468	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.466654	N
hsa-mir-1180	212	49.465354	N
hsa-mir-1181	4	0.933309	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.466654	N
hsa-mir-1185-2	2	0.466654	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.233327	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.933309	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.233327	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.233327	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	9	2.099944	N
hsa-mir-1248	1	0.233327	N
hsa-mir-1249	16	3.733234	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	6	1.399963	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.699981	N
hsa-mir-1254-2	6	1.399963	N
hsa-mir-1255a	1	0.233327	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.233327	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	1.866617	N
hsa-mir-125a	15123	3528.606374	N
hsa-mir-125b-1	21154	4935.802370	N
hsa-mir-125b-2	21719	5067.632205	N
hsa-mir-126	21412	4996.000773	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	12	2.799926	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	32	7.466469	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11128	2596.464440	N
hsa-mir-1269b	4	0.933309	N
hsa-mir-127	9701	2263.506608	N
hsa-mir-1270	73	17.032881	N
hsa-mir-1271	105	24.499350	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
