miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	170280	13854.990937	N
hsa-let-7a-2	170362	13861.662944	Y
hsa-let-7a-3	170445	13868.416316	N
hsa-let-7b	123620	10058.456540	N
hsa-let-7c	20465	1665.153803	Y
hsa-let-7d	7864	639.861691	N
hsa-let-7e	15991	1301.122622	N
hsa-let-7f-1	91601	7453.200757	N
hsa-let-7f-2	93445	7603.239536	N
hsa-let-7g	12196	992.338909	N
hsa-let-7i	5470	445.071649	N
hsa-mir-1-1	61	4.963322	N
hsa-mir-1-2	67	5.451517	N
hsa-mir-100	408539	33241.156581	N
hsa-mir-101-1	165768	13487.867851	N
hsa-mir-101-2	166880	13578.346768	N
hsa-mir-103a-1	252464	20541.968711	Y
hsa-mir-103a-2	254077	20673.211959	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.081366	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2669	217.165673	Y
hsa-mir-106b	17008	1383.871775	N
hsa-mir-107	5608	456.300148	Y
hsa-mir-10a	102715	8357.501727	N
hsa-mir-10b	54825	4460.887234	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	10	0.813659	N
hsa-mir-1180	823	66.964162	N
hsa-mir-1181	8	0.650927	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.081366	N
hsa-mir-1224	3	0.244098	N
hsa-mir-1225	2	0.162732	N
hsa-mir-1226	36	2.929174	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	10	0.813659	N
hsa-mir-1229	25	2.034148	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.081366	N
hsa-mir-1236	1	0.081366	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.081366	N
hsa-mir-124-2	3	0.244098	N
hsa-mir-124-3	1	0.081366	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.162732	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	123	10.008010	N
hsa-mir-1248	9	0.732293	N
hsa-mir-1249	27	2.196880	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	8	0.650927	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	13	1.057757	N
hsa-mir-1254-2	12	0.976391	N
hsa-mir-1255a	10	0.813659	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.081366	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	6	0.488196	N
hsa-mir-125a	9636	784.042123	N
hsa-mir-125b-1	15146	1232.368409	N
hsa-mir-125b-2	15315	1246.119252	N
hsa-mir-126	59679	4855.837469	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	41	3.336003	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	51	4.149663	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	11349	923.421965	N
hsa-mir-1269b	4	0.325464	N
hsa-mir-127	1200	97.639119	N
hsa-mir-1270	171	13.913574	N
hsa-mir-1271	56	4.556492	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	10	0.813659	N
hsa-mir-1275	7	0.569562	N
hsa-mir-1276	7	0.569562	N
hsa-mir-1277	55	4.475126	N
hsa-mir-1278	2	0.162732	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	23607	1920.805562	N
hsa-mir-128-2	14747	1199.903402	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	329	26.769392	N
hsa-mir-1283-2	495	40.276136	Y
hsa-mir-1284	11	0.895025	N
hsa-mir-1285-1	2	0.162732	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.081366	N
hsa-mir-1287	786	63.953623	N
hsa-mir-1288	11	0.895025	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	15	1.220489	N
hsa-mir-129-2	15	1.220489	N
hsa-mir-1290	0	0.000000	N
