miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	224133	33495.630966	N
hsa-let-7a-2	224010	33477.249190	Y
hsa-let-7a-3	223818	33448.555686	N
hsa-let-7b	448117	66968.994577	N
hsa-let-7c	86130	12871.726587	Y
hsa-let-7d	5178	773.827938	N
hsa-let-7e	11580	1730.576964	N
hsa-let-7f-1	51329	7670.879531	N
hsa-let-7f-2	52450	7838.407750	N
hsa-let-7g	9826	1468.449848	N
hsa-let-7i	4794	716.440929	N
hsa-mir-1-1	15	2.241680	N
hsa-mir-1-2	8	1.195563	N
hsa-mir-100	282243	42179.899304	N
hsa-mir-101-1	303470	45352.175401	N
hsa-mir-101-2	305082	45593.081279	N
hsa-mir-103a-1	87339	13052.405995	Y
hsa-mir-103a-2	87835	13126.530881	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	165	24.658480	Y
hsa-mir-106b	3727	556.982758	N
hsa-mir-107	968	144.663083	Y
hsa-mir-10a	26043	3892.004824	N
hsa-mir-10b	235451	35187.053252	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.597781	N
hsa-mir-1180	389	58.134235	N
hsa-mir-1181	1	0.149445	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.149445	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.149445	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.448336	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.448336	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.896672	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	258	38.556896	N
hsa-mir-1248	6	0.896672	N
hsa-mir-1249	19	2.839461	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	69	10.311728	N
hsa-mir-1252	1	0.149445	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.448336	N
hsa-mir-1254-2	1	0.149445	N
hsa-mir-1255a	4	0.597781	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	1.195563	N
hsa-mir-125a	23713	3543.797197	N
hsa-mir-125b-1	32946	4923.625962	N
hsa-mir-125b-2	33676	5032.721056	N
hsa-mir-126	32079	4794.056858	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	13	1.942789	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	35	5.230587	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	12308	1839.373166	N
hsa-mir-1269b	6	0.896672	N
hsa-mir-127	3584	535.612076	N
hsa-mir-1270	18	2.690016	N
hsa-mir-1271	63	9.415056	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.298891	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	31	4.632805	N
hsa-mir-1278	1	0.149445	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1464	218.787968	N
hsa-mir-128-2	988	147.651990	N
hsa-mir-1281	1	0.149445	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	289	43.189701	N
hsa-mir-1283-2	398	59.479243	Y
hsa-mir-1284	2	0.298891	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	190	28.394613	N
hsa-mir-1288	3	0.448336	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	8	1.195563	N
hsa-mir-129-2	10	1.494453	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	9	1.345008	N
hsa-mir-1292	3	0.448336	N
hsa-mir-1293	1	0.149445	N
hsa-mir-1294	1	0.149445	N
hsa-mir-1295a	10	1.494453	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	20	2.988907	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	54	8.070048	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.149445	N
hsa-mir-1305	5	0.747227	N
hsa-mir-1306	61	9.116165	N
hsa-mir-1307	11016	1646.289795	N
hsa-mir-130a	1757	262.575451	N
hsa-mir-130b	310	46.328053	N
hsa-mir-132	6421	959.588487	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1355	202.498427	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.597781	Y
hsa-mir-133a-2	2	0.298891	N
hsa-mir-133b	1	0.149445	Y
hsa-mir-134	1151	172.011579	N
hsa-mir-1343	5	0.747227	N
hsa-mir-135a-1	260	38.855787	N
hsa-mir-135a-2	379	56.639781	N
hsa-mir-135b	36	5.380032	N
hsa-mir-136	628	93.851670	N
hsa-mir-137	1	0.149445	N
hsa-mir-138-1	11	1.643899	N
hsa-mir-138-2	11	1.643899	N
hsa-mir-139	1190	177.839947	N
hsa-mir-140	8845	1321.843976	N
hsa-mir-141	14764	2206.410906	N
hsa-mir-142	127805	19099.860866	N
hsa-mir-143	92576	13835.051207	N
hsa-mir-144	439	65.606501	N
hsa-mir-145	4149	620.048689	N
hsa-mir-1468	64	9.564501	N
hsa-mir-1469	1	0.149445	N
hsa-mir-146a	5153	770.091804	N
hsa-mir-146b	18553	2772.659275	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.149445	N
hsa-mir-148a	172783	25821.613083	N
hsa-mir-148b	1455	217.442960	N
hsa-mir-149	5261	786.231900	N
hsa-mir-150	53041	7926.729942	N
hsa-mir-151a	11222	1677.075534	N
hsa-mir-151b	73	10.909509	N
hsa-mir-152	1020	152.434240	N
hsa-mir-153-1	3	0.448336	N
hsa-mir-153-2	111	16.588432	N
hsa-mir-1537	4	0.597781	N
hsa-mir-1538	5	0.747227	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	38	5.678923	N
hsa-mir-155	6864	1025.792770	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2095	313.087974	N
hsa-mir-15b	3015	450.577681	N
hsa-mir-16-1	3088	461.487190	N
hsa-mir-16-2	3006	449.232673	N
hsa-mir-17	11333	1693.663966	Y
hsa-mir-181a-1	14763	2206.261461	N
hsa-mir-181a-2	14553	2174.877941	N
hsa-mir-181b-1	1856	277.370539	N
hsa-mir-181b-2	1837	274.531078	N
hsa-mir-181c	1399	209.074022	N
hsa-mir-181d	373	55.743109	N
hsa-mir-182	199508	29815.539625	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	40742	6088.701783	N
hsa-mir-184	19	2.839461	N
hsa-mir-185	754	112.681782	N
hsa-mir-186	3356	501.538540	N
hsa-mir-187	0	0.000000	N
hsa-mir-188	24	3.586688	N
hsa-mir-18a	51	7.621712	N
hsa-mir-18b	1	0.149445	N
hsa-mir-1908	1	0.149445	N
hsa-mir-1909	1	0.149445	N
hsa-mir-190a	73	10.909509	N
hsa-mir-190b	4	0.597781	N
hsa-mir-191	7860	1174.640322	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	14109	2108.524212	Y
hsa-mir-193a	1012	151.238678	N
hsa-mir-193b	400	59.778133	N
hsa-mir-194-1	2011	300.534566	N
hsa-mir-194-2	2182	326.089718	N
hsa-mir-195	1129	168.723782	N
hsa-mir-196a-1	11	1.643899	N
hsa-mir-196a-2	8	1.195563	N
hsa-mir-196b	1022	152.733131	N
hsa-mir-197	2353	351.644870	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	83	12.403963	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	2525	377.349467	Y
hsa-mir-199a-2	4059	606.598609	Y
hsa-mir-199b	4619	690.287996	Y
hsa-mir-19a	492	73.527104	N
hsa-mir-19b-1	1163	173.804923	N
hsa-mir-19b-2	991	148.100326	N
hsa-mir-200a	27109	4051.313550	N
hsa-mir-200b	32690	4885.367957	N
hsa-mir-200c	47335	7073.994868	N
hsa-mir-202	11	1.643899	N
hsa-mir-203a	58863	8796.800674	N
hsa-mir-203b	879	131.362448	N
hsa-mir-204	12487	1866.123881	N
hsa-mir-205	127511	19055.923938	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	18	2.690016	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	5538	827.628258	N
hsa-mir-20b	635	94.897787	N
hsa-mir-21	846583	126517.878892	N
hsa-mir-210	1967	293.958971	N
hsa-mir-211	4	0.597781	N
hsa-mir-2110	20	2.988907	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	3	0.448336	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	6	0.896672	N
hsa-mir-2117	1	0.149445	N
hsa-mir-212	190	28.394613	N
hsa-mir-214	43	6.426149	N
hsa-mir-215	41	6.127259	Y
hsa-mir-216a	2	0.298891	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	45	6.725040	N
hsa-mir-218-1	924	138.087488	N
hsa-mir-218-2	924	138.087488	N
hsa-mir-219a-1	79	11.806181	N
hsa-mir-219a-2	5	0.747227	N
hsa-mir-219b	1	0.149445	N
hsa-mir-22	506553	75701.982093	N
hsa-mir-221	4601	687.597980	N
hsa-mir-222	1566	234.031392	N
hsa-mir-223	1920	286.935041	N
hsa-mir-224	68	10.162283	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	6	0.896672	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	124	18.531221	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	31638	4728.151466	Y
hsa-mir-23b	4606	688.345207	Y
hsa-mir-23c	0	0.000000	N
hsa-mir-24-1	3445	514.839174	N
hsa-mir-24-2	3590	536.508748	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	40526	6056.421591	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	21240	3174.218887	N
hsa-mir-26a-2	21331	3187.818412	N
