miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	258402	40508.592097	N
hsa-let-7a-2	258032	40450.588757	Y
hsa-let-7a-3	258293	40491.504627	N
hsa-let-7b	290012	45463.958527	N
hsa-let-7c	81511	12778.135813	Y
hsa-let-7d	8436	1322.476153	N
hsa-let-7e	15463	2424.069317	N
hsa-let-7f-1	119773	18776.308238	N
hsa-let-7f-2	122284	19169.947121	N
hsa-let-7g	14768	2315.117097	N
hsa-let-7i	5773	905.008871	N
hsa-mir-1-1	24	3.762379	N
hsa-mir-1-2	17	2.665018	N
hsa-mir-100	17328	2716.437504	N
hsa-mir-101-1	200033	31358.330056	N
hsa-mir-101-2	202916	31810.285811	N
hsa-mir-103a-1	138275	21676.788772	Y
hsa-mir-103a-2	138658	21736.830067	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.156766	N
hsa-mir-106a	2852	447.096016	Y
hsa-mir-106b	11763	1844.035916	N
hsa-mir-107	1164	182.475372	Y
hsa-mir-10a	14263	2235.950376	N
hsa-mir-10b	128336	20118.693646	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.627063	N
hsa-mir-1180	282	44.207951	N
hsa-mir-1181	2	0.313532	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.156766	N
hsa-mir-1185-2	3	0.470297	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.156766	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	3	0.470297	N
hsa-mir-1225	3	0.470297	N
hsa-mir-1226	11	1.724424	N
hsa-mir-1227	1	0.156766	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	2	0.313532	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
