miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	154399	28830.876126	N
hsa-let-7a-2	155385	29014.991592	N
hsa-let-7a-3	156279	29181.927928	N
hsa-let-7b	351627	65659.197791	N
hsa-let-7c	55600	10382.170303	N
hsa-let-7d	6629	1237.831060	N
hsa-let-7e	5639	1052.968675	N
hsa-let-7f-1	40209	7508.213772	N
hsa-let-7f-2	41281	7708.387991	N
hsa-let-7g	7906	1476.284864	N
hsa-let-7i	4465	833.748029	N
hsa-mir-1-1	22	4.108053	N
hsa-mir-1-2	10	1.867297	N
hsa-mir-100	116248	21706.952039	N
hsa-mir-101-1	153696	28699.605160	N
hsa-mir-101-2	154540	28857.205011	N
hsa-mir-103a-1	70387	13143.342107	Y
hsa-mir-103a-2	70486	13161.828345	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	1171	218.660457	Y
hsa-mir-106b	7252	1354.163652	N
hsa-mir-107	589	109.983783	Y
hsa-mir-10a	21340	3984.811408	N
hsa-mir-10b	102437	19128.028405	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.186730	N
hsa-mir-1180	171	31.930776	N
hsa-mir-1181	2	0.373459	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	9	1.680567	N
hsa-mir-1185-2	3	0.560189	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.373459	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.186730	N
hsa-mir-1226	7	1.307108	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.373459	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.186730	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
