miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	269006	44768.925933	N
hsa-let-7a-2	268140	44624.803163	Y
hsa-let-7a-3	268786	44732.312758	N
hsa-let-7b	668195	111203.365217	N
hsa-let-7c	93241	15517.495606	Y
hsa-let-7d	8754	1456.871511	N
hsa-let-7e	12291	2045.511508	N
hsa-let-7f-1	48880	8134.781751	N
hsa-let-7f-2	50226	8358.787811	N
hsa-let-7g	9928	1652.252725	N
hsa-let-7i	6018	1001.536755	N
hsa-mir-1-1	1	0.166424	N
hsa-mir-1-2	3	0.499271	N
hsa-mir-100	75318	12534.686823	N
hsa-mir-101-1	213493	35530.256961	N
hsa-mir-101-2	215670	35892.560968	N
hsa-mir-103a-1	63840	10624.477638	Y
hsa-mir-103a-2	64601	10751.125938	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.332847	N
hsa-mir-106a	918	152.776793	Y
hsa-mir-106b	5144	856.082597	N
hsa-mir-107	471	78.385479	Y
hsa-mir-10a	8970	1492.818991	N
hsa-mir-10b	46053	7664.302454	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.332847	N
hsa-mir-1180	316	52.589833	N
hsa-mir-1181	2	0.332847	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.332847	N
hsa-mir-1185-2	4	0.665694	N
hsa-mir-1193	1	0.166424	N
hsa-mir-1197	1	0.166424	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	0	0.000000	N
hsa-mir-1227	2	0.332847	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	1	0.166424	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	5	0.832118	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	11	1.830659	N
hsa-mir-1248	3	0.499271	N
hsa-mir-1249	10	1.664235	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	32	5.325553	N
hsa-mir-1252	2	0.332847	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	3	0.499271	N
hsa-mir-1254-2	2	0.332847	N
hsa-mir-1255a	4	0.665694	N
