miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	114483	23669.724202	N
hsa-let-7a-2	113763	23520.861913	Y
hsa-let-7a-3	115379	23854.975050	N
hsa-let-7b	134263	27759.302084	N
hsa-let-7c	78033	16133.570824	Y
hsa-let-7d	4766	985.385652	N
hsa-let-7e	4851	1002.959672	N
hsa-let-7f-1	64880	13414.146259	N
hsa-let-7f-2	65384	13518.349862	N
hsa-let-7g	9303	1923.424825	N
hsa-let-7i	3981	823.084406	N
hsa-mir-1-1	199	41.143883	N
hsa-mir-1-2	211	43.624921	N
hsa-mir-100	8906	1841.343813	Y
hsa-mir-101-1	47863	9895.827411	N
hsa-mir-101-2	49591	10253.096904	N
hsa-mir-103a-1	120761	24967.720660	Y
hsa-mir-103a-2	121191	25056.624527	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.413506	N
hsa-mir-105-2	4	0.827013	N
hsa-mir-106a	704	145.554238	Y
hsa-mir-106b	5864	1212.400642	N
hsa-mir-107	892	184.423836	Y
hsa-mir-10a	38356	7930.224937	N
hsa-mir-10b	235681	48727.796001	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	230	47.553231	N
hsa-mir-1181	1	0.206753	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.206753	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.206753	N
hsa-mir-1224	5	1.033766	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.240519	N
hsa-mir-1227	1	0.206753	N
hsa-mir-1228	3	0.620260	N
hsa-mir-1229	11	2.274285	N
hsa-mir-1231	1	0.206753	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.206753	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.206753	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	3	0.620260	N
hsa-mir-1244-1	1	0.206753	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.654025	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	16	3.308051	N
hsa-mir-1248	46	9.510646	N
hsa-mir-1249	5	1.033766	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	16	3.308051	N
hsa-mir-1254-2	18	3.721557	N
hsa-mir-1255a	7	1.447272	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	2024	418.468434	N
hsa-mir-125b-1	5069	1048.031865	N
hsa-mir-125b-2	6391	1321.359568	N
hsa-mir-126	20749	4289.921713	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.206753	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	17	3.514804	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	14273	2950.988125	N
hsa-mir-1269b	1	0.206753	N
hsa-mir-127	3105	641.968621	N
hsa-mir-1270	2	0.413506	N
hsa-mir-1271	20	4.135064	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.206753	N
hsa-mir-1275	2	0.413506	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	23	4.755323	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	1134	234.458105	N
hsa-mir-128-2	933	192.900716	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	1	0.206753	N
hsa-mir-1283-2	1	0.206753	N
hsa-mir-1284	1	0.206753	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	61	12.611944	N
hsa-mir-1288	3	0.620260	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-129-1	2	0.413506	N
hsa-mir-129-2	2	0.413506	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	5	1.033766	N
hsa-mir-1292	5	1.033766	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.206753	N
hsa-mir-1295a	19	3.928310	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	10	2.067532	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.206753	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	111	22.949603	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	0.620260	N
hsa-mir-1305	15	3.101298	N
hsa-mir-1306	49	10.130906	N
hsa-mir-1307	13821	2857.535688	N
hsa-mir-130a	229	47.346478	N
hsa-mir-130b	624	129.013984	N
hsa-mir-132	970	200.550584	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.206753	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	75	15.506488	Y
hsa-mir-133a-2	70	14.472723	Y
hsa-mir-133b	15	3.101298	Y
hsa-mir-134	549	113.507495	N
