miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	195898	23471.643712	N
hsa-let-7a-2	196067	23491.892555	Y
hsa-let-7a-3	195375	23408.980134	N
hsa-let-7b	106026	12703.572759	N
hsa-let-7c	60559	7255.915178	Y
hsa-let-7d	9144	1095.594187	N
hsa-let-7e	10956	1312.700122	N
hsa-let-7f-1	136435	16347.046473	N
hsa-let-7f-2	139859	16757.295215	N
hsa-let-7g	13881	1663.160861	N
hsa-let-7i	8897	1065.999725	N
hsa-mir-1-1	22	2.635944	N
hsa-mir-1-2	16	1.917050	N
hsa-mir-100	625633	74960.616600	Y
hsa-mir-101-1	74559	8933.334100	N
hsa-mir-101-2	76030	9109.582903	N
hsa-mir-103a-1	131530	15759.350772	Y
hsa-mir-103a-2	132426	15866.705583	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.119816	N
hsa-mir-106a	3286	393.714184	Y
hsa-mir-106b	9594	1149.511224	N
hsa-mir-107	2392	286.599004	Y
hsa-mir-10a	10115	1211.935171	N
hsa-mir-10b	118999	14257.941021	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.479263	N
hsa-mir-1180	169	20.248843	N
hsa-mir-1181	3	0.359447	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.119816	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.119816	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	2	0.239631	N
hsa-mir-1226	18	2.156681	N
hsa-mir-1227	2	0.239631	N
hsa-mir-1228	2	0.239631	N
hsa-mir-1229	4	0.479263	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.119816	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	4	0.479263	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	50	5.990782	N
hsa-mir-1248	6	0.718894	N
hsa-mir-1249	18	2.156681	N
hsa-mir-1250	1	0.119816	N
hsa-mir-1251	1	0.119816	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	7	0.838709	N
hsa-mir-1254-2	6	0.718894	N
hsa-mir-1255a	4	0.479263	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	1	0.119816	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.119816	N
hsa-mir-125a	7017	840.746327	N
hsa-mir-125b-1	14865	1781.059448	N
hsa-mir-125b-2	15106	1809.935017	N
hsa-mir-126	19376	2321.547788	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.479263	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	0.838709	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	7570	907.004374	N
hsa-mir-1269b	5	0.599078	N
hsa-mir-127	1437	172.175071	N
hsa-mir-1270	51	6.110598	N
hsa-mir-1271	80	9.585251	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	1	0.119816	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	19	2.276497	N
hsa-mir-1275	5	0.599078	N
hsa-mir-1276	2	0.239631	N
hsa-mir-1277	49	5.870966	N
hsa-mir-1278	5	0.599078	N
hsa-mir-1279	0	0.000000	N
hsa-mir-128-1	37285	4467.326036	N
hsa-mir-128-2	20231	2423.990158	N
hsa-mir-1281	0	0.000000	N
hsa-mir-1282	0	0.000000	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	9	1.078341	N
hsa-mir-1285-1	2	0.239631	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.119816	N
hsa-mir-1287	242	28.995384	N
hsa-mir-1288	9	1.078341	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	1	0.119816	N
hsa-mir-129-1	6	0.718894	N
hsa-mir-129-2	7	0.838709	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	0.359447	N
hsa-mir-1292	12	1.437788	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.239631	N
hsa-mir-1295a	15	1.797235	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	26	3.115207	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	70	8.387095	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	1	0.119816	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	12	1.437788	N
hsa-mir-1305	4	0.479263	N
hsa-mir-1306	137	16.414742	N
hsa-mir-1307	22271	2668.414058	N
hsa-mir-130a	1961	234.958465	N
hsa-mir-130b	1278	153.124384	N
hsa-mir-132	4294	514.488346	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	15	1.797235	Y
hsa-mir-133a-2	8	0.958525	Y
hsa-mir-133b	16	1.917050	Y
hsa-mir-134	294	35.225797	N
hsa-mir-1343	4	0.479263	N
hsa-mir-135a-1	10	1.198156	N
hsa-mir-135a-2	8	0.958525	N
hsa-mir-135b	2	0.239631	N
hsa-mir-136	205	24.562206	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	5	0.599078	N
hsa-mir-138-2	8	0.958525	N
hsa-mir-139	730	87.465415	N
hsa-mir-140	20287	2430.699834	N
hsa-mir-141	11275	1350.921310	N
hsa-mir-142	292408	35035.050867	N
hsa-mir-143	74824	8965.085244	N
hsa-mir-144	347	41.576026	N
hsa-mir-145	2914	349.142767	N
hsa-mir-1468	58	6.949307	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1825	218.663538	N
hsa-mir-146b	13817	1655.492660	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	496852	59530.639015	N
hsa-mir-148b	1729	207.161237	N
hsa-mir-149	5694	682.230239	N
hsa-mir-150	20375	2441.243610	N
hsa-mir-151a	8235	986.681773	N
hsa-mir-151b	27	3.235022	N
hsa-mir-152	7257	869.502080	N
hsa-mir-153-1	0	0.000000	N
hsa-mir-153-2	74	8.866357	N
hsa-mir-1537	7	0.838709	N
hsa-mir-1538	11	1.317972	N
hsa-mir-1539	2	0.239631	N
hsa-mir-154	24	2.875575	N
hsa-mir-155	5842	699.962953	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	10113	1211.695540	N
hsa-mir-15b	10580	1267.649442	N
hsa-mir-16-1	6530	782.396111	N
hsa-mir-16-2	6273	751.603493	N
hsa-mir-17	36627	4388.487347	Y
