miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	88791	16379.625223	N
hsa-let-7a-2	88801	16381.469962	N
hsa-let-7a-3	88099	16251.969259	N
hsa-let-7b	48491	8945.325615	N
hsa-let-7c	3318	612.084519	N
hsa-let-7d	8007	1477.082803	N
hsa-let-7e	2734	504.351740	N
hsa-let-7f-1	65442	12072.343299	N
hsa-let-7f-2	66896	12340.568401	N
hsa-let-7g	10589	1953.394505	N
hsa-let-7i	3731	688.272254	N
hsa-mir-1-1	2	0.368948	N
hsa-mir-1-2	4	0.737896	N
hsa-mir-100	261469	48234.215488	N
hsa-mir-101-1	57942	10688.788781	N
hsa-mir-101-2	58392	10771.802052	N
hsa-mir-103a-1	97416	17970.712918	Y
hsa-mir-103a-2	98291	18132.127612	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.184474	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	2687	495.681465	Y
hsa-mir-106b	12834	2367.538490	N
hsa-mir-107	1802	332.422032	Y
hsa-mir-10a	4295	792.315554	N
hsa-mir-10b	51154	9436.579706	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.184474	N
hsa-mir-1180	195	35.972417	N
hsa-mir-1181	3	0.553422	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.184474	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.184474	N
hsa-mir-1224	1	0.184474	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	9	1.660265	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	0.922370	N
hsa-mir-1229	4	0.737896	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
